"Station Name","ALIX"
"Province","ALBERTA"
"Latitude","52.37"
"Longitude","-113.30"
"Elevation","853.40"
"Climate Identifier","3020121"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1970-01","1970","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-02","1970","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-03","1970","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-04","1970","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-05","1970","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-06","1970","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-07","1970","07","","","","","","","","","","","34.5","","0.0","","34.5","","0","",,"",,""
"1970-08","1970","08","","","","","","","","","","","34.0","","0.0","","34.0","","0","",,"",,""
"1970-09","1970","09","","","","","","","","","","","29.7","","0.0","T","29.7","","0","",,"",,""
"1970-10","1970","10","","","","","","","","","","","43.9","","18.5","","62.5","","","M",,"",,""
"1970-11","1970","11","","","","","","","","","","","0.0","","25.4","","25.4","","8","",,"",,""
"1970-12","1970","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-01","1971","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-02","1971","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-03","1971","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-04","1971","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-05","1971","05","","","","","","","","","","","18.7","","0.0","","18.7","","0","",,"",,""
"1971-06","1971","06","","","","","","","","","","","57.7","","0.0","","57.7","","0","",,"",,""
"1971-07","1971","07","","","","","","","","","","","134.6","","0.0","","134.6","","0","",,"",,""
"1971-08","1971","08","","","","","","","","","","","10.4","","0.0","","10.4","","0","",,"",,""
"1971-09","1971","09","","","","","","","","","","","42.9","","0.0","T","42.9","","0","",,"",,""
"1971-10","1971","10","","","","","","","","","","","1.8","","6.4","","8.1","","0","T",,"",,""
"1971-11","1971","11","","","","","","","","","","","8.4","","3.0","","11.4","","0","T",,"",,""
"1971-12","1971","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-01","1972","01","","","","","","","","","","","0.0","","16.5","","16.5","","","M",,"",,""
"1972-02","1972","02","","","","","","","","","","","0.0","","39.4","","39.4","","","M",,"",,""
"1972-03","1972","03","","","","","","","","","","","1.5","","11.4","","13.0","","","M",,"",,""
"1972-04","1972","04","","","","","","","","","","","0.0","","34.8","","34.8","","0","",,"",,""
"1972-05","1972","05","","","","","","","","","","","70.1","","0.0","","70.1","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","114.0","","0.0","","114.0","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","74.4","","0.0","","74.4","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","42.9","","0.0","","42.9","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","71.4","","3.8","","75.2","","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-11","1972","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-12","1972","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-01","1973","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-05","1973","05","","","","","","","","","","","20.8","","0.0","","20.8","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","191.5","","0.0","","191.5","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","45.2","","0.0","","45.2","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","125.7","","0.0","","125.7","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","25.1","","0.0","T","25.1","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-11","1973","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-12","1973","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
