"Station Name","ALTONA"
"Province","MANITOBA"
"Latitude","49.10"
"Longitude","-97.55"
"Elevation","247.80"
"Climate Identifier","5020040"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1948-01","1948","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-02","1948","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-03","1948","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-04","1948","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-05","1948","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-06","1948","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-07","1948","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-08","1948","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-09","1948","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-10","1948","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-11","1948","11","","","","","","","","","","","30.2","","9.4","","39.6","","5","",,"",,""
"1948-12","1948","12","","","","","","","","","","","0.0","","39.4","","39.4","","36","",,"",,""
"1949-01","1949","01","","M","","M","","M","","M","","M","0.0","","73.7","","73.7","","46","",,"",,""
"1949-02","1949","02","","M","","M","","M","","M","","M","0.0","","39.1","","39.1","","61","",,"",,""
"1949-03","1949","03","","M","","M","","M","","M","","M","0.5","","25.9","","26.4","","33","",,"",,""
