"Station Name","ARROWWOOD"
"Province","ALBERTA"
"Latitude","50.73"
"Longitude","-113.15"
"Elevation","936.30"
"Climate Identifier","3030302"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1965-01","1965","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-02","1965","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-03","1965","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-04","1965","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-05","1965","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-06","1965","06","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","33.3","","0.0","","33.3","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","44.5","","0.0","","44.5","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","53.8","","24.1","","78.0","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","1.8","","0.0","","1.8","","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-12","1965","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-01","1966","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-02","1966","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-03","1966","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-04","1966","04","","","","","","","","","","","2.5","E","43.2","E","45.7","E","","M",,"",,""
"1966-05","1966","05","","","","","","","","","","","62.7","","2.5","","65.3","","0","",,"",,""
"1966-06","1966","06","","","","","","","","","","","61.0","","0.0","","61.0","","0","",,"",,""
"1966-07","1966","07","","","","","","","","","","","155.2","","0.0","","155.2","","0","",,"",,""
"1966-08","1966","08","","","","","","","","","","","43.4","","0.0","","43.4","","0","",,"",,""
"1966-09","1966","09","","","","","","","","","","","4.3","","0.0","T","4.3","","0","",,"",,""
"1966-10","1966","10","","","","","","","","","","","7.6","","26.7","","34.3","","0","",,"",,""
"1966-11","1966","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-12","1966","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-01","1967","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-02","1967","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-03","1967","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-04","1967","04","","","","","","","","","","","0.0","","55.9","","55.9","","20","",,"",,""
"1967-05","1967","05","","","","","","","","","","","36.8","","20.3","","57.2","","0","",,"",,""
"1967-06","1967","06","","","","","","","","","","","46.0","","0.0","","46.0","","0","",,"",,""
"1967-07","1967","07","","","","","","","","","","","9.4","","0.0","","9.4","","0","",,"",,""
"1967-08","1967","08","","","","","","","","","","","2.8","","0.0","","2.8","","0","",,"",,""
"1967-09","1967","09","","","","","","","","","","","2.3","","0.0","","2.3","","0","",,"",,""
"1967-10","1967","10","","","","","","","","","","","9.7","","8.9","","18.5","","0","",,"",,""
"1967-11","1967","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-12","1967","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-01","1968","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-02","1968","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-03","1968","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-04","1968","04","","","","","","","","","","","0.8","","30.5","","31.2","","0","",,"",,""
"1968-05","1968","05","","","","","","","","","","","66.8","","0.0","T","66.8","","0","",,"",,""
"1968-06","1968","06","","","","","","","","","","","104.1","","0.0","","104.1","","0","",,"",,""
"1968-07","1968","07","","","","","","","","","","","71.4","","0.0","","71.4","","0","",,"",,""
"1968-08","1968","08","","","","","","","","","","","34.8","","0.0","","34.8","","0","",,"",,""
"1968-09","1968","09","","","","","","","","","","","","M","","M","109.0","","0","",,"",,""
"1968-10","1968","10","","","","","","","","","","","5.6","","4.8","","10.4","","0","",,"",,""
"1968-11","1968","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-12","1968","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-01","1969","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-02","1969","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-03","1969","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-04","1969","04","","","","","","","","","","","2.5","","10.2","","12.7","","0","",,"",,""
"1969-05","1969","05","","","","","","","","","","","15.5","","0.0","","15.5","","0","",,"",,""
"1969-06","1969","06","","","","","","","","","","","174.8","","1.3","","176.0","","0","",,"",,""
"1969-07","1969","07","","","","","","","","","","","46.5","","0.0","","46.5","","0","",,"",,""
"1969-08","1969","08","","","","","","","","","","","13.2","","0.0","","13.2","","0","",,"",,""
"1969-09","1969","09","","","","","","","","","","","49.5","","0.0","T","49.5","","0","",,"",,""
"1969-10","1969","10","","","","","","","","","","","24.9","","7.6","","32.5","","0","",,"",,""
"1969-11","1969","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-12","1969","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-01","1970","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-02","1970","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-03","1970","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-04","1970","04","","","","","","","","","","","0.0","T","40.6","","40.6","","0","",,"",,""
"1970-05","1970","05","","","","","","","","","","","24.6","","0.0","T","24.6","","0","",,"",,""
"1970-06","1970","06","","","","","","","","","","","140.0","","0.0","","140.0","","0","",,"",,""
"1970-07","1970","07","","","","","","","","","","","45.2","","0.0","","45.2","","0","",,"",,""
"1970-08","1970","08","","","","","","","","","","","4.3","","0.0","","4.3","","0","",,"",,""
"1970-09","1970","09","","","","","","","","","","","23.6","","7.6","","31.2","","0","",,"",,""
"1970-10","1970","10","","","","","","","","","","","12.7","E","29.2","","41.9","E","0","",,"",,""
"1970-11","1970","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-12","1970","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-01","1971","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-02","1971","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-03","1971","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-04","1971","04","","","","","","","","","","","10.9","","3.8","","14.7","","0","",,"",,""
"1971-05","1971","05","","","","","","","","","","","22.1","","0.0","","22.1","","0","",,"",,""
"1971-06","1971","06","","","","","","","","","","","65.0","","0.0","","65.0","","0","",,"",,""
"1971-07","1971","07","","","","","","","","","","","42.7","","0.0","","42.7","","0","",,"",,""
"1971-08","1971","08","","","","","","","","","","","40.6","","0.0","","40.6","","0","",,"",,""
"1971-09","1971","09","","","","","","","","","","","37.8","","11.2","","49.0","","3","",,"",,""
"1971-10","1971","10","","","","","","","","","","","6.1","","7.6","","13.7","","3","",,"",,""
"1971-11","1971","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-12","1971","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-01","1972","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-03","1972","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-04","1972","04","","","","","","","","","","","6.1","","7.6","E","13.7","E","0","",,"",,""
"1972-05","1972","05","","","","","","","","","","","54.4","","0.0","","54.4","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","49.5","","0.0","","49.5","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","39.1","","0.0","","39.1","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","36.6","","0.0","","36.6","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","15.0","","15.2","","30.2","","13","",,"",,""
"1972-10","1972","10","","","","","","","","","","","14.5","","12.7","","27.2","","","M",,"",,""
"1972-11","1972","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-12","1972","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-01","1973","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","6.6","","28.7","","35.3","","0","T",,"",,""
"1973-05","1973","05","","","","","","","","","","","8.6","","0.0","","8.6","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","99.3","","0.0","","99.3","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","20.3","","0.0","","20.3","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","75.9","E","0.0","","75.9","E","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","35.3","","0.0","","35.3","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","1.3","","0.0","T","1.3","","","M",,"",,""
"1973-11","1973","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-12","1973","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-01","1974","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-02","1974","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-03","1974","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-04","1974","04","","","","","","","","","","","50.8","","12.7","","63.5","","","M",,"",,""
"1974-05","1974","05","","","","","","","","","","","58.9","","0.0","","58.9","","","M",,"",,""
"1974-06","1974","06","","","","","","","","","","","32.5","","0.0","","32.5","","0","",,"",,""
"1974-07","1974","07","","","","","","","","","","","58.7","","0.0","","58.7","","0","",,"",,""
"1974-08","1974","08","","","","","","","","","","","","M","","M","42.2","E","0","",,"",,""
"1974-09","1974","09","","","","","","","","","","","9.9","","0.0","T","9.9","","0","",,"",,""
"1974-10","1974","10","","","","","","","","","","","5.8","","5.1","","10.9","","0","",,"",,""
"1974-11","1974","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-12","1974","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-01","1975","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-02","1975","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-03","1975","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-04","1975","04","","","","","","","","","","","17.3","","25.4","","42.7","","0","",,"",,""
"1975-05","1975","05","","","","","","","","","","","84.8","","6.4","","91.2","","0","",,"",,""
"1975-06","1975","06","","","","","","","","","","","58.4","","0.0","","58.4","","0","",,"",,""
"1975-07","1975","07","","","","","","","","","","","12.7","","0.0","","12.7","","0","",,"",,""
"1975-08","1975","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-09","1975","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-10","1975","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-11","1975","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
