"Station Name","ASH RIVER GENERATING STN"
"Province","BRITISH COLUMBIA"
"Latitude","49.37"
"Longitude","-125.15"
"Elevation","91.40"
"Climate Identifier","1030552"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1959-01","1959","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-02","1959","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-03","1959","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-04","1959","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-05","1959","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-06","1959","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-07","1959","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-08","1959","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-09","1959","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-10","1959","10","","","","","","","","","","","128.0","","0.0","","128.0","","","M",,"",,""
"1959-11","1959","11","","","","","","","","","","","195.6","","11.4","","207.0","","","M",,"",,""
"1959-12","1959","12","","","","","","","","","","","292.1","","16.5","","308.6","","0","",,"",,""
"1960-01","1960","01","","M","","M","","M","","M","","M","276.9","","97.8","","374.7","","","",,"",,""
"1960-02","1960","02","","M","","M","","M","","M","","M","270.8","","7.6","","278.4","","","",,"",,""
"1960-03","1960","03","","M","","M","","M","","M","","M","187.7","","25.7","","213.4","","","",,"",,""
"1960-04","1960","04","","M","","M","","M","","M","","M","320.8","","0.0","T","320.8","","","",,"",,""
"1960-05","1960","05","","M","","M","","M","","M","","M","131.8","","0.0","","131.8","","","",,"",,""
"1960-06","1960","06","","M","","M","","M","","M","","M","29.7","","0.0","","29.7","","","",,"",,""
"1960-07","1960","07","","M","","M","","M","","M","","M","1.5","","0.0","","1.5","","","",,"",,""
"1960-08","1960","08","","M","","M","","M","","M","","M","34.0","","0.0","","34.0","","","",,"",,""
"1960-09","1960","09","","M","","M","","M","","M","","M","66.3","","0.0","","66.3","","","",,"",,""
"1960-10","1960","10","13.4","","7.9","","10.7","","18.9","S","2.8","","332.2","","0.0","","332.2","","","",,"",,""
"1960-11","1960","11","6.7","","2.4","","4.6","","12.2","","0.0","S","371.6","","8.9","","380.5","","","",,"",,""
"1960-12","1960","12","4.3","","1.0","","2.7","","7.8","S","-2.8","","236.7","","2.5","","239.3","","","",,"",,""
"1961-01","1961","01","5.1","","0.5","","2.8","","11.1","","-2.8","S","637.3","","2.5","","639.8","","","M",,"",,""
"1961-02","1961","02","4.8","","1.1","","3.0","","11.1","","-1.1","","517.7","","29.7","","547.4","","","M",,"",,""
"1961-03","1961","03","6.8","","1.2","","4.0","","13.9","","-3.9","","350.5","","35.6","","386.1","","","M",,"",,""
"1961-04","1961","04","11.4","","3.0","","7.2","","16.7","","-1.1","","103.9","","0.0","T","103.9","","0","",,"",,""
"1961-05","1961","05","16.9","","6.8","","11.9","","27.8","","2.2","","70.4","","0.0","","70.4","","","M",,"",,""
"1961-06","1961","06","22.3","","10.4","","16.4","","33.3","","6.1","","25.7","","0.0","","25.7","","","M",,"",,""
"1961-07","1961","07","26.4","","13.2","","19.8","","35.6","","8.3","","32.3","","0.0","","32.3","","","M",,"",,""
"1961-08","1961","08","27.8","","13.4","","20.6","","33.9","","10.6","","63.5","","0.0","","63.5","","","M",,"",,""
"1961-09","1961","09","19.6","","8.1","","13.9","","27.2","S","1.7","","53.3","","0.0","","53.3","","","M",,"",,""
"1961-10","1961","10","12.0","","5.1","","8.6","","18.9","","-1.1","","246.1","","0.0","T","246.1","","","M",,"",,""
"1961-11","1961","11","5.3","","1.2","","3.3","","11.1","","-1.7","S","278.1","","37.6","","315.7","","0","",,"",,""
"1961-12","1961","12","2.9","","-0.3","","1.3","","6.1","S","-5.0","","194.8","","118.4","","313.2","","","M",,"",,""
"1962-01","1962","01","4.2","","-0.5","","1.9","","7.8","S","-8.3","","219.2","","23.4","","242.6","","0","",,"",,""
"1962-02","1962","02","6.3","","0.4","","3.4","","11.1","","-7.2","","126.2","","14.5","","140.7","","","M",,"",,""
"1962-03","1962","03","7.2","","-0.8","","3.2","","20.0","S","-6.1","","81.0","","88.9","","169.9","","0","",,"",,""
"1962-04","1962","04","11.2","","3.4","","7.3","","20.6","","0.0","S","","M","2.5","","","M","0","",,"",,""
"1962-05","1962","05","14.7","","5.7","","10.2","","22.8","","0.6","","49.5","","0.0","","49.5","","0","",,"",,""
"1962-06","1962","06","20.3","","8.4","","14.4","","27.8","","3.3","","54.6","","0.0","","54.6","","0","",,"",,""
"1962-07","1962","07","24.6","","11.9","","18.3","","32.8","S","6.1","","28.7","","0.0","","28.7","","0","",,"",,""
"1962-08","1962","08","20.1","","11.9","","16.0","","27.2","","8.3","","126.0","","0.0","","126.0","","0","",,"",,""
"1962-09","1962","09","20.7","","9.4","","15.1","","28.3","","6.1","S","127.0","","0.0","","127.0","","0","",,"",,""
"1962-10","1962","10","12.9","","8.1","","10.5","","16.1","","3.9","","256.5","","0.0","","256.5","","0","",,"",,""
"1962-11","1962","11","7.9","","3.7","","5.8","","14.4","","0.6","S","580.1","","10.2","","590.3","","","M",,"",,""
"1962-12","1962","12","5.1","","1.7","","3.4","","14.4","","-2.2","","548.6","","16.5","","565.2","","0","",,"",,""
"1963-01","1963","01","3.5","","-1.7","","0.9","","7.2","","-8.9","S","31.2","","0.0","","31.2","","0","",,"",,""
"1963-02","1963","02","8.8","","1.8","","5.3","","14.4","","-7.2","","422.9","","7.6","","430.5","","0","",,"",,""
"1963-03","1963","03","7.9","","0.4","","4.2","","12.2","S","-2.2","","281.9","","25.4","","307.3","","0","",,"",,""
"1963-04","1963","04","11.2","","3.7","","7.5","","17.8","S","0.0","S","135.9","","0.0","","135.9","","0","",,"",,""
"1963-05","1963","05","18.0","","5.7","","11.9","","30.6","","0.0","","130.0","","0.0","","130.0","","0","",,"",,""
"1963-06","1963","06","20.8","","9.8","","15.3","","32.2","","6.7","S","22.4","","0.0","","22.4","","0","",,"",,""
"1963-07","1963","07","20.5","","11.4","","16.0","","26.1","","7.2","","62.5","","0.0","","62.5","","0","",,"",,""
"1963-08","1963","08","24.7","","12.6","","18.7","","31.1","","10.0","S","36.1","","0.0","","36.1","","0","",,"",,""
"1963-09","1963","09","21.4","","11.8","","16.6","","30.0","","8.9","S","39.9","","0.0","","39.9","","0","",,"",,""
"1963-10","1963","10","12.6","","7.2","","9.9","","19.4","","1.1","","580.1","","0.0","","580.1","","0","",,"",,""
"1963-11","1963","11","6.1","","1.9","","4.0","","10.0","S","-2.2","","453.1","","6.4","","459.5","","0","",,"",,""
"1963-12","1963","12","5.1","","1.3","","3.2","","14.4","","-3.3","","436.1","","15.2","","451.4","","0","",,"",,""
"1964-01","1964","01","3.2","","0.2","","1.7","","6.7","","-2.2","","459.2","","86.4","","545.6","","0","",,"",,""
"1964-02","1964","02","5.3","","-0.7","","2.3","","11.7","","-3.3","","107.4","","37.1","","144.5","","","M",,"",,""
"1964-03","1964","03","7.0","","0.3","","3.7","","13.9","","-2.2","","151.4","","30.5","","181.9","","0","",,"",,""
"1964-04","1964","04","11.2","","1.4","","6.3","","17.2","","-1.1","","100.1","","0.0","T","100.1","","0","",,"",,""
"1964-05","1964","05","15.7","","4.4","","10.1","","25.6","","0.0","","54.1","","0.0","","54.1","","0","",,"",,""
"1964-06","1964","06","17.8","","9.8","","13.8","","27.2","","5.6","","68.8","","0.0","","68.8","","0","",,"",,""
"1964-07","1964","07","20.8","","11.5","","16.2","","29.4","","9.4","","74.7","","0.0","","74.7","","0","",,"",,""
"1964-08","1964","08","21.1","","10.6","","15.9","","29.4","","7.8","S","46.2","","0.0","","46.2","","0","",,"",,""
"1964-09","1964","09","19.1","","8.6","","13.9","","22.8","","4.4","","119.6","","0.0","","119.6","","0","",,"",,""
"1964-10","1964","10","13.8","","5.9","","9.9","","20.6","","0.0","","175.0","","0.0","","175.0","","0","",,"",,""
"1964-11","1964","11","5.5","","1.1","","3.3","","11.1","","-2.2","S","259.6","","20.3","","279.9","","","M",,"",,""
"1964-12","1964","12","2.4","","-1.6","","0.4","","8.9","","-11.1","","119.4","","222.3","","341.6","","","M",,"",,""
"1965-01","1965","01","2.5","","-1.3","","0.6","","7.8","","-8.3","","120.9","","113.0","","233.9","","","M",,"",,""
"1965-02","1965","02","4.8","","-0.6","","2.1","","8.9","","-4.4","S","154.2","","53.3","","207.5","","","M",,"",,""
"1965-03","1965","03","8.2","","-1.3","","3.5","","18.3","","-3.9","","39.1","","0.0","T","39.1","","0","",,"",,""
"1965-04","1965","04","10.8","","3.6","","7.2","","21.1","","-1.1","","146.3","","0.0","","146.3","","0","",,"",,""
"1965-05","1965","05","16.1","","5.2","","10.7","","23.9","","-1.1","","74.9","","0.0","","74.9","","0","",,"",,""
"1965-06","1965","06","22.1","","8.7","","15.4","","31.7","","5.0","S","9.9","","0.0","","9.9","","0","",,"",,""
"1965-07","1965","07","25.4","","11.9","","18.7","","37.2","","8.3","","2.8","","0.0","","2.8","","0","",,"",,""
"1965-08","1965","08","23.4","","13.2","","18.3","","36.7","","6.7","","89.4","","0.0","","89.4","","0","",,"",,""
"1965-09","1965","09","20.0","","8.7","","14.4","","25.0","","5.0","S","11.9","","0.0","","11.9","","0","",,"",,""
