"Station Name","AURORA NE"
"Province","ONTARIO"
"Latitude","44.02"
"Longitude","-79.45"
"Elevation","260.00"
"Climate Identifier","6150398"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2003-07","2003","07","","","","","","","","","","","29.6","","0.0","","29.6","","0","",,"",,""
"2003-08","2003","08","","","","","","","","","","","112.6","","0.0","","112.6","","0","",,"",,""
"2003-09","2003","09","","","","","","","","","","","124.2","","0.0","","124.2","","0","",,"",,""
"2003-10","2003","10","","","","","","","","","","","78.0","","0.0","","78.0","","0","",,"",,""
"2003-11","2003","11","","","","","","","","","","","111.0","","29.8","E","140.8","E","13","",,"",,""
"2003-12","2003","12","","","","","","","","","","","38.7","","20.2","","58.9","","0","",,"",,""
"2004-01","2004","01","","","","","","","","","","","5.0","E","51.0","","56.0","E","29","",,"",,""
"2004-02","2004","02","","","","","","","","","","","3.6","","28.6","E","32.2","E","19","",,"",,""
"2004-03","2004","03","","","","","","","","","","","57.6","","10.0","","67.6","","0","",,"",,""
"2004-04","2004","04","","","","","","","","","","","69.6","","6.2","","75.8","","0","",,"",,""
"2004-05","2004","05","","","","","","","","","","","101.1","","0.0","","101.1","","0","",,"",,""
"2004-06","2004","06","","","","","","","","","","","59.0","","0.0","","59.0","","0","",,"",,""
"2004-07","2004","07","","","","","","","","","","","127.8","","0.0","","127.8","","0","",,"",,""
"2004-08","2004","08","","","","","","","","","","","82.8","E","0.0","","82.8","E","0","",,"",,""
"2004-09","2004","09","","","","","","","","","","","24.4","","0.0","","24.4","","0","",,"",,""
"2004-10","2004","10","","","","","","","","","","","31.2","","0.0","","31.2","","0","",,"",,""
"2004-11","2004","11","","","","","","","","","","","71.8","","6.2","","78.0","","0","",,"",,""
"2004-12","2004","12","","","","","","","","","","","41.4","","43.8","","85.2","","14","",,"",,""
"2005-01","2005","01","","","","","","","","","","","24.0","","33.0","","57.0","","20","",,"",,""
"2005-02","2005","02","","","","","","","","","","","20.2","","33.6","","53.8","","12","",,"",,""
"2005-03","2005","03","","","","","","","","","","","8.0","","20.8","","28.8","","0","",,"",,""
"2005-04","2005","04","","","","","","","","","","","78.0","E","52.2","E","130.2","E","0","",,"",,""
"2005-05","2005","05","","","","","","","","","","","23.0","","0.0","T","23.0","","0","",,"",,""
"2005-06","2005","06","","","","","","","","","","","59.4","","0.0","","59.4","","0","",,"",,""
"2005-07","2005","07","","","","","","","","","","","40.6","","0.0","","40.6","","0","",,"",,""
"2005-08","2005","08","","","","","","","","","","","75.0","","0.0","","75.0","","0","",,"",,""
"2005-09","2005","09","","","","","","","","","","","81.4","","0.0","","81.4","","0","",,"",,""
"2005-10","2005","10","","","","","","","","","","","37.2","","0.0","","37.2","","0","",,"",,""
"2005-11","2005","11","","","","","","","","","","","97.4","E","15.8","","113.2","E","0","",,"",,""
"2005-12","2005","12","","","","","","","","","","","32.2","","51.8","","84.0","","8","",,"",,""
"2006-01","2006","01","","","","","","","","","","","61.0","","17.2","","78.2","","0","",,"",,""
"2006-02","2006","02","","","","","","","","","","","60.2","","62.2","","122.4","","13","",,"",,""
"2006-03","2006","03","","","","","","","","","","","48.8","","2.6","","51.4","","0","",,"",,""
"2006-04","2006","04","","","","","","","","","","","77.4","","2.0","","79.4","","0","",,"",,""
"2006-05","2006","05","","","","","","","","","","","87.2","","0.0","","87.2","","0","",,"",,""
"2006-06","2006","06","","","","","","","","","","","62.4","","0.0","","62.4","","0","",,"",,""
"2006-07","2006","07","","","","","","","","","","","111.4","","0.0","","111.4","","0","",,"",,""
"2006-08","2006","08","","","","","","","","","","","46.4","","0.0","","46.4","","0","",,"",,""
"2006-09","2006","09","","","","","","","","","","","139.4","","0.0","","139.4","","0","",,"",,""
"2006-10","2006","10","","","","","","","","","","","106.8","","0.0","","106.8","","0","",,"",,""
"2006-11","2006","11","","","","","","","","","","","80.8","","0.0","T","80.8","","0","",,"",,""
"2006-12","2006","12","","","","","","","","","","","49.6","","9.2","","58.8","","0","",,"",,""
