"Station Name","AYR"
"Province","ONTARIO"
"Latitude","43.28"
"Longitude","-80.45"
"Elevation","289.60"
"Climate Identifier","6140437"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1956-01","1956","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-02","1956","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-03","1956","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-04","1956","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-05","1956","05","15.6","","5.2","","10.4","","28.3","","-2.8","S","192.5","","0.0","","192.5","","0","",,"",,""
"1956-06","1956","06","23.4","","12.0","","17.7","","32.2","S","5.0","","39.9","","0.0","","39.9","","0","",,"",,""
"1956-07","1956","07","23.7","","13.7","","18.7","","30.6","","7.2","S","127.0","","0.0","","127.0","","0","",,"",,""
"1956-08","1956","08","23.8","","13.1","","18.5","","28.3","S","5.0","","224.3","","0.0","","224.3","","0","",,"",,""
"1956-09","1956","09","18.3","","7.2","","12.8","","27.8","","0.0","S","63.5","","0.0","","63.5","","0","",,"",,""
"1956-10","1956","10","16.8","","3.6","","10.2","","25.6","","-3.9","","28.7","","0.0","","28.7","","","M",,"",,""
"1956-11","1956","11","6.8","","-0.8","","3.0","","20.0","","-14.4","","50.8","","17.8","","68.6","","8","",,"",,""
"1956-12","1956","12","1.7","","-4.3","","-1.3","","11.7","","-17.8","","43.9","","28.4","","72.4","","13","",,"",,""
"1957-01","1957","01","-5.1","","-12.9","","-9.0","","8.3","","-26.7","","31.8","","35.6","","67.3","","13","",,"",,""
"1957-02","1957","02","0.2","","-8.7","","-4.3","","11.1","","-16.7","","28.2","","28.4","","56.6","","0","T",,"",,""
"1957-03","1957","03","4.6","","-3.6","","0.5","","16.1","","-12.8","","23.1","","13.2","","36.3","","","M",,"",,""
"1957-04","1957","04","12.6","","2.9","","7.8","","26.7","S","-6.7","","74.4","","22.6","","97.0","","","M",,"",,""
"1957-05","1957","05","16.9","","5.4","","11.2","","25.6","","-2.8","","92.5","","0.0","","92.5","","0","",,"",,""
"1957-06","1957","06","24.3","","13.0","","18.7","","33.3","","3.3","","145.8","","0.0","","145.8","","0","",,"",,""
"1957-07","1957","07","26.1","","12.8","","19.5","","31.7","","5.0","","69.1","","0.0","","69.1","","0","",,"",,""
"1957-08","1957","08","24.3","","11.1","","17.7","","31.1","","5.0","","47.8","","0.0","","47.8","","0","",,"",,""
"1957-09","1957","09","21.0","","8.7","","14.9","","30.6","","-2.2","S","89.2","","0.0","","89.2","","0","",,"",,""
"1957-10","1957","10","13.8","","2.2","","8.0","","21.1","S","-6.1","","59.7","","0.0","","59.7","","","M",,"",,""
"1957-11","1957","11","6.8","","-0.7","","3.1","","15.6","","-12.2","","73.9","","1.3","","75.2","","0","T",,"",,""
"1957-12","1957","12","2.4","","-4.2","","-0.9","","12.2","","-16.1","","93.0","","9.7","","102.6","","5","",,"",,""
"1958-01","1958","01","-2.4","","-8.4","","-5.4","","2.8","S","-17.8","","1.3","","39.4","","40.6","","20","",,"",,""
"1958-02","1958","02","","M","","M","","M","","M","","M","","M","","M","","M","15","",,"",,""
"1958-03","1958","03","3.7","","-3.1","","0.3","","11.1","","-11.1","","0.0","","17.3","","17.3","","0","",,"",,""
"1958-04","1958","04","13.4","","1.0","","7.2","","23.9","S","-6.7","","47.2","","10.2","","57.4","","0","",,"",,""
"1958-05","1958","05","18.4","","3.9","","11.2","","26.7","","-2.2","","40.9","","0.0","","40.9","","0","",,"",,""
"1958-06","1958","06","21.5","","7.9","","14.7","","28.9","","0.6","","72.6","","0.0","","72.6","","","M",,"",,""
"1958-07","1958","07","25.4","","14.3","","19.9","","30.0","","6.7","","141.2","","0.0","","141.2","","","M",,"",,""
"1958-08","1958","08","25.7","","11.9","","18.8","","31.1","","5.0","S","70.4","","0.0","","70.4","","","M",,"",,""
"1958-09","1958","09","20.9","","10.2","","15.6","","28.3","","0.0","","157.0","","0.0","","157.0","","","M",,"",,""
"1958-10","1958","10","14.7","","3.6","","9.2","","22.2","S","-5.0","","29.5","","0.0","","29.5","","","M",,"",,""
