"Station Name","BALTIMORE"
"Province","NEW BRUNSWICK"
"Latitude","45.88"
"Longitude","-64.82"
"Elevation","182.90"
"Climate Identifier","8100430"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01","1982","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-02","1982","02","-3.4","","-13.5","","-8.5","","9.5","","-24.5","","17.2","E","59.8","E","77.0","E","99","",,"",,""
"1982-03","1982","03","2.7","","-8.6","","-3.0","","11.0","","-24.5","","23.4","E","36.6","","60.0","E","35","",,"",,""
"1982-04","1982","04","7.9","","-1.9","","3.0","","22.5","","-12.0","","50.2","","67.3","","117.5","","12","",,"",,""
"1982-05","1982","05","14.9","","2.2","E","8.6","E","28.0","","-4.0","S","82.6","","0.0","","82.6","","0","",,"",,""
"1982-06","1982","06","19.0","","7.2","","13.1","","24.5","","-1.5","","118.6","","0.0","","118.6","","0","",,"",,""
"1982-07","1982","07","24.6","","12.2","","18.4","","32.5","","3.5","S","143.4","","0.0","","143.4","","0","",,"",,""
"1982-08","1982","08","20.3","","9.6","","15.0","","27.5","","1.5","S","98.6","","0.0","","98.6","","0","",,"",,""
"1982-09","1982","09","18.6","","7.7","","13.2","","27.0","","0.0","","93.4","","0.0","","93.4","","0","",,"",,""
"1982-10","1982","10","12.5","E","0.7","","6.6","E","20.5","","-8.5","","59.4","","0.0","T","59.4","","0","",,"",,""
"1982-11","1982","11","6.7","","-1.5","","2.6","","19.5","S","-16.0","","106.4","","16.0","","122.4","","2","",,"",,""
"1982-12","1982","12","1.6","E","-8.8","E","-3.6","E","15.0","","-29.0","","27.8","","57.4","","85.2","","0","",,"",,""
"1983-01","1983","01","-1.8","","-11.9","","-6.9","","12.0","","-25.0","","53.6","","40.6","","94.2","","10","",,"",,""
"1983-02","1983","02","-2.4","","-13.0","","-7.7","","10.0","","-26.0","","18.6","","109.2","","127.8","","53","",,"",,""
"1983-03","1983","03","2.8","","-5.7","","-1.5","","11.5","","-20.5","","109.4","","45.2","","154.6","","6","",,"",,""
"1983-04","1983","04","9.4","","0.1","","4.8","","23.5","","-11.0","","141.0","","13.0","","154.0","","0","",,"",,""
"1983-05","1983","05","14.7","","5.0","","9.9","","21.5","","-5.0","","131.0","","13.0","","144.0","","0","",,"",,""
"1983-06","1983","06","21.6","","8.5","","15.1","","32.0","","1.0","","22.8","","0.0","","22.8","","0","",,"",,""
"1983-07","1983","07","23.4","","12.4","","17.9","","30.0","","6.0","","175.1","","0.0","","175.1","","0","",,"",,""
"1983-08","1983","08","22.6","","12.2","","17.4","","27.0","S","4.0","","111.8","","0.0","","111.8","","0","",,"",,""
"1983-09","1983","09","20.4","","9.0","","14.7","","29.5","","-0.5","","71.0","","0.0","","71.0","","0","",,"",,""
"1983-10","1983","10","12.8","","2.7","","7.8","","23.5","S","-4.5","S","75.4","","0.0","T","75.4","","0","",,"",,""
"1983-11","1983","11","5.9","","-1.0","","2.5","","14.5","S","-8.0","","184.6","","17.8","","202.4","","2","",,"",,""
"1983-12","1983","12","-0.5","","-10.5","","-5.5","","13.0","","-24.5","","149.2","","51.6","","200.8","","0","",,"",,""
"1984-01","1984","01","-4.6","","-14.0","","-9.3","","6.5","S","-30.5","","35.6","","125.0","","160.6","","25","",,"",,""
