"Station Name","BANCROFT OMNR"
"Province","ONTARIO"
"Latitude","45.05"
"Longitude","-77.87"
"Elevation","344.40"
"Climate Identifier","6160473"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1987-01","1987","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-02","1987","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-03","1987","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-04","1987","04","","","","","","","","","","","29.3","","0.0","T","29.3","","0","",,"",,""
"1987-05","1987","05","","","","","","","","","","","58.8","","0.0","","58.8","","0","",,"",,""
"1987-06","1987","06","","","","","","","","","","","111.4","","0.0","","111.4","","0","",,"",,""
"1987-07","1987","07","","","","","","","","","","","57.2","","0.0","","57.2","","0","",,"",,""
"1987-08","1987","08","","","","","","","","","","","35.5","","0.0","","35.5","","0","",,"",,""
"1987-09","1987","09","","","","","","","","","","","99.4","","0.0","","99.4","","0","",,"",,""
"1987-10","1987","10","","","","","","","","","","","107.8","E","0.0","","107.8","E","0","",,"",,""
"1987-11","1987","11","","","","","","","","","","","72.6","E","32.0","","104.6","E","","M",,"",,""
"1987-12","1987","12","","","","","","","","","","","25.4","","55.6","","81.0","","","M",,"",,""
"1988-01","1988","01","","M","","M","","M","","M","","M","29.0","","39.4","","68.4","","","M",,"",,""
"1988-02","1988","02","","M","","M","","M","","M","","M","9.0","E","78.6","E","87.6","E","","M",,"",,""
"1988-03","1988","03","","M","","M","","M","","M","","M","30.1","","5.6","","35.7","","","M",,"",,""
"1988-04","1988","04","","M","","M","","M","","M","","M","122.5","E","6.2","E","128.7","E","0","",,"",,""
"1988-05","1988","05","20.6","E","7.4","E","14.0","E","31.0","","-1.0","","76.2","","0.0","","76.2","","0","",,"",,""
"1988-06","1988","06","23.1","","7.9","E","15.5","E","34.0","","0.0","","16.6","","0.0","","16.6","","0","",,"",,""
"1988-07","1988","07","29.7","E","13.5","E","21.6","E","36.5","","5.5","","29.3","","0.0","","29.3","","0","",,"",,""
"1988-08","1988","08","26.0","","12.2","","19.1","","36.0","","0.0","","65.9","","0.0","","65.9","","0","",,"",,""
"1988-09","1988","09","19.4","","4.5","","12.0","","26.0","","-2.5","","74.2","","0.0","","74.2","","0","",,"",,""
"1988-10","1988","10","9.1","E","0.1","E","4.6","E","23.0","","-6.0","","92.7","E","0.0","","92.7","E","0","",,"",,""
"1988-11","1988","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1988-12","1988","12","","M","","M","","M","","M","","M","17.2","","26.0","E","43.2","E","","M",,"",,""
"1989-01","1989","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-02","1989","02","","M","","M","","M","","M","","M","0.8","","38.0","E","38.8","E","","M",,"",,""
"1989-03","1989","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-04","1989","04","9.3","E","-4.9","E","2.2","E","16.0","","-11.5","E","23.5","E","9.8","E","33.3","E","0","",,"",,""
"1989-05","1989","05","17.6","","4.7","E","11.2","E","29.0","","-1.0","","94.2","","0.0","T","94.2","","0","",,"",,""
"1989-06","1989","06","22.9","","12.2","","17.6","","31.0","","5.0","","153.4","","0.0","","153.4","","0","",,"",,""
"1989-07","1989","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-08","1989","08","25.2","","11.5","","18.4","","","M","","M","21.6","","0.0","","21.6","","0","",,"",,""
"1989-09","1989","09","21.0","E","5.5","E","13.3","E","27.0","","-4.0","","69.0","E","0.0","","69.0","E","0","",,"",,""
"1989-10","1989","10","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1989-11","1989","11","","M","","M","","M","","M","","M","93.1","","27.2","","120.3","","","M",,"",,""
"1989-12","1989","12","-9.1","E","-25.3","E","-17.2","E","2.0","E","-33.0","E","9.0","E","33.2","E","42.2","E","","M",,"",,""
"1990-01","1990","01","1.7","E","-8.2","E","-3.3","E","7.0","","-25.0","","34.0","E","43.6","E","77.6","E","","M",,"",,""
"1990-02","1990","02","-0.1","E","-15.1","E","-7.6","E","7.5","","-30.0","","16.8","E","46.4","","63.2","E","","M",,"",,""
"1990-03","1990","03","6.2","E","-8.2","","-1.0","E","21.5","","-26.5","","47.7","E","6.4","","54.1","E","","M",,"",,""
"1990-04","1990","04","12.4","E","-0.1","E","6.2","E","30.0","","-10.0","S","87.4","","14.6","","102.0","E","","M",,"",,""
"1990-05","1990","05","16.3","E","3.7","E","10.0","E","25.0","","-2.5","","61.6","","0.0","","61.6","","0","",,"",,""
"1990-06","1990","06","23.6","","11.4","E","17.5","E","","M","","M","45.2","","0.0","","45.2","","0","",,"",,""
"1990-07","1990","07","26.1","","12.7","","19.4","","30.5","","5.0","","58.0","E","0.0","","58.0","E","0","",,"",,""
"1990-08","1990","08","25.0","E","11.7","E","18.4","E","30.5","","6.0","","33.0","E","0.0","","33.0","E","0","",,"",,""
