"Station Name","BEAUSEJOUR"
"Province","MANITOBA"
"Latitude","50.13"
"Longitude","-96.22"
"Elevation","302.40"
"Climate Identifier","5030155"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1960-01","1960","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-02","1960","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-03","1960","03","-4.9","","","M","","M","3.3","","","M","0.0","T","7.1","","7.1","","","M",,"",,""
"1960-04","1960","04","5.9","","","M","","M","16.7","S","","M","35.3","","35.8","","71.1","","","M",,"",,""
"1960-05","1960","05","","M","6.9","","","M","28.9","S","-2.2","","37.6","","0.3","","37.8","","","M",,"",,""
"1960-06","1960","06","20.8","","10.2","","15.5","","29.4","","3.9","S","53.6","","0.0","","53.6","","","M",,"",,""
"1960-07","1960","07","25.8","","13.3","","19.6","","33.3","","5.6","","40.9","","0.0","","40.9","","","M",,"",,""
"1960-08","1960","08","24.7","","","M","","M","31.1","","8.9","","64.8","","0.0","","64.8","","","M",,"",,""
"1960-09","1960","09","18.8","","","M","","M","29.4","","0.0","","16.5","","0.0","","16.5","","","M",,"",,""
"1960-10","1960","10","11.6","","1.9","","6.8","","25.6","","-8.3","","39.9","","3.3","","43.2","","","M",,"",,""
"1960-11","1960","11","-1.2","","-6.4","","-3.8","","7.2","","-22.2","","0.0","","25.7","","25.7","","","M",,"",,""
"1960-12","1960","12","-11.2","","-19.3","","-15.3","","0.6","","-30.0","","0.0","","22.4","","22.4","","15","",,"",,""
"1961-01","1961","01","-12.8","","-22.4","","-17.6","","3.3","","-36.7","","0.0","T","5.1","","5.1","","15","",,"",,""
"1961-02","1961","02","-5.1","","-15.3","","-10.2","","3.3","","-31.1","","0.0","","46.2","","46.2","","51","",,"",,""
"1961-03","1961","03","1.2","","-8.2","","-3.5","","10.0","","-17.2","S","12.4","","1.8","","14.2","","0","T",,"",,""
"1961-04","1961","04","5.7","","-4.3","","0.7","","16.7","","-16.7","","20.3","","27.9","","48.3","","","M",,"",,""
"1961-05","1961","05","18.5","","","M","","M","29.4","","-6.7","","15.5","","0.0","","15.5","","","M",,"",,""
