"Station Name","BEAVERDELL"
"Province","BRITISH COLUMBIA"
"Latitude","49.42"
"Longitude","-119.11"
"Elevation","780.00"
"Climate Identifier","1130770"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1925-01","1925","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1925-02","1925","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1925-03","1925","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1925-04","1925","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1925-05","1925","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1925-06","1925","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1925-07","1925","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1925-08","1925","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1925-09","1925","09","","","","","","","","","","","36.8","","0.0","","36.8","","","",,"",,""
"1925-10","1925","10","","","","","","","","","","","12.4","","14.0","","26.4","","","",,"",,""
"1925-11","1925","11","","","","","","","","","","","18.3","","17.8","","36.1","","","",,"",,""
"1925-12","1925","12","","","","","","","","","","","22.4","","22.4","","44.7","","","",,"",,""
"1926-01","1926","01","","","","","","","","","","","0.0","","50.5","","50.5","","","",,"",,""
"1926-02","1926","02","","","","","","","","","","","13.2","","38.4","","51.6","","","",,"",,""
"1926-03","1926","03","","","","","","","","","","","29.5","","5.1","","34.5","","","",,"",,""
"1926-04","1926","04","","","","","","","","","","","17.3","","0.0","T","17.3","","","",,"",,""
"1926-05","1926","05","","","","","","","","","","","38.9","","0.0","","38.9","","","",,"",,""
"1926-06","1926","06","","","","","","","","","","","51.8","","0.0","","51.8","","","",,"",,""
"1926-07","1926","07","","","","","","","","","","","19.8","","0.0","","19.8","","","",,"",,""
"1926-08","1926","08","","","","","","","","","","","26.9","","0.0","","26.9","","","",,"",,""
"1926-09","1926","09","","","","","","","","","","","58.2","","0.0","","58.2","","","",,"",,""
"1926-10","1926","10","","","","","","","","","","","39.6","","0.0","","39.6","","","",,"",,""
"1926-11","1926","11","","","","","","","","","","","11.4","","15.0","","26.4","","","",,"",,""
"1926-12","1926","12","","","","","","","","","","","12.4","","58.4","","70.9","","","",,"",,""
"1927-01","1927","01","","","","","","","","","","","6.4","","30.2","","36.6","","","",,"",,""
"1927-02","1927","02","","","","","","","","","","","0.0","","53.3","","53.3","","","",,"",,""
"1927-03","1927","03","","","","","","","","","","","0.0","","12.4","","12.4","","","",,"",,""
"1927-04","1927","04","","","","","","","","","","","10.2","","0.0","","10.2","","","",,"",,""
"1927-05","1927","05","","","","","","","","","","","45.2","","0.0","","45.2","","","",,"",,""
"1927-06","1927","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1927-07","1927","07","","","","","","","","","","","53.8","","0.0","","53.8","","","",,"",,""
"1927-08","1927","08","","","","","","","","","","","87.1","","0.0","","87.1","","","",,"",,""
