"Station Name","BEAVERTON"
"Province","ONTARIO"
"Latitude","44.42"
"Longitude","-79.15"
"Elevation","230.10"
"Climate Identifier","6110633"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1948-01","1948","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-02","1948","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-03","1948","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1948-04","1948","04","","","","","","","","","","","77.5","","0.0","T","77.5","","","M",,"",,""
"1948-05","1948","05","","","","","","","","","","","57.4","","0.0","","57.4","","","M",,"",,""
"1948-06","1948","06","","","","","","","","","","","79.2","","0.0","","79.2","","","M",,"",,""
"1948-07","1948","07","","","","","","","","","","","109.2","","0.0","","109.2","","","M",,"",,""
"1948-08","1948","08","","","","","","","","","","","45.2","","0.0","","45.2","","","M",,"",,""
"1948-09","1948","09","","","","","","","","","","","36.8","","0.0","","36.8","","","M",,"",,""
"1948-10","1948","10","","","","","","","","","","","81.3","","0.0","","81.3","","","M",,"",,""
"1948-11","1948","11","","","","","","","","","","","80.0","","0.3","","80.3","","","M",,"",,""
"1948-12","1948","12","","","","","","","","","","","17.5","","34.3","","51.8","","3","",,"",,""
"1949-01","1949","01","","","","","","","","","","","20.6","","35.3","","55.9","","5","",,"",,""
"1949-02","1949","02","","","","","","","","","","","20.3","","54.6","","74.9","","0","T",,"",,""
