"Station Name","BERLAND LO"
"Province","ALBERTA"
"Latitude","54.08"
"Longitude","-117.40"
"Elevation","1231.00"
"Climate Identifier","3060630"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1958-01","1958","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","62.2","","0.0","T","62.2","","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","172.7","","0.0","","172.7","","","",,"",,""
"1958-07","1958","07","","","","","","","","","","","36.8","","0.0","","36.8","","","",,"",,""
"1958-08","1958","08","","","","","","","","","","","39.9","","0.0","","39.9","","","",,"",,""
"1958-09","1958","09","","","","","","","","","","","32.3","","0.0","T","32.3","","","",,"",,""
"1958-10","1958","10","","","","","","","","","","","7.6","","10.9","","18.5","","","",,"",,""
"1958-11","1958","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-12","1958","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-01","1959","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-02","1959","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-03","1959","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-04","1959","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-05","1959","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-06","1959","06","","","","","","","","","","","86.1","","0.0","","86.1","","","",,"",,""
"1959-07","1959","07","","","","","","","","","","","32.3","","0.0","","32.3","","","",,"",,""
"1959-08","1959","08","","","","","","","","","","","135.1","","0.0","T","135.1","","","",,"",,""
"1959-09","1959","09","","","","","","","","","","","40.4","","2.8","","43.2","","","",,"",,""
"1959-10","1959","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-11","1959","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-12","1959","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-01","1960","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-02","1960","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-03","1960","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-04","1960","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-05","1960","05","","","","","","","","","","","95.8","","6.6","","102.4","","","",,"",,""
"1960-06","1960","06","","","","","","","","","","","162.6","","0.0","","162.6","","","",,"",,""
"1960-07","1960","07","","","","","","","","","","","69.3","","0.0","","69.3","","","",,"",,""
"1960-08","1960","08","","","","","","","","","","","49.0","","0.0","","49.0","","","",,"",,""
"1960-09","1960","09","","","","","","","","","","","42.7","","0.0","","42.7","","","",,"",,""
"1960-10","1960","10","","","","","","","","","","","17.5","","3.6","","21.1","","","",,"",,""
"1960-11","1960","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-12","1960","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-01","1961","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-02","1961","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-03","1961","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-04","1961","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-05","1961","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-06","1961","06","","","","","","","","","","","147.6","","0.0","","147.6","","","M",,"",,""
"1961-07","1961","07","","","","","","","","","","","93.5","","0.0","","93.5","","","M",,"",,""
"1961-08","1961","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-09","1961","09","","","","","","","","","","","56.1","","52.1","","108.2","","8","",,"",,""
"1961-10","1961","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-11","1961","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-12","1961","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","9.1","","19.8","","29.0","","5","",,"",,""
"1962-05","1962","05","","","","","","","","","","","59.4","","10.9","","70.4","","0","",,"",,""
"1962-06","1962","06","","","","","","","","","","","81.3","","0.0","","81.3","","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","103.1","","0.0","","103.1","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","57.2","","0.0","","57.2","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","17.5","","11.9","","29.5","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","18.3","","10.4","","28.7","","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-12","1962","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-01","1963","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-02","1963","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-03","1963","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-04","1963","04","","","","","","","","","","","16.5","","42.2","","58.7","","0","",,"",,""
"1963-05","1963","05","","","","","","","","","","","21.6","","9.7","","31.2","","0","",,"",,""
"1963-06","1963","06","","","","","","","","","","","50.3","","0.0","","50.3","","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","54.6","","0.0","","54.6","","0","",,"",,""
"1963-08","1963","08","","","","","","","","","","","78.7","","0.0","","78.7","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","58.4","","0.0","","58.4","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","17.0","","1.8","","18.8","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-12","1963","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-01","1964","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","","","","","","","","","","11.2","","53.6","","64.8","","10","",,"",,""
"1964-05","1964","05","","","","","","","","","","","52.6","","14.7","","67.3","","0","",,"",,""
"1964-06","1964","06","","","","","","","","","","","128.5","","0.0","","128.5","","0","",,"",,""
"1964-07","1964","07","","","","","","","","","","","194.6","","0.0","","194.6","","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","137.4","","0.0","","137.4","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","135.4","","0.0","","135.4","","0","",,"",,""
