"Station Name","BINGHAM CHUTE"
"Province","ONTARIO"
"Latitude","46.08"
"Longitude","-79.40"
"Elevation","242.30"
"Climate Identifier","6110745"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1933-01","1933","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1933-02","1933","02","-4.7","","-17.3","","-11.0","","5.6","S","-36.7","","15.0","","83.6","","98.6","","","",,"",,""
"1933-03","1933","03","-0.4","","-11.2","","-5.8","","6.7","","-22.2","","11.7","","38.1","","49.8","","","",,"",,""
"1933-04","1933","04","8.5","","-0.9","","3.8","","21.1","","-5.6","S","59.4","","0.0","","59.4","","","",,"",,""
"1933-05","1933","05","18.0","","4.8","","11.4","","27.8","","-4.4","","74.2","","0.0","","74.2","","","",,"",,""
"1933-06","1933","06","25.1","","9.9","","17.5","","35.6","","1.1","","49.8","","0.0","","49.8","","","",,"",,""
"1933-07","1933","07","26.7","","11.4","","19.1","","32.2","","3.3","","90.4","","0.0","","90.4","","","",,"",,""
"1933-08","1933","08","26.4","","9.2","","17.8","","37.8","","4.4","S","50.8","","0.0","","50.8","","","",,"",,""
"1933-09","1933","09","20.4","","7.6","","14.0","","30.0","","-2.2","S","91.9","","0.0","","91.9","","","",,"",,""
"1933-10","1933","10","9.9","","0.2","","5.1","","20.0","","-12.2","S","82.8","","2.5","","85.3","","","",,"",,""
"1933-11","1933","11","-1.7","","-14.2","","-8.0","","18.9","","-26.7","S","20.8","","71.9","","92.7","","","",,"",,""
"1933-12","1933","12","-9.1","","-20.9","","-15.0","","3.3","S","-46.7","","18.5","","72.6","","91.2","","","",,"",,""
"1934-01","1934","01","-5.7","","-16.0","","-10.9","","2.2","","-36.7","","9.7","","60.5","","70.1","","","",,"",,""
"1934-02","1934","02","-12.2","","-31.1","","-21.7","","-1.1","","-43.3","","0.0","","48.3","","48.3","","","",,"",,""
"1934-03","1934","03","-1.9","","-15.4","","-8.7","","8.9","","-33.3","","8.9","","63.8","","72.6","","","",,"",,""
"1934-04","1934","04","6.6","","-2.4","","2.1","","21.1","","-7.8","","22.1","","28.4","","50.5","","","",,"",,""
"1934-05","1934","05","18.6","","2.7","","10.7","","27.8","","-4.4","S","","M","","M","","M","","",,"",,""
"1934-06","1934","06","23.9","","10.1","","17.0","","34.4","","0.0","","78.7","","0.0","","78.7","","","",,"",,""
"1934-07","1934","07","25.8","","11.1","","18.5","","31.1","S","5.6","S","104.6","","0.0","","104.6","","","",,"",,""
"1934-08","1934","08","22.6","","7.7","","15.2","","31.7","","-1.1","","40.1","","0.0","","40.1","","","",,"",,""
"1934-09","1934","09","19.8","","9.4","","14.6","","27.8","","-1.1","","151.6","","0.0","","151.6","","","",,"",,""
"1934-10","1934","10","10.4","","1.3","","5.9","","18.9","","-7.8","","59.2","","7.6","","66.8","","","",,"",,""
"1934-11","1934","11","4.7","","-1.6","","1.6","","12.8","","-11.7","","85.3","","28.7","","114.0","","","",,"",,""
"1934-12","1934","12","-6.8","","-19.1","","-13.0","","7.8","","-31.1","","2.3","","65.5","","67.8","","","",,"",,""
"1935-01","1935","01","-8.7","","-23.3","","-16.0","","4.4","S","-40.0","","8.6","","99.1","","107.7","","","",,"",,""
"1935-02","1935","02","-4.9","","-21.7","","-13.3","","1.1","S","-40.0","","11.2","","66.0","","77.2","","","",,"",,""
"1935-03","1935","03","1.9","","-11.5","","-4.8","","8.9","S","-26.7","","56.6","","35.1","","91.7","","","",,"",,""
"1935-04","1935","04","9.8","","-3.7","","3.1","","21.1","","-11.1","S","42.2","","3.3","","45.5","","","",,"",,""
"1935-05","1935","05","15.3","","1.1","","8.2","","27.2","","-5.6","","11.4","","0.0","","11.4","","","",,"",,""
"1935-06","1935","06","21.9","","8.7","","15.3","","27.8","","2.2","","158.2","","0.0","","158.2","","","",,"",,""
"1935-07","1935","07","27.8","","14.3","","21.1","","35.6","","4.4","","68.8","","0.0","","68.8","","","",,"",,""
"1935-08","1935","08","25.9","","10.9","","18.4","","33.3","","2.2","","53.3","","0.0","","53.3","","","",,"",,""
"1935-09","1935","09","16.6","","4.4","","10.5","","27.8","","-3.3","S","65.3","","0.0","","65.3","","","",,"",,""
"1935-10","1935","10","11.9","","0.3","","6.1","","20.0","","-5.0","","85.6","","0.0","","85.6","","","",,"",,""
"1935-11","1935","11","3.8","","-4.9","","-0.6","","12.2","","-17.8","","73.2","","17.3","","90.4","","","",,"",,""
"1935-12","1935","12","-7.4","","-18.9","","-13.2","","2.2","","-33.3","","7.6","","68.6","","76.2","","","",,"",,""
"1936-01","1936","01","-7.9","","-21.4","","-14.7","","1.7","","-37.8","","5.1","","63.8","","68.8","","","",,"",,""
"1936-02","1936","02","-8.3","","-22.9","","-15.6","","5.6","","-38.9","","2.5","","68.6","","71.1","","","",,"",,""
"1936-03","1936","03","1.9","","-8.9","","-3.5","","11.1","S","-32.8","","23.6","","67.3","","90.9","","","",,"",,""
"1936-04","1936","04","5.4","","-4.9","","0.3","","15.6","","-25.0","","32.0","","48.3","","80.3","","","",,"",,""
"1936-05","1936","05","18.4","","3.8","","11.1","","28.9","S","-6.7","","55.4","","0.0","","55.4","","","",,"",,""
"1936-06","1936","06","22.3","","7.2","","14.8","","30.0","","0.0","","62.0","","0.0","","62.0","","","",,"",,""
"1936-07","1936","07","28.5","","10.8","","19.7","","40.6","","3.3","","26.9","","0.0","","26.9","","","",,"",,""
"1936-08","1936","08","23.4","","8.5","","16.0","","31.1","","1.1","S","85.3","","0.0","","85.3","","","",,"",,""
"1936-09","1936","09","20.6","","6.3","","13.5","","30.6","","-5.6","","96.8","","0.0","","96.8","","","",,"",,""
"1936-10","1936","10","10.6","","-0.9","","4.9","","23.3","","-12.2","","117.1","","0.0","","117.1","","","",,"",,""
"1936-11","1936","11","-0.5","","-9.9","","-5.2","","14.4","","-30.0","","26.7","","23.1","","49.8","","","",,"",,""
"1936-12","1936","12","-0.9","","-11.1","","-6.0","","8.9","S","-31.1","","104.1","","38.1","","142.2","","","",,"",,""
"1937-01","1937","01","-1.4","","-14.0","","-7.7","","6.7","","-30.0","","27.7","","30.5","","58.2","","","",,"",,""
"1937-02","1937","02","-1.4","","-14.4","","-7.9","","10.0","","-24.4","","52.3","","43.2","","95.5","","","",,"",,""
"1937-03","1937","03","-1.4","","-13.8","","-7.6","","6.7","","-30.0","","0.0","","51.6","","51.6","","","",,"",,""
"1937-04","1937","04","9.4","","-1.3","","4.1","","23.9","","-11.1","","68.8","","0.0","","68.8","","","",,"",,""
"1937-05","1937","05","20.1","","3.8","","12.0","","31.1","","-2.2","","47.2","","0.0","","47.2","","","",,"",,""
"1937-06","1937","06","24.4","","9.0","","16.7","","32.2","","1.1","","73.9","","0.0","","73.9","","","",,"",,""
"1937-07","1937","07","27.8","","11.3","","19.6","","34.4","","4.4","S","44.2","","0.0","","44.2","","","",,"",,""
"1937-08","1937","08","28.4","","12.1","","20.3","","33.9","","2.2","","98.0","","0.0","","98.0","","","",,"",,""
"1937-09","1937","09","20.3","","5.9","","13.1","","33.3","","-2.2","","74.2","","0.0","","74.2","","","",,"",,""
"1937-10","1937","10","9.5","","-0.3","","4.6","","25.6","","-5.6","S","56.1","","15.2","","71.4","","","",,"",,""
"1937-11","1937","11","4.1","","-3.4","","0.4","","12.2","","-14.4","","67.8","","16.5","","84.3","","","",,"",,""
"1937-12","1937","12","-4.4","","-18.0","","-11.2","","3.3","","-32.2","","0.0","","143.5","","143.5","","","",,"",,""
"1938-01","1938","01","-5.7","","-22.3","","-14.0","","6.1","","-36.7","","7.9","","66.0","","73.9","","","",,"",,""
"1938-02","1938","02","-3.4","","-19.2","","-11.3","","3.3","S","-34.4","","14.0","","65.5","","79.5","","","",,"",,""
"1938-03","1938","03","3.5","","-11.9","","-4.2","","19.4","S","-38.9","","60.5","","36.3","","96.8","","","",,"",,""
"1938-04","1938","04","10.2","","-2.1","","4.1","","26.7","","-18.9","","74.4","","15.2","","89.7","","","",,"",,""
"1938-05","1938","05","19.6","","2.8","","11.2","","28.9","","-1.1","S","73.7","","0.0","","73.7","","","",,"",,""
"1938-06","1938","06","24.6","","8.7","","16.7","","33.3","S","2.2","","65.0","","0.0","","65.0","","","",,"",,""
"1938-07","1938","07","27.9","","11.4","","19.7","","32.2","","4.4","S","184.4","","0.0","","184.4","","","",,"",,""
"1938-08","1938","08","27.7","","11.8","","19.8","","33.9","","3.3","","101.6","","0.0","","101.6","","","",,"",,""
"1938-09","1938","09","18.6","","2.8","","10.7","","25.6","S","-2.2","","102.9","","0.0","","102.9","","","",,"",,""
"1938-10","1938","10","15.8","","0.8","","8.3","","28.9","","-8.9","","32.8","","0.0","","32.8","","","",,"",,""
"1938-11","1938","11","6.7","","-4.0","","1.4","","21.1","","-20.0","","37.6","","8.9","","46.5","","","",,"",,""
"1938-12","1938","12","-2.1","","-12.2","","-7.2","","6.7","S","-36.7","","11.9","","62.2","","74.2","","","",,"",,""
"1939-01","1939","01","-4.7","","-20.2","","-12.5","","7.2","","-38.9","","9.4","","34.3","","43.7","","","",,"",,""
"1939-02","1939","02","-5.1","","-19.5","","-12.3","","6.1","","-31.1","","21.6","","55.9","","77.5","","","",,"",,""
"1939-03","1939","03","-0.7","","-16.8","","-8.8","","12.2","","-31.1","","0.0","","39.4","","39.4","","","",,"",,""
"1939-04","1939","04","7.0","","-4.7","","1.2","","23.3","","-14.4","S","51.8","","36.8","","88.6","","","",,"",,""
"1939-05","1939","05","19.5","","4.2","","11.9","","27.8","S","-5.6","S","63.8","","0.0","","63.8","","","",,"",,""
"1939-06","1939","06","23.8","","9.2","","16.5","","33.3","","0.0","","51.3","","0.0","","51.3","","","",,"",,""
"1939-07","1939","07","28.1","","11.3","","19.7","","35.0","","4.4","","37.1","","0.0","","37.1","","","",,"",,""
"1939-08","1939","08","27.2","","11.8","","19.5","","31.7","","5.0","","168.9","","0.0","","168.9","","","",,"",,""
"1939-09","1939","09","20.2","","5.0","","12.6","","33.3","","-3.3","S","55.1","","0.0","","55.1","","","",,"",,""
"1939-10","1939","10","11.2","","-0.4","","5.4","","24.4","","-10.0","","83.6","","6.4","","89.9","","","",,"",,""
"1939-11","1939","11","2.7","","-8.1","","-2.7","","11.1","","-17.8","","25.7","","2.5","","28.2","","","",,"",,""
"1939-12","1939","12","-1.7","","-12.6","","-7.2","","5.6","S","-28.9","","13.2","","22.9","","36.1","","","",,"",,""
