"Station Name","BLACKIE 2W"
"Province","ALBERTA"
"Latitude","50.60"
"Longitude","-113.68"
"Elevation","1024.10"
"Climate Identifier","3030GJJ"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01","1972","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-03","1972","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-04","1972","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-05","1972","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-06","1972","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-07","1972","07","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","53.6","","0.0","","53.6","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","17.3","","16.8","","34.0","","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","2.8","","15.2","","18.0","","","M",,"",,""
"1972-11","1972","11","","","","","","","","","","","0.0","","2.5","","2.5","","","M",,"",,""
"1972-12","1972","12","","","","","","","","","","","0.0","","46.5","","46.5","","41","",,"",,""
"1973-01","1973","01","","","","","","","","","","","0.0","","12.7","","12.7","","","M",,"",,""
"1973-02","1973","02","","","","","","","","","","","0.0","","19.1","","19.1","","10","",,"",,""
"1973-03","1973","03","","","","","","","","","","","0.0","","8.9","","8.9","","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","9.7","","24.4","","34.0","","","M",,"",,""
"1973-05","1973","05","","","","","","","","","","","12.7","","0.0","","12.7","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","78.2","","0.0","","78.2","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","28.7","","0.0","","28.7","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","102.6","","0.0","","102.6","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","56.9","","0.0","","56.9","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","5.1","","5.1","","10.2","","0","",,"",,""
"1973-11","1973","11","","","","","","","","","","","0.0","","24.6","","24.6","","28","",,"",,""
"1973-12","1973","12","","","","","","","","","","","0.0","","14.0","","14.0","","43","",,"",,""
"1974-01","1974","01","","","","","","","","","","","0.0","","43.2","","43.2","","84","",,"",,""
"1974-02","1974","02","","","","","","","","","","","0.0","","5.1","","5.1","","89","",,"",,""
