"Station Name","BLIND CHANNEL"
"Province","BRITISH COLUMBIA"
"Latitude","50.42"
"Longitude","-125.50"
"Elevation","3.00"
"Climate Identifier","1020885"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1956-01","1956","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-02","1956","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-03","1956","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-04","1956","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-05","1956","05","","","","","","","","","","","29.7","","0.0","","29.7","","","M",,"",,""
"1956-06","1956","06","","","","","","","","","","","229.9","","0.0","","229.9","","0","",,"",,""
"1956-07","1956","07","","","","","","","","","","","67.8","","0.0","","67.8","","0","",,"",,""
"1956-08","1956","08","","","","","","","","","","","50.3","","0.0","","50.3","","0","",,"",,""
"1956-09","1956","09","","","","","","","","","","","197.1","","0.0","","197.1","","0","",,"",,""
"1956-10","1956","10","","","","","","","","","","","278.9","","0.0","","278.9","","0","",,"",,""
"1956-11","1956","11","","","","","","","","","","","242.8","","2.5","","245.4","","0","",,"",,""
"1956-12","1956","12","","","","","","","","","","","447.8","","6.4","","454.2","","","M",,"",,""
"1957-01","1957","01","","","","","","","","","","","25.4","","35.6","","61.0","","","M",,"",,""
"1957-02","1957","02","","","","","","","","","","","130.0","","62.2","","192.3","","","M",,"",,""
"1957-03","1957","03","","","","","","","","","","","358.1","","6.4","","364.5","","","M",,"",,""
"1957-04","1957","04","","","","","","","","","","","145.3","","0.0","","145.3","","","M",,"",,""
"1957-05","1957","05","","","","","","","","","","","87.6","","0.0","","87.6","","0","",,"",,""
"1957-06","1957","06","","","","","","","","","","","148.3","","0.0","","148.3","","0","",,"",,""
"1957-07","1957","07","","","","","","","","","","","130.0","","0.0","","130.0","","0","",,"",,""
"1957-08","1957","08","","","","","","","","","","","163.8","","0.0","","163.8","","0","",,"",,""
"1957-09","1957","09","","","","","","","","","","","129.8","","0.0","","129.8","","0","",,"",,""
"1957-10","1957","10","","","","","","","","","","","161.3","","0.0","","161.3","","","M",,"",,""
"1957-11","1957","11","","","","","","","","","","","161.3","","0.0","","161.3","","","M",,"",,""
"1957-12","1957","12","","","","","","","","","","","555.2","","0.0","T","555.2","","","M",,"",,""
"1958-01","1958","01","","","","","","","","","","","513.8","","0.0","","513.8","","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","324.4","","0.0","","324.4","","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","224.3","","0.0","","224.3","","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","185.2","","0.0","","185.2","","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","43.4","","0.0","","43.4","","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","65.3","","0.0","","65.3","","","",,"",,""
"1958-07","1958","07","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1958-08","1958","08","","","","","","","","","","","114.3","","0.0","","114.3","","","",,"",,""
"1958-09","1958","09","","","","","","","","","","","223.3","","0.0","","223.3","","","",,"",,""
"1958-10","1958","10","","","","","","","","","","","309.6","","0.0","","309.6","","","",,"",,""
"1958-11","1958","11","","","","","","","","","","","224.5","","5.1","","229.6","","","",,"",,""
"1958-12","1958","12","","","","","","","","","","","294.9","","61.0","","355.9","","","",,"",,""
"1959-01","1959","01","","","","","","","","","","","356.1","","35.6","","391.7","","","",,"",,""
"1959-02","1959","02","","","","","","","","","","","220.7","","7.6","","228.3","","","",,"",,""
"1959-03","1959","03","","","","","","","","","","","374.4","","0.0","T","374.4","","","",,"",,""
"1959-04","1959","04","","","","","","","","","","","116.8","","0.0","","116.8","","","",,"",,""
"1959-05","1959","05","","","","","","","","","","","76.7","","0.0","","76.7","","","",,"",,""
"1959-06","1959","06","","","","","","","","","","","118.9","","0.0","","118.9","","","",,"",,""
"1959-07","1959","07","","","","","","","","","","","74.2","","0.0","","74.2","","","",,"",,""
"1959-08","1959","08","","","","","","","","","","","61.2","","0.0","","61.2","","","",,"",,""
"1959-09","1959","09","","","","","","","","","","","219.2","","0.0","","219.2","","","",,"",,""
"1959-10","1959","10","","","","","","","","","","","293.6","","0.0","","293.6","","","",,"",,""
"1959-11","1959","11","","","","","","","","","","","267.7","","12.7","","280.4","","","",,"",,""
"1959-12","1959","12","","","","","","","","","","","354.6","","2.5","","357.1","","","",,"",,""
"1960-01","1960","01","","","","","","","","","","","244.3","","26.7","","271.0","","","",,"",,""
"1960-02","1960","02","","","","","","","","","","","242.1","","0.0","T","242.1","","","",,"",,""
"1960-03","1960","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-04","1960","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-05","1960","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-06","1960","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
