"Station Name","BLUE SCOUT"
"Province","ONTARIO"
"Latitude","43.62"
"Longitude","-80.08"
"Elevation","342.90"
"Climate Identifier","6140QJ7"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1974-01","1974","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-02","1974","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-03","1974","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-04","1974","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-05","1974","05","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1974-06","1974","06","","","","","","","","","","","101.3","","0.0","","101.3","","0","",,"",,""
"1974-07","1974","07","","","","","","","","","","","23.1","","0.0","","23.1","","0","",,"",,""
"1974-08","1974","08","","","","","","","","","","","20.3","","0.0","","20.3","","0","",,"",,""
"1974-09","1974","09","","","","","","","","","","","54.9","","0.0","","54.9","","0","",,"",,""
"1974-10","1974","10","","","","","","","","","","","42.2","","0.5","","42.7","","","M",,"",,""
"1974-11","1974","11","","","","","","","","","","","97.0","","11.9","","109.0","","3","",,"",,""
"1974-12","1974","12","","","","","","","","","","","5.1","","41.7","","46.7","","13","",,"",,""
"1975-01","1975","01","","","","","","","","","","","18.5","","34.8","","53.3","","","M",,"",,""
"1975-02","1975","02","","","","","","","","","","","41.7","","52.3","","94.0","","10","",,"",,""
"1975-03","1975","03","","","","","","","","","","","44.5","","29.7","","74.2","","","M",,"",,""
"1975-04","1975","04","","","","","","","","","","","47.0","","34.0","","81.0","","0","",,"",,""
"1975-05","1975","05","","","","","","","","","","","72.6","","0.0","","72.6","","0","",,"",,""
"1975-06","1975","06","","","","","","","","","","","98.6","","0.0","","98.6","","0","",,"",,""
"1975-07","1975","07","","","","","","","","","","","51.6","","0.0","","51.6","","0","",,"",,""
"1975-08","1975","08","","","","","","","","","","","163.8","","0.0","","163.8","","0","",,"",,""
"1975-09","1975","09","","","","","","","","","","","63.5","","0.0","","63.5","","0","",,"",,""
"1975-10","1975","10","","","","","","","","","","","36.1","","0.0","","36.1","","0","",,"",,""
"1975-11","1975","11","","","","","","","","","","","71.9","","7.6","","79.5","","0","",,"",,""
"1975-12","1975","12","","","","","","","","","","","22.6","","80.3","","102.9","","","M",,"",,""
"1976-01","1976","01","","","","","","","","","","","14.7","","74.2","","88.9","","","",,"",,""
"1976-02","1976","02","","","","","","","","","","","53.6","","27.9","","81.5","","","",,"",,""
"1976-03","1976","03","","","","","","","","","","","72.1","","34.0","","106.2","","","",,"",,""
"1976-04","1976","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1976-05","1976","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1976-06","1976","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1976-07","1976","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1976-08","1976","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1976-09","1976","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1976-10","1976","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1976-11","1976","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1976-12","1976","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
