"Station Name","BLUEBERRY MTN CDA EPF"
"Province","ALBERTA"
"Latitude","55.93"
"Longitude","-119.13"
"Elevation","731.50"
"Climate Identifier","3070720"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1955-01","1955","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1955-02","1955","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1955-03","1955","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1955-04","1955","04","","","","","","","","","","","11.4","","10.4","","21.8","","","",,"",,""
"1955-05","1955","05","","","","","","","","","","","36.6","","0.0","","36.6","","","",,"",,""
"1955-06","1955","06","","","","","","","","","","","10.7","","0.0","","10.7","","","",,"",,""
"1955-07","1955","07","","","","","","","","","","","133.6","","0.0","","133.6","","","",,"",,""
"1955-08","1955","08","","","","","","","","","","","8.6","","0.0","","8.6","","","",,"",,""
"1955-09","1955","09","","","","","","","","","","","30.0","","0.0","","30.0","","","",,"",,""
"1955-10","1955","10","","","","","","","","","","","3.8","","36.1","","39.9","","","",,"",,""
"1955-11","1955","11","","","","","","","","","","","1.5","","13.2","","14.7","","","",,"",,""
"1955-12","1955","12","","","","","","","","","","","0.0","","39.6","","39.6","","","",,"",,""
"1956-01","1956","01","","","","","","","","","","","0.0","","34.0","","34.0","","","",,"",,""
"1956-02","1956","02","","","","","","","","","","","0.0","","24.6","","24.6","","","",,"",,""
"1956-03","1956","03","","","","","","","","","","","0.0","","44.7","","44.7","","","",,"",,""
"1956-04","1956","04","","","","","","","","","","","0.0","","4.3","","4.3","","","",,"",,""
"1956-05","1956","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1956-06","1956","06","","","","","","","","","","","116.3","","0.0","","116.3","","","",,"",,""
"1956-07","1956","07","","","","","","","","","","","69.3","","0.0","","69.3","","","",,"",,""
"1956-08","1956","08","","","","","","","","","","","72.1","","0.0","","72.1","","","",,"",,""
"1956-09","1956","09","","","","","","","","","","","7.4","","11.4","","18.8","","","",,"",,""
"1956-10","1956","10","","","","","","","","","","","6.6","","7.6","","14.2","","","",,"",,""
"1956-11","1956","11","","","","","","","","","","","1.5","","21.6","","23.1","","","",,"",,""
"1956-12","1956","12","","","","","","","","","","","1.8","","40.1","","41.9","","","",,"",,""
"1957-01","1957","01","","","","","","","","","","","0.0","","15.2","","15.2","","","",,"",,""
"1957-02","1957","02","","","","","","","","","","","0.0","","39.9","","39.9","","","",,"",,""
"1957-03","1957","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1957-04","1957","04","","","","","","","","","","","11.2","","0.0","","11.2","","","",,"",,""
"1957-05","1957","05","","","","","","","","","","","11.9","","0.0","","11.9","","","",,"",,""
"1957-06","1957","06","","","","","","","","","","","52.6","","0.0","","52.6","","","",,"",,""
"1957-07","1957","07","","","","","","","","","","","140.2","","0.0","","140.2","","","",,"",,""
"1957-08","1957","08","","","","","","","","","","","132.3","","0.0","","132.3","","","",,"",,""
"1957-09","1957","09","","","","","","","","","","","6.1","","0.0","","6.1","","","",,"",,""
"1957-10","1957","10","","","","","","","","","","","16.0","","70.6","","86.6","","","",,"",,""
"1957-11","1957","11","","","","","","","","","","","11.2","","60.5","","71.6","","","",,"",,""
"1957-12","1957","12","","","","","","","","","","","0.0","","33.5","","33.5","","","",,"",,""
"1958-01","1958","01","","","","","","","","","","","1.0","","7.6","","8.6","","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","0.0","","41.9","","41.9","","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","0.0","","39.4","","39.4","","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","14.2","","5.1","","19.3","","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","11.7","","3.8","","15.5","","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","32.5","","0.0","","32.5","","","",,"",,""
"1958-07","1958","07","","","","","","","","","","","24.6","","0.0","","24.6","","","",,"",,""
"1958-08","1958","08","","","","","","","","","","","6.9","","0.0","","6.9","","","",,"",,""
"1958-09","1958","09","","","","","","","","","","","33.3","","0.0","","33.3","","","",,"",,""
"1958-10","1958","10","","","","","","","","","","","8.4","","15.5","","23.9","","","",,"",,""
"1958-11","1958","11","","","","","","","","","","","0.0","","23.9","","23.9","","","",,"",,""
"1958-12","1958","12","","","","","","","","","","","0.0","","44.5","","44.5","","","",,"",,""
"1959-01","1959","01","","","","","","","","","","","0.0","","40.6","","40.6","","","",,"",,""
"1959-02","1959","02","","","","","","","","","","","0.0","","10.4","","10.4","","","",,"",,""
"1959-03","1959","03","","","","","","","","","","","0.0","","7.6","","7.6","","","",,"",,""
"1959-04","1959","04","","","","","","","","","","","9.4","","21.1","","30.5","","","",,"",,""
"1959-05","1959","05","","","","","","","","","","","22.1","","7.6","","29.7","","","",,"",,""
"1959-06","1959","06","","","","","","","","","","","45.2","","0.0","","45.2","","","",,"",,""
"1959-07","1959","07","","","","","","","","","","","27.4","","0.0","","27.4","","","",,"",,""
"1959-08","1959","08","","","","","","","","","","","75.9","","0.0","","75.9","","","",,"",,""
"1959-09","1959","09","","","","","","","","","","","21.6","","0.0","","21.6","","","",,"",,""
"1959-10","1959","10","","","","","","","","","","","16.0","","32.8","","48.8","","","",,"",,""
"1959-11","1959","11","","","","","","","","","","","1.0","","36.1","","37.1","","","",,"",,""
"1959-12","1959","12","","","","","","","","","","","0.8","","2.0","","2.8","","","",,"",,""
"1960-01","1960","01","","","","","","","","","","","0.0","","21.6","","21.6","","","",,"",,""
"1960-02","1960","02","","","","","","","","","","","0.0","","18.3","","18.3","","","",,"",,""
"1960-03","1960","03","","","","","","","","","","","0.0","","33.5","","33.5","","","",,"",,""
"1960-04","1960","04","","","","","","","","","","","6.1","","0.3","","6.4","","","",,"",,""
"1960-05","1960","05","","","","","","","","","","","89.7","","0.3","","89.9","","","",,"",,""
"1960-06","1960","06","","","","","","","","","","","119.6","","0.0","","119.6","","","",,"",,""
"1960-07","1960","07","","","","","","","","","","","13.5","","0.0","","13.5","","","",,"",,""
"1960-08","1960","08","","","","","","","","","","","75.4","","0.0","","75.4","","","",,"",,""
"1960-09","1960","09","","","","","","","","","","","20.1","","0.0","","20.1","","","",,"",,""
"1960-10","1960","10","","","","","","","","","","","20.3","","4.6","","24.9","","","",,"",,""
"1960-11","1960","11","","","","","","","","","","","0.0","","17.0","","17.0","","","",,"",,""
"1960-12","1960","12","","","","","","","","","","","0.0","","19.1","","19.1","","","",,"",,""
"1961-01","1961","01","","","","","","","","","","","0.0","","14.5","","14.5","","","",,"",,""
"1961-02","1961","02","","","","","","","","","","","0.0","","60.5","","60.5","","","",,"",,""
"1961-03","1961","03","","","","","","","","","","","0.0","","35.1","","35.1","","","",,"",,""
"1961-04","1961","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-05","1961","05","","","","","","","","","","","37.3","","8.1","","45.5","","","",,"",,""
"1961-06","1961","06","","","","","","","","","","","95.8","","0.0","","95.8","","","",,"",,""
"1961-07","1961","07","","","","","","","","","","","46.0","","0.0","","46.0","","","",,"",,""
"1961-08","1961","08","","","","","","","","","","","19.3","","0.0","","19.3","","","",,"",,""
"1961-09","1961","09","","","","","","","","","","","45.0","","2.5","","47.5","","","",,"",,""
"1961-10","1961","10","","","","","","","","","","","17.3","","14.0","","31.2","","","",,"",,""
"1961-11","1961","11","","","","","","","","","","","10.7","","20.8","","31.5","","","",,"",,""
"1961-12","1961","12","","","","","","","","","","","0.0","","28.2","","28.2","","","",,"",,""
"1962-01","1962","01","","","","","","","","","","","","M","52.8","","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","0.0","","3.8","","3.8","","","M",,"",,""
"1962-03","1962","03","","","","","","","","","","","0.0","","22.4","","22.4","","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","23.9","","23.6","","47.5","","","M",,"",,""
"1962-05","1962","05","","","","","","","","","","","42.4","","9.9","","52.3","","0","",,"",,""
"1962-06","1962","06","","","","","","","","","","","50.0","","0.0","","50.0","","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","74.2","","0.0","","74.2","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","87.1","","0.0","","87.1","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","10.7","","0.0","","10.7","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","10.9","","20.3","","31.2","","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","9.1","","56.4","","65.5","","","M",,"",,""
"1962-12","1962","12","","","","","","","","","","","0.0","","69.1","","69.1","","","M",,"",,""
"1963-01","1963","01","","","","","","","","","","","0.0","","59.4","","59.4","","","M",,"",,""
"1963-02","1963","02","","","","","","","","","","","0.0","","61.0","","61.0","","","M",,"",,""
