"Station Name","BOTWOOD"
"Province","NEWFOUNDLAND"
"Latitude","49.15"
"Longitude","-55.35"
"Elevation","15.20"
"Climate Identifier","8400650"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1937-01","1937","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-02","1937","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-03","1937","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-04","1937","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-05","1937","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-06","1937","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-07","1937","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-08","1937","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-09","1937","09","20.2","","9.1","","14.7","","28.3","","-1.1","","65.0","","0.0","","65.0","","","",,"",,""
"1937-10","1937","10","12.2","","1.9","","7.1","","21.7","","-2.8","","113.0","","0.5","","113.5","","","",,"",,""
"1937-11","1937","11","6.2","","-2.2","","2.0","","13.9","","-9.4","","101.6","","1.3","","102.9","","","",,"",,""
"1937-12","1937","12","0.1","","-7.2","","-3.6","","11.7","","-20.6","","27.4","","89.2","","116.6","","","",,"",,""
"1938-01","1938","01","-2.9","","-14.8","","-8.9","","7.8","","-30.0","","13.0","","20.1","","33.0","","","",,"",,""
"1938-02","1938","02","-6.2","","-17.8","","-12.0","","","M","-31.1","","9.4","","96.3","","105.7","","","",,"",,""
