"Station Name","BOWEN ISLAND"
"Province","BRITISH COLUMBIA"
"Latitude","49.35"
"Longitude","-123.42"
"Elevation","22.90"
"Climate Identifier","1040908"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1959-01","1959","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-02","1959","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-03","1959","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-04","1959","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-05","1959","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-06","1959","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-07","1959","07","","","","","","","","","","","16.5","","0.0","","16.5","","0","",,"",,""
"1959-08","1959","08","","","","","","","","","","","20.3","","0.0","","20.3","","","M",,"",,""
"1959-09","1959","09","","","","","","","","","","","143.8","","0.0","","143.8","","","M",,"",,""
"1959-10","1959","10","","","","","","","","","","","92.5","","0.0","","92.5","","","M",,"",,""
"1959-11","1959","11","","","","","","","","","","","154.4","","0.8","","155.2","","","M",,"",,""
"1959-12","1959","12","","","","","","","","","","","170.7","","0.0","T","170.7","","","M",,"",,""
"1960-01","1960","01","","","","","","","","","","","214.4","","2.0","","216.4","","","M",,"",,""
"1960-02","1960","02","","","","","","","","","","","176.0","","0.0","","176.0","","","M",,"",,""
"1960-03","1960","03","","","","","","","","","","","81.8","","8.6","","90.4","","0","",,"",,""
"1960-04","1960","04","","","","","","","","","","","73.2","","0.0","","73.2","","","M",,"",,""
"1960-05","1960","05","","","","","","","","","","","98.6","","0.0","","98.6","","","M",,"",,""
"1960-06","1960","06","","","","","","","","","","","21.6","","0.0","","21.6","","","M",,"",,""
"1960-07","1960","07","","","","","","","","","","","0.0","T","0.0","","0.0","T","","M",,"",,""
"1960-08","1960","08","","","","","","","","","","","84.3","","0.0","","84.3","","","M",,"",,""
"1960-09","1960","09","","","","","","","","","","","39.9","","0.0","","39.9","","","M",,"",,""
"1960-10","1960","10","","","","","","","","","","","199.6","","0.0","","199.6","","","M",,"",,""
"1960-11","1960","11","","","","","","","","","","","169.2","","0.0","T","169.2","","","M",,"",,""
"1960-12","1960","12","","","","","","","","","","","152.9","","0.0","","152.9","","","M",,"",,""
"1961-01","1961","01","","","","","","","","","","","245.9","","7.6","","253.5","","","M",,"",,""
"1961-02","1961","02","","","","","","","","","","","364.0","","0.0","","364.0","","0","",,"",,""
"1961-03","1961","03","","","","","","","","","","","154.4","","0.0","T","154.4","","","M",,"",,""
"1961-04","1961","04","","","","","","","","","","","80.8","","0.0","","80.8","","","M",,"",,""
"1961-05","1961","05","","","","","","","","","","","115.8","","0.0","","115.8","","","M",,"",,""
"1961-06","1961","06","","","","","","","","","","","32.8","","0.0","","32.8","","","M",,"",,""
"1961-07","1961","07","","","","","","","","","","","65.8","","0.0","","65.8","","","M",,"",,""
"1961-08","1961","08","","","","","","","","","","","80.5","","0.0","","80.5","","","M",,"",,""
"1961-09","1961","09","","","","","","","","","","","50.0","","0.0","","50.0","","","M",,"",,""
"1961-10","1961","10","","","","","","","","","","","217.2","","0.0","","217.2","","","M",,"",,""
"1961-11","1961","11","","","","","","","","","","","228.1","","0.0","T","228.1","","0","",,"",,""
"1961-12","1961","12","","","","","","","","","","","","M","5.1","","","M","0","",,"",,""
"1962-01","1962","01","","","","","","","","","","","","M","27.9","","","M","0","",,"",,""
"1962-02","1962","02","","","","","","","","","","","55.6","","7.6","","63.2","","","M",,"",,""
"1962-03","1962","03","","","","","","","","","","","68.3","","27.2","","95.5","","0","",,"",,""
"1962-04","1962","04","","","","","","","","","","","128.0","","0.0","","128.0","","0","",,"",,""
"1962-05","1962","05","","","","","","","","","","","47.5","","0.0","","47.5","","0","",,"",,""
"1962-06","1962","06","","","","","","","","","","","32.5","","0.0","","32.5","","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","31.2","","0.0","","31.2","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","98.3","","0.0","","98.3","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","89.4","","0.0","","89.4","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","141.0","","0.0","","141.0","","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","322.1","","10.2","","332.2","","","M",,"",,""
"1962-12","1962","12","","","","","","","","","","","295.4","","0.0","","295.4","","0","",,"",,""
"1963-01","1963","01","","","","","","","","","","","15.7","","0.0","T","15.7","","0","",,"",,""
"1963-02","1963","02","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1963-03","1963","03","","","","","","","","","","","102.1","","0.0","T","102.1","","0","",,"",,""
"1963-04","1963","04","","","","","","","","","","","87.4","","0.0","","87.4","","0","",,"",,""
"1963-05","1963","05","","","","","","","","","","","60.7","","0.0","","60.7","","0","",,"",,""
"1963-06","1963","06","","","","","","","","","","","57.9","","0.0","","57.9","","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","89.4","","0.0","","89.4","","0","",,"",,""
"1963-08","1963","08","","","","","","","","","","","13.2","","0.0","","13.2","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","33.5","","0.0","","33.5","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","272.3","","0.0","","272.3","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","218.7","","0.0","T","218.7","","0","",,"",,""
"1963-12","1963","12","","","","","","","","","","","268.0","","0.0","","268.0","","0","",,"",,""
"1964-01","1964","01","","","","","","","","","","","","M","0.0","T","","M","0","",,"",,""
"1964-02","1964","02","","","","","","","","","","","150.6","","0.0","T","150.6","","0","",,"",,""
"1964-03","1964","03","","","","","","","","","","","153.7","","0.0","","153.7","","0","",,"",,""
"1964-04","1964","04","","","","","","","","","","","59.2","","0.0","","59.2","","0","",,"",,""
"1964-05","1964","05","","","","","","","","","","","56.9","","0.0","","56.9","","0","",,"",,""
"1964-06","1964","06","","","","","","","","","","","74.9","","0.0","","74.9","","0","",,"",,""
"1964-07","1964","07","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","48.3","","0.0","","48.3","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","137.2","","0.0","","137.2","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","84.6","","0.0","","84.6","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","171.5","","0.0","T","171.5","","0","",,"",,""
"1964-12","1964","12","","","","","","","","","","","","M","120.1","","","M","","M",,"",,""
"1965-01","1965","01","","","","","","","","","","","190.2","","8.4","","198.6","","","M",,"",,""
"1965-02","1965","02","","","","","","","","","","","230.1","","0.0","T","230.1","","","M",,"",,""
"1965-03","1965","03","","","","","","","","","","","69.6","","2.8","","72.4","","0","",,"",,""
"1965-04","1965","04","","","","","","","","","","","57.4","","0.0","","57.4","","0","",,"",,""
"1965-05","1965","05","","","","","","","","","","","56.6","","0.0","","56.6","","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","24.4","","0.0","","24.4","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","6.6","","0.0","","6.6","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","83.8","","0.0","","83.8","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","17.0","","0.0","","17.0","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","232.7","","0.0","","232.7","","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","166.4","E","0.0","","166.4","E","0","",,"",,""
"1965-12","1965","12","","","","","","","","","","","150.1","","56.6","","206.8","","","M",,"",,""
