"Station Name","BOYLE"
"Province","ALBERTA"
"Latitude","54.57"
"Longitude","-112.87"
"Elevation","670.60"
"Climate Identifier","3060780"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1956-01","1956","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-02","1956","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-03","1956","03","","M","","M","","M","","M","","M","0.0","","22.9","","22.9","","18","",,"",,""
"1956-04","1956","04","","M","","M","","M","","M","","M","0.0","","3.8","","3.8","","5","",,"",,""
"1956-05","1956","05","","M","","M","","M","","M","","M","17.8","","0.0","","17.8","","0","",,"",,""
"1956-06","1956","06","","M","","M","","M","","M","","M","109.2","","0.0","","109.2","","0","",,"",,""
"1956-07","1956","07","22.5","","10.2","","16.4","","29.4","","2.8","","45.7","","0.0","","45.7","","0","",,"",,""
"1956-08","1956","08","22.2","","8.7","","15.5","","27.8","S","2.2","","86.4","","0.0","","86.4","","0","",,"",,""
"1956-09","1956","09","14.0","","2.7","","8.4","","22.8","","-7.2","","67.3","","0.0","","67.3","","0","",,"",,""
"1956-10","1956","10","7.4","","-3.3","","2.1","","18.9","","-12.8","","17.8","","6.1","","23.9","","","M",,"",,""
"1956-11","1956","11","3.3","","-7.4","","-2.1","","11.1","","-19.4","","2.5","","11.2","","13.7","","","M",,"",,""
"1956-12","1956","12","","M","","M","","M","","M","","M","7.6","","10.9","","18.5","","0","",,"",,""
"1957-01","1957","01","-13.3","","-24.5","","-18.9","","-1.1","","-38.3","","2.5","","13.5","","16.0","","","M",,"",,""
"1957-02","1957","02","-9.2","","-22.3","","-15.8","","4.4","S","-35.6","","0.0","","6.9","","6.9","","","M",,"",,""
"1957-03","1957","03","-1.2","","-13.8","","-7.5","","5.6","S","-36.1","","0.0","","18.5","","18.5","","","M",,"",,""
"1957-04","1957","04","8.6","","-3.9","","2.4","","22.2","","-16.7","","20.3","","2.5","","22.9","","","M",,"",,""
"1957-05","1957","05","16.2","","3.6","","9.9","","25.0","","-3.9","","27.9","","0.0","","27.9","","0","",,"",,""
"1957-06","1957","06","19.1","","6.0","","12.6","","26.1","","-1.1","","40.6","","0.0","","40.6","","0","",,"",,""
"1957-07","1957","07","21.4","","9.1","","15.3","","26.7","S","5.0","","88.9","","0.0","","88.9","","0","",,"",,""
"1957-08","1957","08","19.7","","","M","","M","25.0","","","M","101.6","","0.0","","101.6","","0","",,"",,""
"1957-09","1957","09","16.7","","5.3","","11.0","","23.3","S","-6.7","","20.3","","0.0","","20.3","","0","",,"",,""
"1957-10","1957","10","5.6","","-3.8","","0.9","","22.2","","-13.9","","0.0","T","37.3","","37.3","","","M",,"",,""
"1957-11","1957","11","0.4","","-6.7","","-3.2","","8.9","","-16.1","","0.0","","14.5","","14.5","","","M",,"",,""
"1957-12","1957","12","-5.2","","-14.0","","-9.6","","6.1","","-32.2","","0.0","","19.3","","19.3","","","M",,"",,""
"1958-01","1958","01","-4.6","","-12.9","","-8.8","","7.8","","-23.3","","0.0","","20.6","","20.6","","","",,"",,""
"1958-02","1958","02","-8.7","","-19.8","","-14.3","","8.3","","-41.1","","0.0","","26.9","","26.9","","","",,"",,""
"1958-03","1958","03","-0.5","","-11.1","","-5.8","","5.0","","-26.7","","1.8","","4.8","","6.6","","","",,"",,""
"1958-04","1958","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-05","1958","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-06","1958","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-07","1958","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-08","1958","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-09","1958","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-10","1958","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-11","1958","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-12","1958","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
