"Station Name","BRAMPTON AIRPORT"
"Province","ONTARIO"
"Latitude","43.77"
"Longitude","-79.88"
"Elevation","274.30"
"Climate Identifier","6150914"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1991-01","1991","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-02","1991","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-03","1991","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-04","1991","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-05","1991","05","","","","","","","","","","","","","","","","","","",,"",,""
"1991-06","1991","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-07","1991","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-08","1991","08","27.2","I","15.7","I","21.5","I","33.5","I","10.0","I","35.3","I","0.0","","35.3","I","0","",,"",,""
"1991-09","1991","09","21.1","","8.1","E","14.6","E","31.5","","-0.5","","33.5","","0.0","","33.5","","0","",,"",,""
"1991-10","1991","10","15.5","E","4.3","E","9.9","E","25.5","E","-3.0","E","60.4","","0.0","","60.4","","","",,"",,""
"1991-11","1991","11","6.0","E","-2.9","E","1.4","E","17.0","E","-12.0","E","60.0","E","15.0","","75.0","E","","",,"",,""
"1991-12","1991","12","2.5","I","-7.4","E","-1.9","I","12.5","I","-27.5","E","20.3","E","33.5","E","53.8","E","","M",,"",,""
"1992-01","1992","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-02","1992","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-03","1992","03","3.5","E","-7.8","E","-2.0","E","12.0","E","-17.5","E","21.7","E","4.5","","26.2","E","","M",,"",,""
"1992-04","1992","04","10.0","E","-0.6","E","4.7","E","19.0","","-8.0","","156.3","E","0.0","T","156.3","E","0","",,"",,""
"1992-05","1992","05","19.2","E","5.7","","12.5","E","29.0","E","-1.0","","63.3","","0.0","","63.3","","0","",,"",,""
"1992-06","1992","06","22.0","E","9.7","","15.8","E","30.0","","2.0","","43.0","","0.0","","43.0","","0","",,"",,""
"1992-07","1992","07","22.5","E","12.2","E","17.4","E","26.0","S","7.0","S","179.4","","0.0","","179.4","","0","",,"",,""
"1992-08","1992","08","22.8","E","11.6","","17.2","E","29.5","E","6.5","","163.6","","0.0","","163.6","","0","",,"",,""
"1992-09","1992","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-10","1992","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-11","1992","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-12","1992","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
