"Station Name","BRETON TOWN"
"Province","ALBERTA"
"Latitude","53.12"
"Longitude","-114.47"
"Elevation","837.30"
"Climate Identifier","3010817"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1977-01","1977","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-02","1977","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-03","1977","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-04","1977","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-05","1977","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-06","1977","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-07","1977","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-08","1977","08","","M","","M","","M","","M","","M","","M","0.0","","","M","0","",,"",,""
"1977-09","1977","09","14.2","E","3.9","E","9.1","E","20.5","","-0.5","","36.3","","0.0","","36.3","","0","",,"",,""
"1977-10","1977","10","12.6","","-1.7","","5.5","","25.0","","-9.5","","3.3","","0.0","T","3.3","","0","",,"",,""
"1977-11","1977","11","0.5","E","-10.9","E","-5.2","E","12.0","","-30.0","S","","M","","M","","M","9","",,"",,""
"1977-12","1977","12","-11.0","","-20.9","","-16.0","","4.0","","-43.5","","0.0","","23.7","","23.7","","24","",,"",,""
"1978-01","1978","01","-10.5","","-20.8","","-15.7","","4.0","","-35.0","","0.0","","36.7","","36.7","","43","",,"",,""
"1978-02","1978","02","-4.7","","-17.1","","-10.9","","12.0","S","-38.5","","0.0","","5.0","","5.0","","41","",,"",,""
"1978-03","1978","03","3.4","","-7.4","","-2.0","","13.5","","-29.0","","7.4","","4.0","","11.4","","","M",,"",,""
"1978-04","1978","04","9.4","","0.1","","4.8","","23.0","","-5.0","","24.4","","0.0","","24.4","","0","",,"",,""
"1978-05","1978","05","15.8","","2.4","","9.1","","25.5","","-4.0","","107.4","","0.0","","107.4","","0","",,"",,""
"1978-06","1978","06","22.2","","7.6","","14.9","","30.5","","-1.0","","77.4","","0.0","","77.4","","0","",,"",,""
"1978-07","1978","07","22.2","E","9.7","E","16.0","E","29.5","","5.5","","86.7","","0.0","","86.7","","0","",,"",,""
"1978-08","1978","08","20.4","","6.5","","13.5","","30.5","","0.0","","81.8","","0.0","","81.8","","0","",,"",,""
"1978-09","1978","09","14.9","","4.7","","9.8","","26.0","","-2.0","S","122.8","","0.0","","122.8","","0","",,"",,""
"1978-10","1978","10","13.9","","0.5","","7.2","","24.5","","-7.0","","18.6","","0.0","","18.6","","0","",,"",,""
"1978-11","1978","11","-1.2","E","-10.7","E","-6.0","E","20.0","","-29.0","","8.4","","29.3","","37.7","","8","",,"",,""
"1978-12","1978","12","-5.2","","-15.3","","-10.3","","7.0","","-33.0","","0.0","","7.4","","7.4","","9","",,"",,""
"1979-01","1979","01","-8.4","","-20.7","","-14.6","","5.0","","-36.0","","0.0","","6.4","","6.4","","10","",,"",,""
"1979-02","1979","02","-16.7","","-25.7","","-21.2","","-0.5","","-36.5","","0.0","","22.1","","22.1","","25","",,"",,""
"1979-03","1979","03","6.3","","-7.1","","-0.4","","17.0","","-26.0","","0.0","","14.2","","14.2","","7","",,"",,""
"1979-04","1979","04","6.1","","-4.8","","0.7","","17.0","","-17.0","","3.2","","33.9","","37.1","","0","",,"",,""
"1979-05","1979","05","13.7","","1.2","","7.5","","28.5","","-4.5","","63.0","","0.0","","63.0","","0","",,"",,""
"1979-06","1979","06","20.3","E","6.7","E","13.5","E","30.0","","0.0","","83.3","","0.0","","83.3","","0","",,"",,""
"1979-07","1979","07","23.4","","9.1","","16.3","","32.0","","4.0","","88.0","","0.0","","88.0","","0","",,"",,""
"1979-08","1979","08","22.0","","8.0","","15.0","","27.0","","2.5","","69.0","","0.0","","69.0","","0","",,"",,""
"1979-09","1979","09","19.8","E","3.6","","11.7","E","29.5","","-2.0","","31.2","","0.0","","31.2","","0","",,"",,""
