"Station Name","BRIDESVILLE"
"Province","BRITISH COLUMBIA"
"Latitude","49.05"
"Longitude","-119.17"
"Elevation","1187.00"
"Climate Identifier","1130975"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1957-01","1957","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-02","1957","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-03","1957","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-04","1957","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-05","1957","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-06","1957","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-07","1957","07","22.6","","6.3","","14.5","","27.8","","-1.1","","25.1","","0.0","","25.1","","0","",,"",,""
"1957-08","1957","08","21.6","","5.0","","13.3","","28.3","","0.0","","27.9","","0.0","","27.9","","0","",,"",,""
"1957-09","1957","09","22.3","","5.4","","13.9","","29.4","","-3.3","","13.7","","0.0","","13.7","","0","",,"",,""
"1957-10","1957","10","8.8","","-0.3","","4.3","","19.4","","-5.6","","72.9","","10.9","","83.8","","","M",,"",,""
"1957-11","1957","11","3.2","","-5.7","","-1.3","","10.6","","-12.2","","21.8","","14.0","","35.8","","","M",,"",,""
"1957-12","1957","12","0.0","","-6.5","","-3.3","","5.6","","-15.6","","0.0","","27.9","","27.9","","","M",,"",,""
"1958-01","1958","01","-0.6","","-6.6","","-3.6","","5.6","","-20.0","","6.4","","41.9","","48.3","","","",,"",,""
"1958-02","1958","02","3.2","","-2.7","","0.3","","7.8","","-11.7","","43.7","","22.9","","66.5","","","",,"",,""
"1958-03","1958","03","5.3","","-4.6","","0.4","","12.2","","-11.7","","31.5","","6.4","","37.8","","","",,"",,""
"1958-04","1958","04","10.0","","-1.0","","4.5","","18.3","","-3.9","","47.5","","0.0","","47.5","","","",,"",,""
"1958-05","1958","05","21.4","","5.2","","13.3","","29.4","","-2.8","","25.7","","0.0","","25.7","","","",,"",,""
"1958-06","1958","06","21.6","","8.1","","14.9","","30.6","S","3.3","S","72.4","","0.0","","72.4","","","",,"",,""
"1958-07","1958","07","26.2","","9.4","","17.8","","31.1","","5.0","","30.2","","0.0","","30.2","","","",,"",,""
"1958-08","1958","08","27.6","","9.3","","18.5","","33.3","","3.3","","18.0","","0.0","","18.0","","","",,"",,""
"1958-09","1958","09","17.8","","3.4","","10.6","","29.4","","-5.0","","27.9","","0.0","","27.9","","","",,"",,""
"1958-10","1958","10","12.9","","-0.6","","6.2","","25.0","","-7.2","","8.1","","18.3","","26.4","","","",,"",,""
"1958-11","1958","11","0.2","","-6.9","","-3.4","","10.0","","-20.6","S","34.3","","49.5","","83.8","","","",,"",,""
"1958-12","1958","12","-1.4","","-6.7","","-4.1","","6.1","","-15.0","S","0.0","","40.6","","40.6","","","",,"",,""
"1959-01","1959","01","-3.2","","-10.3","","-6.8","","5.6","","-33.3","","11.4","","58.4","","69.9","","","",,"",,""
"1959-02","1959","02","-0.8","","-8.9","","-4.9","","5.0","","-17.2","","0.0","","7.9","","7.9","","","",,"",,""
"1959-03","1959","03","4.1","","-4.4","","-0.2","","7.8","S","-10.0","S","14.5","","0.3","","14.7","","","",,"",,""
"1959-04","1959","04","11.1","","-1.0","","5.1","","18.3","","-6.7","","15.2","","0.0","","15.2","","","",,"",,""
"1959-05","1959","05","13.4","","1.9","","7.7","","23.9","S","-3.9","","58.4","","0.0","","58.4","","","",,"",,""
"1959-06","1959","06","18.6","","5.9","","12.3","","26.1","","0.0","","29.7","","0.0","","29.7","","","",,"",,""
"1959-07","1959","07","25.2","","7.7","","16.5","","32.8","","0.0","","1.5","","0.0","","1.5","","","",,"",,""
"1959-08","1959","08","21.4","","5.6","","13.5","","27.8","","0.0","","20.3","","0.0","","20.3","","","",,"",,""
"1959-09","1959","09","15.7","","3.4","","9.6","","27.2","","-2.2","S","61.2","","0.0","","61.2","","","",,"",,""
"1959-10","1959","10","10.8","","-0.7","","5.1","","17.8","S","-7.2","","27.4","","0.0","","27.4","","","",,"",,""
"1959-11","1959","11","0.9","","-8.8","","-4.0","","11.1","","-26.7","","4.8","","0.8","","5.6","","","",,"",,""
"1959-12","1959","12","-1.2","","-8.9","","-5.1","","4.4","","-16.7","","0.0","","30.5","","30.5","","","",,"",,""
"1960-01","1960","01","-4.2","","-13.2","","-8.7","","6.1","","-25.0","","0.0","","33.0","","33.0","","","",,"",,""
"1960-02","1960","02","0.1","","-9.2","","-4.6","","3.9","","-22.2","","0.0","","17.8","","17.8","","","",,"",,""
"1960-03","1960","03","5.1","","-5.9","","-0.4","","16.1","","-24.4","","8.9","","2.5","","11.4","","","",,"",,""
"1960-04","1960","04","10.4","","-1.9","","4.3","","20.0","","-7.8","","31.8","","0.0","T","31.8","","","",,"",,""
"1960-05","1960","05","12.7","","2.2","","7.5","","22.2","","-2.2","","83.1","","0.0","","83.1","","","",,"",,""
"1960-06","1960","06","20.1","","5.8","","13.0","","26.7","","0.0","","14.7","","0.0","","14.7","","","",,"",,""
"1960-07","1960","07","28.6","","9.4","","19.0","","35.0","","3.9","","1.5","","0.0","","1.5","","","",,"",,""
"1960-08","1960","08","21.4","","8.6","","15.0","","32.2","","0.0","","56.9","","0.0","","56.9","","","",,"",,""
"1960-09","1960","09","19.8","","3.7","","11.8","","27.2","","-3.3","","29.5","","0.0","","29.5","","","",,"",,""
"1960-10","1960","10","13.1","","0.4","","6.8","","22.8","","-6.7","S","19.1","","0.3","","19.3","","","",,"",,""
"1960-11","1960","11","2.3","","-6.1","","-1.9","","10.0","","-12.8","","4.6","","54.6","","59.2","","","",,"",,""
"1960-12","1960","12","-2.5","","-9.9","","-6.2","","5.0","","-20.6","","0.0","","40.6","","40.6","","","",,"",,""
"1961-01","1961","01","-0.6","","-8.5","","-4.6","","6.1","","-17.8","","0.0","","10.2","","10.2","","","",,"",,""
"1961-02","1961","02","2.2","","-4.4","","-1.1","","6.1","S","-15.0","","5.1","","67.3","","72.4","","","",,"",,""
"1961-03","1961","03","4.8","","-3.5","","0.7","","12.8","","-16.7","","27.4","","2.3","","29.7","","","",,"",,""
"1961-04","1961","04","10.0","","-1.1","","4.5","","17.2","","-7.8","","36.3","","10.2","","46.5","","","",,"",,""
"1961-05","1961","05","15.1","","3.3","","9.2","","24.4","","-1.1","","58.4","","0.0","","58.4","","","",,"",,""
"1961-06","1961","06","22.8","","6.9","","14.9","","30.6","","0.0","","62.0","","0.0","","62.0","","","",,"",,""
"1961-07","1961","07","26.0","","8.4","","17.2","","32.2","","1.7","S","38.1","","0.0","","38.1","","","",,"",,""
"1961-08","1961","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1961-09","1961","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1961-10","1961","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1961-11","1961","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1961-12","1961","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1962-05","1962","05","","","","","","","","","","","65.5","","0.0","","65.5","","0","",,"",,""
"1962-06","1962","06","","","","","","","","","","","9.9","","0.0","","9.9","","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","13.7","","0.0","","13.7","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","28.4","","0.0","","28.4","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","21.1","","0.0","","21.1","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","26.9","","0.0","","26.9","","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","33.5","","20.3","","53.8","","0","",,"",,""
"1962-12","1962","12","","","","","","","","","","","6.4","","1.0","","7.4","","","M",,"",,""
"1963-01","1963","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-02","1963","02","","","","","","","","","","","5.6","","20.3","","25.9","","0","",,"",,""
"1963-03","1963","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-04","1963","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-05","1963","05","","","","","","","","","","","23.6","","0.0","","23.6","","0","",,"",,""
"1963-06","1963","06","","","","","","","","","","","66.0","","0.0","","66.0","","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-08","1963","08","","","","","","","","","","","21.8","","0.0","","21.8","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","18.0","","0.0","","18.0","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","12.4","","0.0","","12.4","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","12.2","","40.6","","52.8","","","M",,"",,""
"1963-12","1963","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-01","1964","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-06","1964","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-07","1964","07","","","","","","","","","","","25.9","","0.0","","25.9","","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","63.0","","0.0","","63.0","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","40.9","","0.0","","40.9","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","6.9","","0.0","","6.9","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","5.1","","50.8","","55.9","","","M",,"",,""
"1964-12","1964","12","","","","","","","","","","","0.0","","45.7","","45.7","","","M",,"",,""
"1965-01","1965","01","","","","","","","","","","","0.0","","101.6","","101.6","","","",,"",,""
"1965-02","1965","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-03","1965","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-04","1965","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-05","1965","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-06","1965","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-07","1965","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-08","1965","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-09","1965","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-10","1965","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-11","1965","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1965-12","1965","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1966-01","1966","01","","","","","","","","","","","","","","","","","","",,"",,""
"1966-02","1966","02","","","","","","","","","","","","","","","","","","",,"",,""
"1966-03","1966","03","","","","","","","","","","","","","","","","","","",,"",,""
"1966-04","1966","04","","","","","","","","","","","","","","","","","","",,"",,""
"1966-05","1966","05","","","","","","","","","","","","","","","","","","",,"",,""
"1966-06","1966","06","","","","","","","","","","","","","","","","","","",,"",,""
"1966-07","1966","07","","","","","","","","","","","","","","","","","","",,"",,""
"1966-08","1966","08","","","","","","","","","","","","","","","","","","",,"",,""
"1966-09","1966","09","","","","","","","","","","","","","","","","","","",,"",,""
"1966-10","1966","10","","","","","","","","","","","","","","","","","","",,"",,""
"1966-11","1966","11","","","","","","","","","","","","","","","","","","",,"",,""
"1966-12","1966","12","","","","","","","","","","","","","","","","","","",,"",,""
"1967-01","1967","01","","","","","","","","","","","","","","","","","","",,"",,""
"1967-02","1967","02","","","","","","","","","","","","","","","","","","",,"",,""
"1967-03","1967","03","","","","","","","","","","","","","","","","","","",,"",,""
"1967-04","1967","04","","","","","","","","","","","","","","","","","","",,"",,""
"1967-05","1967","05","","","","","","","","","","","","","","","","","","",,"",,""
"1967-06","1967","06","","","","","","","","","","","","","","","","","","",,"",,""
"1967-07","1967","07","","","","","","","","","","","","","","","","","","",,"",,""
"1967-08","1967","08","","","","","","","","","","","","","","","","","","",,"",,""
"1967-09","1967","09","","","","","","","","","","","","","","","","","","",,"",,""
"1967-10","1967","10","","","","","","","","","","","","","","","","","","",,"",,""
"1967-11","1967","11","","","","","","","","","","","","","","","","","","",,"",,""
