"Station Name","BRIDGETOWN"
"Province","NOVA SCOTIA"
"Latitude","44.83"
"Longitude","-65.30"
"Elevation","8.00"
"Climate Identifier","8200596"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-01","1998","01","","","","","","","","","","","133.3","","30.0","","163.3","","","",,"",,""
"1998-02","1998","02","","","","","","","","","","","51.8","","0.0","T","51.8","","0","",,"",,""
"1998-03","1998","03","","","","","","","","","","","51.3","","47.8","","99.1","","","",,"",,""
"1998-04","1998","04","","","","","","","","","","","64.6","","3.0","","67.6","","0","",,"",,""
"1998-05","1998","05","","","","","","","","","","","43.0","","0.0","","43.0","","0","",,"",,""
"1998-06","1998","06","","","","","","","","","","","59.2","","0.0","","59.2","","0","",,"",,""
"1998-07","1998","07","","","","","","","","","","","98.2","","0.0","","98.2","","0","",,"",,""
"1998-08","1998","08","","","","","","","","","","","73.2","","0.0","","73.2","","0","",,"",,""
"1998-09","1998","09","","","","","","","","","","","141.1","","0.0","","141.1","","0","",,"",,""
"1998-10","1998","10","","","","","","","","","","","245.4","E","0.0","","245.4","E","0","",,"",,""
"1998-11","1998","11","","","","","","","","","","","93.7","","0.0","","93.7","","0","",,"",,""
"1998-12","1998","12","","","","","","","","","","","70.8","","20.0","","90.8","","","M",,"",,""
"1999-01","1999","01","","","","","","","","","","","72.8","","36.0","","108.8","","","",,"",,""
"1999-02","1999","02","","","","","","","","","","","49.2","","11.0","","60.2","","","",,"",,""
"1999-03","1999","03","","","","","","","","","","","87.6","","68.0","","155.6","","","",,"",,""
"1999-04","1999","04","","","","","","","","","","","23.5","","11.0","","34.5","","0","",,"",,""
"1999-05","1999","05","","","","","","","","","","","52.5","","0.0","","52.5","","0","",,"",,""
"1999-06","1999","06","","","","","","","","","","","47.0","","0.0","","47.0","","0","",,"",,""
"1999-07","1999","07","","","","","","","","","","","64.5","","0.0","","64.5","","0","",,"",,""
"1999-08","1999","08","","","","","","","","","","","92.3","","0.0","","92.3","","0","",,"",,""
"1999-09","1999","09","","","","","","","","","","","192.7","","0.0","","192.7","","0","",,"",,""
"1999-10","1999","10","","","","","","","","","","","","","","","","","","",,"",,""
"1999-11","1999","11","","","","","","","","","","","66.0","","3.0","","69.0","","0","",,"",,""
"1999-12","1999","12","","","","","","","","","","","93.9","","13.0","","106.9","","","M",,"",,""
"2000-01","2000","01","","","","","","","","","","","117.2","","97.2","","214.4","","","",,"",,""
"2000-02","2000","02","","","","","","","","","","","40.8","","28.5","","69.3","","","",,"",,""
"2000-03","2000","03","","","","","","","","","","","91.2","","38.0","","129.2","","0","",,"",,""
"2000-04","2000","04","","","","","","","","","","","89.6","E","0.0","T","89.6","E","0","",,"",,""
"2000-05","2000","05","","","","","","","","","","","103.8","","0.0","","103.8","","0","",,"",,""
"2000-06","2000","06","","","","","","","","","","","52.6","","0.0","","52.6","","0","",,"",,""
"2000-07","2000","07","","","","","","","","","","","71.6","","0.0","","71.6","","0","",,"",,""
"2000-08","2000","08","","","","","","","","","","","59.3","","0.0","","59.3","","0","",,"",,""
"2000-09","2000","09","","","","","","","","","","","79.4","","0.0","","79.4","","0","",,"",,""
"2000-10","2000","10","","","","","","","","","","","168.8","","0.0","","168.8","","0","",,"",,""
