"Station Name","BRIGHAM"
"Province","QUEBEC"
"Latitude","45.25"
"Longitude","-72.85"
"Elevation","91.40"
"Climate Identifier","7020833"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1968-01","1968","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-02","1968","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-03","1968","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-04","1968","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-05","1968","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-06","1968","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-07","1968","07","26.6","","14.4","","20.5","","32.2","S","6.7","","124.0","","0.0","","124.0","","0","",,"",,""
"1968-08","1968","08","23.2","","11.4","","17.3","","29.4","","4.4","S","43.7","","0.0","","43.7","","0","",,"",,""
"1968-09","1968","09","22.4","","10.8","","16.6","","27.8","","3.3","","64.5","E","0.0","","64.5","E","0","",,"",,""
"1968-10","1968","10","","M","","M","","M","27.8","","-1.7","S","66.0","E","0.0","","66.0","E","0","",,"",,""
"1968-11","1968","11","3.5","","-3.3","","0.1","","12.2","","-8.3","","80.5","","41.7","","122.2","","","M",,"",,""
"1968-12","1968","12","","M","","M","","M","7.8","S","","M","7.1","","87.1","","94.2","","","M",,"",,""
"1969-01","1969","01","-2.6","","-13.4","","-8.0","","11.7","","-27.2","","24.4","","82.3","","106.7","","","M",,"",,""
"1969-02","1969","02","-1.9","","-11.3","","-6.6","","6.7","","-20.0","","0.0","","54.9","","54.9","","","M",,"",,""
"1969-03","1969","03","1.3","","-8.5","","-3.6","","13.9","","-27.2","","17.8","","30.0","","47.8","","","M",,"",,""
"1969-04","1969","04","10.6","","-0.3","","5.2","","24.4","","-14.4","","49.5","E","13.0","","62.5","E","0","",,"",,""
"1969-05","1969","05","16.9","","4.8","","10.9","","27.8","","-2.8","S","70.9","","0.0","","70.9","","0","",,"",,""
"1969-06","1969","06","23.5","","11.8","","17.7","","32.2","","2.8","","152.4","","0.0","","152.4","","0","",,"",,""
"1969-07","1969","07","25.0","E","13.9","E","19.5","E","31.7","","5.0","","50.0","E","0.0","","50.0","E","0","",,"",,""
"1969-08","1969","08","25.2","E","15.3","E","20.3","E","31.1","","","M","96.3","","0.0","","96.3","","0","",,"",,""
"1969-09","1969","09","19.5","","8.5","","14.0","","28.3","","-1.7","","35.6","","0.0","","35.6","","0","",,"",,""
"1969-10","1969","10","13.4","","3.4","","8.4","","25.6","","-6.7","S","56.6","","6.4","","63.0","","0","",,"",,""
"1969-11","1969","11","6.9","","-0.5","","3.2","","16.1","S","-15.6","","101.3","","16.3","","117.6","","","M",,"",,""
"1969-12","1969","12","-2.7","","-10.2","","-6.5","","12.8","","-25.0","","","M","84.8","","112.0","","","M",,"",,""
