"Station Name","BUCK MOUNTAIN"
"Province","ALBERTA"
"Latitude","53.03"
"Longitude","-114.70"
"Elevation","914.40"
"Climate Identifier","3010RK0"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1967-01","1967","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-02","1967","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-03","1967","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-04","1967","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-05","1967","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-06","1967","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-07","1967","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-08","1967","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-09","1967","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-10","1967","10","","M","","M","","M","21.1","","-7.2","","","M","","M","","M","0","",,"",,""
"1967-11","1967","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-12","1967","12","-3.8","","-16.9","","-10.4","","2.8","","-32.8","","0.0","","45.7","","45.7","","46","",,"",,""
"1968-01","1968","01","","M","-19.9","","","M","","","-37.2","","0.0","","","","","M","","",,"",,""
"1968-02","1968","02","1.1","E","-14.4","","-6.7","E","","","-31.7","","","M","","","6.4","E","","",,"",,""
"1968-03","1968","03","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1968-04","1968","04","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1968-05","1968","05","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1968-06","1968","06","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1968-07","1968","07","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1968-08","1968","08","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1968-09","1968","09","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1968-10","1968","10","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1968-11","1968","11","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1968-12","1968","12","","M","","M","","M","","","","M","","M","","","","M","","",,"",,""
"1969-01","1969","01","","","","","","","","","","","","","","","","","","",,"",,""
"1969-02","1969","02","","","","","","","","","","","","","","","","","","",,"",,""
"1969-03","1969","03","","","","","","","","","","","","","","","","","","",,"",,""
"1969-04","1969","04","","","","","","","","","","","","","","","","","","",,"",,""
"1969-05","1969","05","","","","","","","","","","","","","","","","","","",,"",,""
"1969-06","1969","06","","","","","","","","","","","","","","","","","","",,"",,""
"1969-07","1969","07","","","","","","","","","","","","","","","","","","",,"",,""
"1969-08","1969","08","","","","","","","","","","","","","","","","","","",,"",,""
"1969-09","1969","09","","","","","","","","","","","","","","","","","","",,"",,""
"1969-10","1969","10","","","","","","","","","","","","","","","","","","",,"",,""
"1969-11","1969","11","","","","","","","","","","","","","","","","","","",,"",,""
"1969-12","1969","12","","","","","","","","","","","","","","","","","","",,"",,""
"1970-01","1970","01","","M","-22.4","","","M","","","-41.1","","0.0","","19.6","","19.6","","","",,"",,""
"1970-02","1970","02","2.2","E","-8.7","","-3.3","E","","","-21.1","","0.0","","14.0","","14.0","","","",,"",,""
"1970-03","1970","03","","M","","M","","M","","","","M","","M","","M","","M","","",,"",,""
"1970-04","1970","04","","M","","M","","M","","","","M","","M","","M","","M","","",,"",,""
"1970-05","1970","05","","M","","M","","M","","","","M","","M","","M","","M","","",,"",,""
"1970-06","1970","06","","M","","M","","M","","","","M","","M","","M","","M","","",,"",,""
"1970-07","1970","07","","M","9.0","","","M","","","3.3","","75.7","","0.0","","75.7","","","",,"",,""
"1970-08","1970","08","","M","","M","","M","","","","M","","M","0.0","","","M","","",,"",,""
"1970-09","1970","09","","M","","M","","M","","","","M","","M","","M","","M","","",,"",,""
"1970-10","1970","10","","M","","M","","M","","","","M","","M","","M","","M","","",,"",,""
"1970-11","1970","11","","M","","M","","M","","","","M","","M","","M","","M","","",,"",,""
"1970-12","1970","12","","M","","M","","M","","","","M","","M","","M","","M","","",,"",,""
