"Station Name","BURNABY SUNCREST"
"Province","BRITISH COLUMBIA"
"Latitude","49.22"
"Longitude","-123.02"
"Elevation","54.90"
"Climate Identifier","1101160"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1955-01","1955","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1955-02","1955","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1955-03","1955","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1955-04","1955","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1955-05","1955","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1955-06","1955","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1955-07","1955","07","","","","","","","","","","","74.4","","0.0","","74.4","","","M",,"",,""
"1955-08","1955","08","","","","","","","","","","","6.4","","0.0","","6.4","","","M",,"",,""
"1955-09","1955","09","","","","","","","","","","","43.9","","0.0","","43.9","","","M",,"",,""
"1955-10","1955","10","","","","","","","","","","","163.8","","0.0","","163.8","","","M",,"",,""
"1955-11","1955","11","","","","","","","","","","","291.3","","7.6","","299.0","","0","",,"",,""
"1955-12","1955","12","","","","","","","","","","","159.5","","14.5","","174.0","","0","",,"",,""
"1956-01","1956","01","","","","","","","","","","","135.9","","6.4","","142.2","","","M",,"",,""
"1956-02","1956","02","","","","","","","","","","","105.2","","40.1","","145.3","","","M",,"",,""
"1956-03","1956","03","","","","","","","","","","","129.5","","16.3","","145.8","","","M",,"",,""
"1956-04","1956","04","","","","","","","","","","","20.3","","0.0","","20.3","","","M",,"",,""
"1956-05","1956","05","","","","","","","","","","","19.6","","0.0","","19.6","","","M",,"",,""
"1956-06","1956","06","","","","","","","","","","","133.6","","0.0","","133.6","","0","",,"",,""
"1956-07","1956","07","","","","","","","","","","","18.3","","0.0","","18.3","","0","",,"",,""
"1956-08","1956","08","","","","","","","","","","","56.6","","0.0","","56.6","","0","",,"",,""
"1956-09","1956","09","","","","","","","","","","","149.1","","0.0","","149.1","","0","",,"",,""
"1956-10","1956","10","","","","","","","","","","","266.2","","0.0","","266.2","","0","",,"",,""
"1956-11","1956","11","","","","","","","","","","","92.2","","0.0","","92.2","","","M",,"",,""
"1956-12","1956","12","","","","","","","","","","","311.9","","1.3","","313.2","","","M",,"",,""
"1957-01","1957","01","","","","","","","","","","","57.9","","27.2","","85.1","","","M",,"",,""
"1957-02","1957","02","","","","","","","","","","","76.7","","19.8","","96.5","","","M",,"",,""
"1957-03","1957","03","","","","","","","","","","","164.6","","0.0","T","164.6","","","M",,"",,""
"1957-04","1957","04","","","","","","","","","","","67.8","","0.0","","67.8","","","M",,"",,""
"1957-05","1957","05","","","","","","","","","","","43.4","","0.0","","43.4","","0","",,"",,""
"1957-06","1957","06","","","","","","","","","","","84.8","","0.0","","84.8","","0","",,"",,""
"1957-07","1957","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-08","1957","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-09","1957","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-10","1957","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-11","1957","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-12","1957","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
