"Station Name","CALDWELL"
"Province","ALBERTA"
"Latitude","49.17"
"Longitude","-113.63"
"Elevation","1286.00"
"Climate Identifier","3031000"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1910-01","1910","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-02","1910","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-03","1910","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-04","1910","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-05","1910","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-06","1910","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-07","1910","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-08","1910","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-09","1910","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-10","1910","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-11","1910","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1910-12","1910","12","","","","","","","","","","","0.0","","6.1","","6.1","","","",,"",,""
"1911-01","1911","01","","","","","","","","","","","0.0","","105.9","","105.9","","","",,"",,""
"1911-02","1911","02","","","","","","","","","","","0.0","","68.6","","68.6","","","",,"",,""
"1911-03","1911","03","","","","","","","","","","","0.0","","20.6","","20.6","","","",,"",,""
"1911-04","1911","04","","","","","","","","","","","0.0","","37.3","","37.3","","","",,"",,""
"1911-05","1911","05","","","","","","","","","","","105.2","","21.6","","126.7","","","",,"",,""
"1911-06","1911","06","","","","","","","","","","","157.7","","0.0","","157.7","","","",,"",,""
"1911-07","1911","07","","","","","","","","","","","50.8","","0.0","","50.8","","","",,"",,""
"1911-08","1911","08","","","","","","","","","","","111.0","","0.0","","111.0","","","",,"",,""
"1911-09","1911","09","","","","","","","","","","","152.9","","10.2","","163.1","","","",,"",,""
"1911-10","1911","10","","","","","","","","","","","13.7","","13.5","","27.2","","","",,"",,""
"1911-11","1911","11","","","","","","","","","","","0.0","","74.4","","74.4","","","",,"",,""
"1911-12","1911","12","","","","","","","","","","","0.0","","22.9","","22.9","","","",,"",,""
"1912-01","1912","01","","","","","","","","","","","0.0","","56.1","","56.1","","","",,"",,""
"1912-02","1912","02","","","","","","","","","","","0.0","","3.8","","3.8","","","",,"",,""
"1912-03","1912","03","","","","","","","","","","","0.0","","28.7","","28.7","","","",,"",,""
"1912-04","1912","04","","","","","","","","","","","20.8","","6.4","","27.2","","","",,"",,""
"1912-05","1912","05","","","","","","","","","","","33.8","","0.0","","33.8","","","",,"",,""
"1912-06","1912","06","","","","","","","","","","","51.3","","0.0","","51.3","","","",,"",,""
"1912-07","1912","07","","","","","","","","","","","96.5","","0.0","T","96.5","","","",,"",,""
"1912-08","1912","08","","","","","","","","","","","38.6","","0.0","","38.6","","","",,"",,""
"1912-09","1912","09","","","","","","","","","","","49.8","","0.0","T","49.8","","","",,"",,""
"1912-10","1912","10","","","","","","","","","","","37.1","","35.6","","72.6","","","",,"",,""
"1912-11","1912","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1912-12","1912","12","","","","","","","","","","","0.0","","10.9","","10.9","","","",,"",,""
"1913-01","1913","01","","","","","","","","","","","0.0","","56.1","","56.1","","","",,"",,""
"1913-02","1913","02","","","","","","","","","","","0.0","","57.4","","57.4","","","",,"",,""
"1913-03","1913","03","","","","","","","","","","","0.3","","70.6","","70.9","","","",,"",,""
"1913-04","1913","04","","","","","","","","","","","0.5","","21.6","","22.1","","","",,"",,""
"1913-05","1913","05","","","","","","","","","","","1.3","","25.4","","26.7","","","",,"",,""
"1913-06","1913","06","","","","","","","","","","","85.1","","0.0","","85.1","","","",,"",,""
"1913-07","1913","07","","","","","","","","","","","52.6","","0.0","","52.6","","","",,"",,""
"1913-08","1913","08","","","","","","","","","","","42.2","","0.0","","42.2","","","",,"",,""
"1913-09","1913","09","","","","","","","","","","","18.8","","0.0","","18.8","","","",,"",,""
"1913-10","1913","10","","","","","","","","","","","0.0","","39.4","","39.4","","","",,"",,""
"1913-11","1913","11","","","","","","","","","","","0.0","","16.0","","16.0","","","",,"",,""
"1913-12","1913","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-01","1914","01","","","","","","","","","","","0.0","","35.6","","35.6","","","",,"",,""
"1914-02","1914","02","","","","","","","","","","","0.0","","16.5","","16.5","","","",,"",,""
"1914-03","1914","03","","","","","","","","","","","0.0","","38.1","","38.1","","","",,"",,""
"1914-04","1914","04","","","","","","","","","","","30.5","","3.8","","34.3","","","",,"",,""
"1914-05","1914","05","","","","","","","","","","","46.0","","0.0","","46.0","","","",,"",,""
"1914-06","1914","06","","","","","","","","","","","50.3","","0.0","","50.3","","","",,"",,""
"1914-07","1914","07","","","","","","","","","","","33.5","","0.0","","33.5","","","",,"",,""
"1914-08","1914","08","","","","","","","","","","","132.3","","0.0","","132.3","","","",,"",,""
"1914-09","1914","09","","","","","","","","","","","33.0","","0.0","","33.0","","","",,"",,""
"1914-10","1914","10","","","","","","","","","","","5.8","","9.7","","15.5","","","",,"",,""
"1914-11","1914","11","","","","","","","","","","","1.5","","4.8","","6.4","","","",,"",,""
