"Station Name","CALEDON NORTH"
"Province","ONTARIO"
"Latitude","43.93"
"Longitude","-79.95"
"Elevation","406.00"
"Climate Identifier","6151080"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-01","1998","01","-0.7","E","-7.3","E","-3.8","E","9.5","E","-19.0","E","49.0","I","23.2","I","70.2","I","23","",,"",,""
"1998-02","1998","02","1.9","","-5.1","E","-1.6","E","8.0","","-16.5","","19.9","","11.5","","31.4","","15","",,"",,""
"1998-03","1998","03","4.3","","-3.3","","0.5","","23.0","","-17.5","","80.8","E","40.0","","120.8","E","","M",,"",,""
"1998-04","1998","04","13.2","","2.2","","7.7","","21.0","","-4.0","","33.8","","0.0","","33.8","","0","",,"",,""
"1998-05","1998","05","21.6","","11.2","","16.4","","29.0","","3.0","","65.0","","0.0","","65.0","","0","",,"",,""
"1998-06","1998","06","22.9","","12.1","E","17.5","E","31.5","","2.0","S","132.8","","0.0","","132.8","","0","",,"",,""
"1998-07","1998","07","24.1","I","13.8","I","18.9","I","31.5","I","10.0","I","51.8","","0.0","","51.8","","0","",,"",,""
"1998-08","1998","08","25.1","I","14.3","I","19.7","I","29.5","I","7.0","I","114.4","","0.0","","114.4","","0","",,"",,""
"1998-09","1998","09","22.1","","11.4","","16.7","","29.0","","2.5","","42.8","","0.0","","42.8","","0","",,"",,""
"1998-10","1998","10","14.0","E","4.0","I","9.0","I","20.0","E","-1.0","I","11.8","","0.0","T","11.8","","0","",,"",,""
"1998-11","1998","11","6.1","","-0.5","E","2.8","E","16.0","","-5.0","B","32.0","","12.5","","44.5","","0","",,"",,""
"1998-12","1998","12","2.4","E","-5.3","E","-1.4","E","15.5","E","-20.0","E","26.0","","19.0","","45.0","","8","",,"",,""
"1999-01","1999","01","-4.2","E","-11.5","","-7.9","E","7.5","B","-29.0","","27.8","E","64.0","","91.8","E","10","",,"",,""
"1999-02","1999","02","1.3","E","-7.8","E","-3.1","E","11.0","E","-20.0","E","9.6","I","8.0","I","15.6","I","6","",,"",,""
"1999-03","1999","03","3.3","E","-5.4","E","-0.8","E","19.0","E","-18.0","E","0.2","","30.0","","30.2","","0","",,"",,""
"1999-04","1999","04","12.6","","1.5","","7.1","","21.5","","-4.0","","36.0","","3.0","","39.0","","0","",,"",,""
"1999-05","1999","05","20.8","","9.1","","15.0","","29.5","","2.0","S","54.0","","0.0","","54.0","","0","",,"",,""
"1999-06","1999","06","24.6","","13.8","","19.2","","30.5","S","5.5","S","53.8","","0.0","","53.8","","0","",,"",,""
"1999-07","1999","07","27.9","I","16.6","I","22.3","I","33.0","I","10.0","I","64.4","","0.0","","64.4","","0","",,"",,""
"1999-08","1999","08","22.9","E","13.5","E","18.2","E","28.0","E","6.0","E","93.0","","0.0","","93.0","","0","",,"",,""
"1999-09","1999","09","21.5","E","11.4","","16.5","E","30.5","","1.0","","116.6","","0.0","","116.6","","0","",,"",,""
"1999-10","1999","10","13.1","E","3.5","E","8.3","E","22.0","B","-4.0","E","65.0","","2.0","","67.0","","0","",,"",,""
"1999-11","1999","11","8.3","I","-0.6","I","3.5","I","20.0","I","-10.0","I","55.2","","21.0","","76.2","","0","",,"",,""
"1999-12","1999","12","0.2","I","-7.4","E","-3.3","I","11.5","I","-17.5","E","40.8","","13.0","E","53.8","E","6","",,"",,""
"2000-01","2000","01","-3.2","","-11.9","","-7.6","","10.0","","-25.0","S","30.4","","19.0","","49.4","","10","",,"",,""
"2000-02","2000","02","-1.4","E","-9.8","E","-5.9","I","12.0","E","-17.5","E","10.0","E","42.0","","52.0","E","0","",,"",,""
"2000-03","2000","03","7.9","","-1.9","","3.0","","23.0","S","-10.0","S","25.4","E","4.0","","29.4","E","0","",,"",,""
"2000-04","2000","04","8.9","I","0.2","I","4.3","I","21.0","I","-7.5","I","84.4","","17.0","E","101.4","E","0","",,"",,""
"2000-05","2000","05","18.2","E","8.1","","13.2","E","27.5","","1.5","","139.7","","0.0","","139.7","","0","",,"",,""
"2000-06","2000","06","22.1","","12.1","","17.1","","29.5","","6.0","S","216.8","","0.0","","216.8","","0","",,"",,""
"2000-07","2000","07","24.0","I","14.0","I","19.0","I","27.0","I","8.0","I","109.6","","0.0","","109.6","","0","",,"",,""
"2000-08","2000","08","23.1","I","13.6","E","18.4","I","29.0","I","5.5","E","75.4","","0.0","","75.4","","0","",,"",,""
"2000-09","2000","09","18.7","E","8.5","E","13.5","E","29.0","E","-2.0","E","107.2","","0.0","","107.2","","0","",,"",,""
"2000-10","2000","10","14.0","E","4.4","E","9.2","E","22.0","E","-2.0","B","22.4","","0.0","T","22.4","","0","",,"",,""
"2000-11","2000","11","5.8","E","-1.4","E","2.7","I","17.0","E","-17.0","E","56.8","E","13.0","","69.8","E","0","",,"",,""
"2000-12","2000","12","-5.5","E","-13.2","E","-9.4","E","4.5","E","-21.0","E","8.6","","81.0","","89.6","","45","",,"",,""
"2001-01","2001","01","-2.7","","-9.0","","-5.9","","2.5","","-21.0","","10.2","","26.0","","36.2","","49","",,"",,""
"2001-02","2001","02","-2.0","E","-9.2","","-5.6","E","10.0","","-17.0","","39.6","","33.4","","73.0","","25","",,"",,""
"2001-03","2001","03","1.7","E","-6.3","E","-2.3","E","8.0","B","-19.0","E","12.0","","32.0","E","44.0","E","11","",,"",,""
"2001-04","2001","04","12.6","E","1.4","E","7.1","E","25.0","B","-4.5","E","41.0","","0.0","T","41.0","","0","",,"",,""
"2001-05","2001","05","20.4","I","7.5","I","14.6","I","28.5","I","0.0","I","96.0","E","0.0","","96.0","E","0","",,"",,""
"2001-06","2001","06","24.6","I","13.6","I","19.2","I","31.0","I","6.0","I","80.0","","0.0","","80.0","","0","",,"",,""
"2001-07","2001","07","23.5","I","13.1","I","18.3","I","29.0","I","5.0","I","49.0","","0.0","","49.0","","0","",,"",,""
"2001-08","2001","08","26.2","I","15.1","I","20.7","I","34.0","I","10.0","I","43.0","","0.0","","43.0","","0","",,"",,""
"2001-09","2001","09","19.9","I","8.8","I","14.4","I","30.0","I","0.5","I","89.4","","0.8","","90.2","","0","",,"",,""
"2001-10","2001","10","11.9","I","2.7","I","7.2","I","24.5","I","-3.5","I","128.0","","5.0","","133.0","","0","",,"",,""
"2001-11","2001","11","9.8","E","2.3","E","6.1","E","17.0","E","-3.0","B","83.8","","2.0","","85.8","","0","",,"",,""
"2001-12","2001","12","0.6","I","-4.7","I","-2.0","I","16.0","I","-11.5","I","27.8","","24.0","","51.8","","5","",,"",,""
"2002-01","2002","01","0.1","","-5.4","","-2.6","","7.5","","-14.0","","3.4","E","33.0","E","36.4","E","3","",,"",,""
"2002-02","2002","02","0.4","I","-8.2","I","-3.9","I","12.0","I","-17.0","I","41.8","","20.0","","61.8","","","M",,"",,""
"2002-03","2002","03","3.7","E","-6.2","E","-1.5","E","15.0","E","-15.0","E","34.2","E","26.0","E","60.2","E","0","T",,"",,""
"2002-04","2002","04","10.4","","2.0","E","6.2","E","28.5","","-8.0","","83.6","","14.8","","98.4","","0","",,"",,""
"2002-05","2002","05","15.3","I","3.6","I","9.4","I","27.0","I","-2.0","I","88.6","","0.0","","88.6","","0","",,"",,""
"2002-06","2002","06","23.7","I","13.5","I","18.6","I","29.5","I","5.0","I","77.2","","0.0","","77.2","","0","",,"",,""
"2002-07","2002","07","","","","","","","","","","","75.0","E","0.0","","75.0","E","0","",,"",,""
"2002-08","2002","08","","","","","","","","","","","27.8","E","0.0","","27.8","E","0","",,"",,""
"2002-09","2002","09","","","","","","","","","","","","","","","","","","",,"",,""
"2002-10","2002","10","","","","","","","","","","","76.0","","0.0","T","76.0","","0","",,"",,""
"2002-11","2002","11","","","","","","","","","","","42.6","","30.8","","73.4","","0","T",,"",,""
