"Station Name","CALMAR"
"Province","ALBERTA"
"Latitude","53.29"
"Longitude","-113.86"
"Elevation","720.00"
"Climate Identifier","3011120"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1914-01","1914","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-02","1914","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-03","1914","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-04","1914","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-05","1914","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-06","1914","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-07","1914","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-08","1914","08","","","","","","","","","","","36.6","","0.0","","36.6","","","",,"",,""
"1914-09","1914","09","","","","","","","","","","","72.6","","0.0","","72.6","","","",,"",,""
"1914-10","1914","10","","","","","","","","","","","29.5","","0.0","","29.5","","","",,"",,""
"1914-11","1914","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1914-12","1914","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1915-01","1915","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1915-02","1915","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1915-03","1915","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1915-04","1915","04","","M","","M","","M","","M","","M","17.5","","10.2","","27.7","","","",,"",,""
"1915-05","1915","05","","M","","M","","M","","M","","M","38.6","","0.0","","38.6","","","",,"",,""
"1915-06","1915","06","","M","","M","","M","","M","","M","181.6","","0.0","","181.6","","","",,"",,""
"1915-07","1915","07","","M","","M","","M","","M","","M","155.7","","0.0","","155.7","","","",,"",,""
"1915-08","1915","08","","M","","M","","M","","M","","M","23.1","","0.0","","23.1","","","",,"",,""
"1915-09","1915","09","","M","","M","","M","","M","","M","40.6","","1.5","","42.2","","","",,"",,""
"1915-10","1915","10","","M","","M","","M","","M","","M","5.6","","0.0","","5.6","","","",,"",,""
"1915-11","1915","11","2.2","","-11.4","","-4.6","","11.1","","-21.7","","0.0","","18.8","","18.8","","","",,"",,""
"1915-12","1915","12","-1.2","","-14.5","","-7.9","","6.1","S","-20.6","S","0.0","","5.6","","5.6","","","",,"",,""
"1916-01","1916","01","-19.5","","-32.4","","-26.0","","1.1","","-47.2","","0.0","","11.2","","11.2","","","",,"",,""
"1916-02","1916","02","-1.8","","-17.3","","-9.6","","17.2","","-35.6","","0.0","","15.7","","15.7","","","",,"",,""
"1916-03","1916","03","0.6","","-12.7","","-6.1","","14.4","","-35.0","","5.8","","11.4","","17.3","","","",,"",,""
"1916-04","1916","04","12.0","","-2.2","","4.9","","21.1","","-7.8","S","17.5","","10.2","","27.7","","","",,"",,""
"1916-05","1916","05","14.8","","1.0","","7.9","","24.4","","-5.6","S","48.0","","12.7","","60.7","","","",,"",,""
"1916-06","1916","06","18.9","","5.4","","12.2","","24.4","","-2.2","","72.4","","0.0","","72.4","","","",,"",,""
"1916-07","1916","07","20.9","","8.1","","14.5","","26.1","","1.7","","122.2","","0.0","","122.2","","","",,"",,""
"1916-08","1916","08","20.0","","6.4","","13.2","","27.8","S","-1.7","","77.5","","0.0","","77.5","","","",,"",,""
"1916-09","1916","09","16.2","","2.4","","9.3","","25.6","","-3.3","","106.7","","0.0","","106.7","","","",,"",,""
"1916-10","1916","10","10.2","","-1.8","","4.2","","22.2","","-9.4","","0.0","","15.2","","15.2","","","",,"",,""
"1916-11","1916","11","4.3","","-9.0","","-2.4","","14.4","","-30.0","","0.0","","13.2","","13.2","","","",,"",,""
"1916-12","1916","12","-8.8","","-21.4","","-15.1","","7.2","","-41.1","","0.0","","13.5","","13.5","","","",,"",,""
"1917-01","1917","01","-8.9","","-22.2","","-15.6","","8.3","","-46.1","","0.0","","19.6","","19.6","","","",,"",,""
"1917-02","1917","02","-8.9","","-22.8","","-15.9","","9.4","","-46.7","","4.6","","27.9","","32.5","","","",,"",,""
"1917-03","1917","03","1.0","","-13.9","","-6.5","","8.9","","-25.0","","0.0","","8.4","","8.4","","","",,"",,""
"1917-04","1917","04","6.0","","-4.4","","0.8","","12.2","","-17.8","","0.0","","47.0","","47.0","","","",,"",,""
"1917-05","1917","05","15.5","","1.7","","8.6","","24.4","S","-6.7","","72.4","","8.6","","81.0","","","",,"",,""
"1917-06","1917","06","18.9","","4.3","","11.6","","26.7","","-2.2","S","65.3","","0.0","","65.3","","","",,"",,""
"1917-07","1917","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1917-08","1917","08","21.3","","6.8","","14.1","","28.3","","-1.7","","63.0","","0.0","","63.0","","","",,"",,""
"1917-09","1917","09","17.6","","2.1","","9.9","","27.8","","-6.7","","35.6","","0.0","","35.6","","","",,"",,""
"1917-10","1917","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1917-11","1917","11","11.6","","-4.3","","3.7","","21.1","","-10.6","","7.1","","0.0","","7.1","","","",,"",,""
"1917-12","1917","12","-15.3","","-26.9","","-21.1","","11.1","","-42.8","","0.0","","15.7","","15.7","","","",,"",,""
"1918-01","1918","01","-8.9","","-21.4","","-15.2","","8.3","","-43.9","","0.0","","7.9","","7.9","","","",,"",,""
"1918-02","1918","02","-4.5","","-18.7","","-11.6","","12.8","","-40.0","","0.0","","3.6","","3.6","","","",,"",,""
"1918-03","1918","03","2.5","","-12.4","","-5.0","","17.2","","-38.9","","5.3","","15.2","","20.6","","","",,"",,""
"1918-04","1918","04","12.6","","-4.3","","4.2","","22.2","","-20.0","","15.7","","3.8","","19.6","","","",,"",,""
"1918-05","1918","05","14.0","","0.1","","7.1","","24.4","","-7.2","","17.5","","54.6","","72.1","","","",,"",,""
"1918-06","1918","06","20.3","","6.3","","13.3","","28.3","","-1.1","","66.3","","0.0","","66.3","","","",,"",,""
"1918-07","1918","07","22.3","","7.0","","14.7","","31.7","","-3.3","","53.6","","0.0","","53.6","","","",,"",,""
"1918-08","1918","08","21.7","","7.4","","14.6","","28.9","","-0.6","S","89.7","","0.0","","89.7","","","",,"",,""
"1918-09","1918","09","18.4","","2.3","","10.4","","26.7","","-3.9","","40.9","","0.0","","40.9","","","",,"",,""
"1918-10","1918","10","12.4","","-3.8","","4.3","","21.1","","-14.4","","0.0","T","5.1","","5.1","","","",,"",,""
"1918-11","1918","11","5.0","","-7.3","","-1.2","","15.0","","","M","","M","","M","","M","","",,"",,""
"1918-12","1918","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1919-01","1919","01","0.6","","-13.0","","-6.2","","10.6","","-26.7","","0.0","","2.5","","2.5","","","",,"",,""
"1919-02","1919","02","-9.0","","-22.7","","-15.9","","6.7","","-43.3","","0.0","","11.9","","11.9","","","",,"",,""
"1919-03","1919","03","-4.0","","-18.6","","-11.3","","13.9","","-40.6","","8.1","","14.0","","22.1","","","",,"",,""
"1919-04","1919","04","12.7","","-1.2","","5.8","","24.4","","-5.0","","34.5","","17.8","","52.3","","","",,"",,""
"1919-05","1919","05","16.1","","0.8","","8.5","","30.0","","-10.0","","44.5","","43.9","","88.4","","","",,"",,""
"1919-06","1919","06","21.2","","4.9","","13.1","","30.0","S","-1.1","","45.7","","0.0","","45.7","","","",,"",,""
"1919-07","1919","07","22.5","","8.0","","15.3","","31.1","","0.0","","79.0","","0.0","","79.0","","","",,"",,""
"1919-08","1919","08","22.1","","7.3","","14.7","","28.9","S","0.6","S","30.2","","0.0","","30.2","","","",,"",,""
"1919-09","1919","09","17.4","","2.9","","10.2","","23.9","S","-7.2","","66.0","","0.0","T","66.0","","","",,"",,""
"1919-10","1919","10","4.2","","-10.3","","-3.1","","21.1","","-30.6","","18.0","","33.0","","51.1","","","",,"",,""
"1919-11","1919","11","-3.5","","-17.3","","-10.4","","12.2","S","-40.6","","0.0","","32.8","","32.8","","","",,"",,""
"1919-12","1919","12","-5.9","","-18.3","","-12.1","","10.6","S","-38.3","","0.0","","22.9","","22.9","","","",,"",,""
