"Station Name","CAP ROUGE"
"Province","QUEBEC"
"Latitude","46.77"
"Longitude","-71.30"
"Elevation","12.20"
"Climate Identifier","7011170"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1911-01","1911","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1911-02","1911","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1911-03","1911","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1911-04","1911","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1911-05","1911","05","","M","","M","","M","32.8","","","M","38.1","","0.0","","38.1","","","",,"",,""
"1911-06","1911","06","21.8","","10.5","","16.2","","28.3","","3.9","","104.6","","0.0","","104.6","","","",,"",,""
"1911-07","1911","07","26.4","","14.1","","20.3","","33.9","","7.8","","87.9","","0.0","","87.9","","","",,"",,""
"1911-08","1911","08","24.7","","12.9","","18.8","","31.1","S","5.6","","70.1","","0.0","","70.1","","","",,"",,""
"1911-09","1911","09","16.4","","5.7","","11.1","","22.2","S","-1.1","","118.6","","0.0","","118.6","","","",,"",,""
"1911-10","1911","10","11.1","","1.3","","6.2","","18.3","","-5.0","S","70.1","","0.0","","70.1","","","",,"",,""
"1911-11","1911","11","0.3","","-6.3","","-3.0","","11.1","","-13.9","","55.1","","66.5","","121.7","","","",,"",,""
"1911-12","1911","12","-2.7","","-9.3","","-6.0","","7.2","","-23.9","","36.3","","65.3","","101.6","","","",,"",,""
"1912-01","1912","01","-13.0","","-23.6","","-18.3","","1.1","","-31.1","S","0.0","","95.3","","95.3","","","",,"",,""
"1912-02","1912","02","-8.3","","-17.3","","-12.8","","1.7","","-28.3","S","0.0","","54.6","","54.6","","","",,"",,""
"1912-03","1912","03","-3.2","","-15.5","","-9.4","","6.1","","-25.6","","5.8","","55.1","","61.0","","","",,"",,""
"1912-04","1912","04","4.8","","-5.6","","-0.4","","15.6","","-15.0","S","70.6","","5.1","","75.7","","","",,"",,""
"1912-05","1912","05","16.4","","4.9","","10.7","","26.7","","-3.3","","205.2","","0.0","","205.2","","","",,"",,""
"1912-06","1912","06","18.6","","8.2","","13.4","","28.3","","1.7","","101.9","","0.0","","101.9","","","",,"",,""
"1912-07","1912","07","25.7","","12.9","","19.3","","33.3","","6.7","","20.1","","0.0","","20.1","","","",,"",,""
"1912-08","1912","08","20.3","","9.8","","15.1","","25.0","","3.9","","259.3","","0.0","","259.3","","","",,"",,""
"1912-09","1912","09","16.4","","7.2","","11.8","","23.3","","-0.6","","84.8","","0.0","","84.8","","","",,"",,""
"1912-10","1912","10","11.7","","2.6","","7.2","","22.2","","-2.2","S","95.0","","0.0","","95.0","","","",,"",,""
"1912-11","1912","11","2.6","","-3.9","","-0.7","","15.0","","-12.2","","74.7","","51.6","","126.2","","","",,"",,""
