"Station Name","CARROT RIVER EXP ST"
"Province","SASKATCHEWAN"
"Latitude","53.33"
"Longitude","-103.52"
"Elevation",""
"Climate Identifier","4071360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1951-01","1951","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-02","1951","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-03","1951","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-04","1951","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-05","1951","05","","","","","","","","","","","49.0","","0.0","","49.0","","","",,"",,""
"1951-06","1951","06","","","","","","","","","","","40.1","","0.0","","40.1","","","",,"",,""
"1951-07","1951","07","","","","","","","","","","","75.4","","0.0","","75.4","","","",,"",,""
"1951-08","1951","08","","","","","","","","","","","47.5","","0.0","","47.5","","","",,"",,""
"1951-09","1951","09","","","","","","","","","","","63.8","","0.0","","63.8","","","",,"",,""
"1951-10","1951","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-11","1951","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-12","1951","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-01","1952","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-02","1952","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-03","1952","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-04","1952","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-05","1952","05","","","","","","","","","","","85.9","","0.0","","85.9","","","",,"",,""
"1952-06","1952","06","","","","","","","","","","","76.2","","0.0","","76.2","","","",,"",,""
"1952-07","1952","07","","","","","","","","","","","206.2","","0.0","","206.2","","","",,"",,""
"1952-08","1952","08","","","","","","","","","","","39.1","","0.0","","39.1","","","",,"",,""
"1952-09","1952","09","","","","","","","","","","","37.1","","0.0","","37.1","","","",,"",,""
"1952-10","1952","10","","","","","","","","","","","5.8","","3.6","","9.4","","","",,"",,""
"1952-11","1952","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-12","1952","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1953-01","1953","01","","","","","","","","","","","","","","","","","","",,"",,""
