"Station Name","CEDAR VALLEY"
"Province","ONTARIO"
"Latitude","44.07"
"Longitude","-79.37"
"Elevation","283.50"
"Climate Identifier","6151272"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1971-01","1971","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-02","1971","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-03","1971","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-04","1971","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-05","1971","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-06","1971","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-07","1971","07","","","","","","","","","","","79.2","","0.0","","79.2","","0","",,"",,""
"1971-08","1971","08","","","","","","","","","","","124.7","","0.0","","124.7","","0","",,"",,""
"1971-09","1971","09","","","","","","","","","","","28.7","","0.0","","28.7","","0","",,"",,""
"1971-10","1971","10","","","","","","","","","","","26.2","","0.0","","26.2","","0","",,"",,""
"1971-11","1971","11","","","","","","","","","","","17.0","","32.8","","49.8","","10","",,"",,""
"1971-12","1971","12","","","","","","","","","","","57.7","","37.8","","95.5","","20","",,"",,""
"1972-01","1972","01","","","","","","","","","","","11.7","","35.3","","47.0","","5","",,"",,""
"1972-02","1972","02","","","","","","","","","","","0.0","T","57.4","","57.4","","51","",,"",,""
"1972-03","1972","03","","","","","","","","","","","22.6","","41.9","","64.5","","18","",,"",,""
"1972-04","1972","04","","","","","","","","","","","33.0","","15.5","","48.5","","0","",,"",,""
"1972-05","1972","05","","","","","","","","","","","39.1","","0.0","","39.1","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","59.7","","0.0","","59.7","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","45.0","","0.0","","45.0","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","78.5","","0.0","","78.5","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","54.1","","0.0","","54.1","","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","89.7","","6.1","","95.8","","0","",,"",,""
"1972-11","1972","11","","","","","","","","","","","32.5","","26.4","","58.9","","0","",,"",,""
"1972-12","1972","12","","","","","","","","","","","42.4","","62.7","","105.2","","0","",,"",,""
"1973-01","1973","01","","","","","","","","","","","17.5","","8.9","","26.4","","","M",,"",,""
"1973-02","1973","02","","","","","","","","","","","15.5","","36.1","","51.6","","10","",,"",,""
"1973-03","1973","03","","","","","","","","","","","89.7","","8.1","","97.8","","0","",,"",,""
"1973-04","1973","04","","","","","","","","","","","52.3","","5.1","","57.4","","0","",,"",,""
"1973-05","1973","05","","","","","","","","","","","69.3","","0.0","","69.3","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","64.8","","0.0","","64.8","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","49.3","","0.0","","49.3","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","31.0","","0.0","","31.0","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","32.3","","0.0","","32.3","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","103.4","","0.0","","103.4","","0","",,"",,""
"1973-11","1973","11","","","","","","","","","","","65.5","","9.7","","75.2","","","M",,"",,""
"1973-12","1973","12","","","","","","","","","","","10.4","","59.7","","70.1","","10","",,"",,""
"1974-01","1974","01","","","","","","","","","","","30.2","","34.0","","64.3","","0","T",,"",,""
"1974-02","1974","02","","","","","","","","","","","16.8","","18.5","","35.3","","","M",,"",,""
"1974-03","1974","03","","","","","","","","","","","30.5","","24.9","","55.4","","0","",,"",,""
"1974-04","1974","04","","","","","","","","","","","62.2","","0.0","T","62.2","","","M",,"",,""
"1974-05","1974","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-06","1974","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-07","1974","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-08","1974","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-09","1974","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-10","1974","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-11","1974","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-12","1974","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
