"Station Name","CHAIN LAKE"
"Province","NOVA SCOTIA"
"Latitude","44.63"
"Longitude","-63.63"
"Elevation","59.40"
"Climate Identifier","8200800"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1945-01","1945","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1945-02","1945","02","","","","","","","","","","","45.2","","50.8","","96.0","","","",,"",,""
"1945-03","1945","03","","","","","","","","","","","38.9","","15.2","","54.1","","","",,"",,""
"1945-04","1945","04","","","","","","","","","","","52.8","","0.0","","52.8","","","",,"",,""
"1945-05","1945","05","","","","","","","","","","","166.1","","0.0","","166.1","","","",,"",,""
"1945-06","1945","06","","","","","","","","","","","147.1","","0.0","","147.1","","","",,"",,""
"1945-07","1945","07","","","","","","","","","","","48.0","","0.0","","48.0","","","",,"",,""
"1945-08","1945","08","","","","","","","","","","","68.1","","0.0","","68.1","","","",,"",,""
"1945-09","1945","09","","","","","","","","","","","51.6","","0.0","","51.6","","","",,"",,""
"1945-10","1945","10","","","","","","","","","","","202.7","","0.0","","202.7","","","",,"",,""
"1945-11","1945","11","","","","","","","","","","","251.7","","12.7","","264.4","","","",,"",,""
"1945-12","1945","12","","","","","","","","","","","104.6","","49.8","","154.4","","","",,"",,""
"1946-01","1946","01","","","","","","","","","","","66.8","","46.0","","112.8","","","",,"",,""
"1946-02","1946","02","","","","","","","","","","","196.6","","54.4","","251.0","","","",,"",,""
"1946-03","1946","03","","","","","","","","","","","60.2","","0.0","","60.2","","","",,"",,""
"1946-04","1946","04","","","","","","","","","","","125.7","","20.6","","146.3","","","",,"",,""
"1946-05","1946","05","","","","","","","","","","","133.9","","0.0","","133.9","","","",,"",,""
"1946-06","1946","06","","","","","","","","","","","45.7","","0.0","","45.7","","","",,"",,""
"1946-07","1946","07","","","","","","","","","","","61.7","","0.0","","61.7","","","",,"",,""
"1946-08","1946","08","","","","","","","","","","","144.5","","0.0","","144.5","","","",,"",,""
"1946-09","1946","09","","","","","","","","","","","164.6","","0.0","","164.6","","","",,"",,""
"1946-10","1946","10","","","","","","","","","","","48.0","","0.0","","48.0","","","",,"",,""
"1946-11","1946","11","","","","","","","","","","","59.7","","0.0","","59.7","","","",,"",,""
"1946-12","1946","12","","","","","","","","","","","174.8","","38.1","","212.9","","","",,"",,""
"1947-01","1947","01","","","","","","","","","","","121.4","","25.4","","146.8","","","",,"",,""
"1947-02","1947","02","","","","","","","","","","","93.5","","31.0","","124.5","","","",,"",,""
"1947-03","1947","03","","","","","","","","","","","73.2","","11.2","","84.3","","","",,"",,""
"1947-04","1947","04","","","","","","","","","","","86.6","","8.1","","94.7","","","",,"",,""
"1947-05","1947","05","","","","","","","","","","","313.2","","0.0","","313.2","","","",,"",,""
"1947-06","1947","06","","","","","","","","","","","108.0","","0.0","","108.0","","","",,"",,""
"1947-07","1947","07","","","","","","","","","","","79.5","","0.0","","79.5","","","",,"",,""
"1947-08","1947","08","","","","","","","","","","","17.0","","0.0","","17.0","","","",,"",,""
"1947-09","1947","09","","","","","","","","","","","155.4","","0.0","","155.4","","","",,"",,""
"1947-10","1947","10","","","","","","","","","","","31.5","","0.0","","31.5","","","",,"",,""
"1947-11","1947","11","","","","","","","","","","","117.9","","2.0","","119.9","","","",,"",,""
"1947-12","1947","12","","","","","","","","","","","69.3","","99.6","","168.9","","","",,"",,""
"1948-01","1948","01","","","","","","","","","","","164.8","","46.7","","211.6","","","",,"",,""
"1948-02","1948","02","","","","","","","","","","","101.3","","31.5","","132.8","","","",,"",,""
"1948-03","1948","03","","","","","","","","","","","100.6","","76.5","","177.0","","","",,"",,""
"1948-04","1948","04","","","","","","","","","","","131.3","","4.3","","135.6","","","",,"",,""
"1948-05","1948","05","","","","","","","","","","","208.0","","0.0","","208.0","","","",,"",,""
"1948-06","1948","06","","","","","","","","","","","147.3","","0.0","","147.3","","","",,"",,""
"1948-07","1948","07","","","","","","","","","","","154.7","","0.0","","154.7","","","",,"",,""
"1948-08","1948","08","","","","","","","","","","","136.4","","0.0","","136.4","","","",,"",,""
"1948-09","1948","09","","","","","","","","","","","58.9","","0.0","","58.9","","","",,"",,""
"1948-10","1948","10","","","","","","","","","","","109.2","","0.0","","109.2","","","",,"",,""
"1948-11","1948","11","","","","","","","","","","","205.0","","0.0","T","205.0","","","",,"",,""
"1948-12","1948","12","","","","","","","","","","","80.8","","29.2","","110.0","","","",,"",,""
"1949-01","1949","01","","M","","M","","M","","M","","M","102.6","","28.4","","131.1","","","",,"",,""
"1949-02","1949","02","","M","","M","","M","","M","","M","88.1","","83.8","","172.0","","","",,"",,""
"1949-03","1949","03","","M","","M","","M","","M","","M","110.5","","63.5","","174.0","","","",,"",,""
"1949-04","1949","04","","M","","M","","M","","M","","M","170.4","","0.0","","170.4","","","",,"",,""
"1949-05","1949","05","","M","","M","","M","","M","","M","99.6","","0.0","","99.6","","","",,"",,""
"1949-06","1949","06","","M","","M","","M","","M","","M","50.8","","0.0","","50.8","","","",,"",,""
"1949-07","1949","07","","M","","M","","M","","M","","M","125.0","","0.0","","125.0","","","",,"",,""
"1949-08","1949","08","","M","","M","","M","","M","","M","145.3","","0.0","","145.3","","","",,"",,""
"1949-09","1949","09","20.2","","10.2","","15.2","","25.6","S","1.1","","150.6","","0.0","","150.6","","","",,"",,""
"1949-10","1949","10","15.2","","3.6","","9.4","","20.0","","-2.8","","110.5","","0.0","","110.5","","","",,"",,""
"1949-11","1949","11","8.6","","-1.7","","3.5","","14.4","S","-7.8","","181.6","","4.6","","186.2","","","",,"",,""
"1949-12","1949","12","4.6","","-5.7","","-0.6","","13.3","","-13.9","","75.4","","25.9","","101.3","","","",,"",,""
"1950-01","1950","01","1.3","","-9.7","","-4.2","","12.2","","-23.3","","105.7","","61.7","","167.4","","","",,"",,""
"1950-02","1950","02","-1.3","","-14.0","","-7.7","","6.7","","-25.6","","53.3","","31.0","","84.3","","","",,"",,""
"1950-03","1950","03","3.2","","-9.9","","-3.4","","12.8","","-21.1","S","86.4","","52.6","","138.9","","","",,"",,""
"1950-04","1950","04","9.5","","-1.8","","3.9","","17.2","","-11.1","","73.2","","34.3","","107.4","","","",,"",,""
"1950-05","1950","05","17.0","","3.9","","10.5","","26.7","","-2.2","","67.8","","0.0","","67.8","","","",,"",,""
"1950-06","1950","06","20.1","","8.1","","14.1","","30.0","","4.4","S","87.9","","0.0","","87.9","","","",,"",,""
"1950-07","1950","07","24.1","","12.4","","18.3","","28.9","","8.9","","48.3","","0.0","","48.3","","","",,"",,""
"1950-08","1950","08","23.3","","13.1","","18.2","","26.7","S","10.0","S","145.8","","0.0","","145.8","","","",,"",,""
"1950-09","1950","09","17.9","","7.0","","12.5","","26.7","","1.1","S","114.8","","0.0","","114.8","","","",,"",,""
"1950-10","1950","10","13.4","","2.3","","7.9","","22.2","","-4.4","","47.2","","0.0","T","47.2","","","",,"",,""
"1950-11","1950","11","10.9","","1.3","","6.1","","20.0","","-3.9","","167.1","","1.3","","168.4","","","",,"",,""
"1950-12","1950","12","5.8","","-2.7","","1.6","","15.6","","-15.6","","264.2","","13.5","","277.6","","","",,"",,""
"1951-01","1951","01","3.1","","-6.6","","-1.8","","12.2","","-25.6","","139.2","","31.0","","170.2","","","",,"",,""
"1951-02","1951","02","3.2","","-6.1","","-1.5","","11.7","","-17.8","S","137.7","","10.2","","147.8","","","",,"",,""
"1951-03","1951","03","5.9","","-3.3","","1.3","","13.3","","-10.0","","88.1","","3.0","","91.2","","","",,"",,""
"1951-04","1951","04","10.8","","1.9","","6.4","","18.9","","-2.2","","109.0","","0.0","","109.0","","","",,"",,""
