"Station Name","CHEMIN CHUTE DES PASSES"
"Province","QUEBEC"
"Latitude","49.42"
"Longitude","-71.40"
"Elevation","365.80"
"Climate Identifier","7061372"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1967-01","1967","01","-7.1","","-21.7","","-14.4","","3.3","","-41.1","","0.0","","62.7","","62.7","","","M",,"",,""
"1967-02","1967","02","-10.7","","-30.9","","-20.8","","-1.7","","-44.4","","0.0","","50.5","","50.5","","","M",,"",,""
"1967-03","1967","03","-4.4","","-24.8","","-14.6","","9.4","","-38.3","","15.5","","16.0","","31.5","","","M",,"",,""
"1967-04","1967","04","3.3","","-8.9","","-2.8","","9.4","","-24.4","","6.1","","16.3","","22.4","","","M",,"",,""
"1967-05","1967","05","9.1","","-2.1","","3.5","","20.6","","-8.3","","26.9","","24.1","","51.1","","0","",,"",,""
"1967-06","1967","06","22.2","","6.2","","14.2","","30.6","","-1.1","","61.0","","0.0","","61.0","","0","",,"",,""
"1967-07","1967","07","22.6","","10.2","","16.4","","28.9","","3.3","","130.6","","0.0","","130.6","","0","",,"",,""
"1967-08","1967","08","21.1","","9.2","","15.2","","27.2","","2.2","","69.6","","0.0","","69.6","","0","",,"",,""
"1967-09","1967","09","16.4","","2.6","","9.5","","26.7","","-5.6","","101.1","","0.0","","101.1","","0","",,"",,""
"1967-10","1967","10","7.3","","-1.2","","3.1","","16.1","S","-8.9","","138.2","","3.8","","142.0","","0","",,"",,""
"1967-11","1967","11","-0.7","","-10.2","","-5.5","","13.9","","-23.9","","65.0","","37.1","","114.8","","","M",,"",,""
"1967-12","1967","12","-6.3","","-19.4","","-12.9","","7.2","","-40.6","S","7.6","","94.5","","94.7","","","M",,"",,""
"1968-01","1968","01","-14.3","","-35.1","","-24.7","","-1.1","","-43.9","","0.0","","40.4","","32.8","","","M",,"",,""
"1968-02","1968","02","-11.5","","","M","","M","0.0","","","M","0.0","","62.0","","68.6","","","M",,"",,""
"1968-03","1968","03","-1.4","","-16.1","","-8.8","","11.1","","-38.9","","41.1","","25.4","","63.2","","","M",,"",,""
"1968-04","1968","04","7.9","","-5.6","","1.2","","17.2","","-19.4","","40.9","","14.2","","56.6","","","M",,"",,""
"1968-05","1968","05","14.7","","-0.1","","7.3","","27.8","S","-9.4","","5.8","","0.0","","5.8","","","M",,"",,""
"1968-06","1968","06","19.7","","5.3","","12.5","","25.6","","-2.8","","68.8","","0.0","","68.8","","0","",,"",,""
"1968-07","1968","07","21.9","","7.3","","14.6","","30.6","","1.1","","151.9","","0.0","","151.9","","0","",,"",,""
"1968-08","1968","08","16.9","","5.3","","11.1","","22.2","S","0.0","","149.1","","0.0","","149.1","","0","",,"",,""
"1968-09","1968","09","18.5","","5.8","","12.2","","27.2","","-2.2","","47.2","","0.0","","47.2","","0","",,"",,""
"1968-10","1968","10","9.6","","0.3","","5.0","","19.4","S","-5.6","","112.5","","9.4","","121.9","","5","",,"",,""
"1968-11","1968","11","-2.8","","-9.6","","-6.2","","4.4","","-32.2","","0.3","","55.4","","43.7","","","M",,"",,""
"1968-12","1968","12","-7.8","","-18.5","","-13.2","","3.3","","-35.6","","0.0","","172.7","","108.5","","","M",,"",,""
"1969-01","1969","01","-6.8","","-19.4","","-13.1","","7.2","","-37.2","","11.9","","70.4","","63.8","","","M",,"",,""
"1969-02","1969","02","-5.5","","-21.7","","-13.6","","3.3","","-31.7","","0.0","","22.4","","17.5","","","M",,"",,""
