"Station Name","CHICOUTIMI OUEST"
"Province","QUEBEC"
"Latitude","48.42"
"Longitude","-71.08"
"Elevation","175.00"
"Climate Identifier","7061441"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1989-01","1989","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-02","1989","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-03","1989","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-04","1989","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-05","1989","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-06","1989","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-07","1989","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-08","1989","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-09","1989","09","19.2","E","8.2","E","13.7","E","28.5","","-1.0","","","M","0.0","","","M","0","",,"",,""
"1989-10","1989","10","10.9","","1.3","E","6.1","E","21.0","","-11.0","","77.9","","3.0","","80.9","","0","",,"",,""
"1989-11","1989","11","-0.8","E","-8.3","","-4.6","E","15.0","","-22.0","","21.4","","39.5","","60.9","","12","",,"",,""
"1989-12","1989","12","-13.2","","-20.9","","-17.1","","-2.0","","-30.5","","0.0","T","55.3","","55.3","","20","",,"",,""
"1990-01","1990","01","-2.9","","-12.0","E","-7.5","E","9.0","S","-27.0","","1.0","","88.2","","89.2","","43","",,"",,""
"1990-02","1990","02","-5.1","","-15.6","E","-10.4","E","9.5","S","-29.5","","2.4","","58.0","","60.4","","73","",,"",,""
"1990-03","1990","03","0.1","E","-12.1","E","-6.0","E","8.0","B","-28.5","","15.6","","16.5","","32.1","","","M",,"",,""
"1990-04","1990","04","9.2","E","-1.2","E","4.0","E","26.0","","-10.0","","24.0","","11.0","","35.0","","0","",,"",,""
"1990-05","1990","05","15.9","E","3.2","E","9.6","E","27.0","","-2.0","","","M","0.0","","","M","0","",,"",,""
"1990-06","1990","06","22.3","","9.9","E","16.1","E","30.5","","0.0","","79.8","","0.0","","79.8","","0","",,"",,""
"1990-07","1990","07","24.3","E","11.5","E","17.9","E","32.5","","5.0","","85.0","","0.0","","85.0","","0","",,"",,""
"1990-08","1990","08","24.8","","11.9","","18.4","","31.5","","3.5","","58.6","","0.0","","58.6","","0","",,"",,""
"1990-09","1990","09","16.7","","6.0","","11.4","","27.0","","1.0","S","116.3","","0.0","","116.3","","0","",,"",,""
"1990-10","1990","10","8.6","","1.6","E","5.1","E","16.0","","-9.0","","127.0","","1.0","","128.0","","0","",,"",,""
"1990-11","1990","11","1.0","","-5.4","E","-2.2","E","8.0","S","-15.0","","37.6","","48.8","","86.4","","0","",,"",,""
"1990-12","1990","12","-4.7","E","-15.2","E","-10.0","E","4.0","","-35.0","","0.8","","86.3","E","87.1","E","44","",,"",,""
"1991-01","1991","01","-12.0","E","-27.4","E","-19.7","E","-1.5","","-41.5","","0.0","","82.8","","82.8","","51","",,"",,""
"1991-02","1991","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-03","1991","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-04","1991","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-05","1991","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-06","1991","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-07","1991","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-08","1991","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-09","1991","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-10","1991","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-11","1991","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
