"Station Name","COCHRANE CATHCART"
"Province","ALBERTA"
"Latitude","51.20"
"Longitude","-114.37"
"Elevation","1310.60"
"Climate Identifier","3031FPF"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1990-01","1990","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-02","1990","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-03","1990","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-04","1990","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-05","1990","05","13.8","","2.0","","7.9","","25.0","","-4.0","","101.9","","9.0","","110.9","","0","",,"",,""
"1990-06","1990","06","18.2","E","6.0","E","12.1","E","26.5","S","2.5","E","57.7","","0.0","","57.7","","0","",,"",,""
"1990-07","1990","07","20.1","","8.5","","14.3","","28.5","","3.0","","104.6","","0.0","","104.6","","0","",,"",,""
"1990-08","1990","08","21.3","","8.4","E","14.9","E","30.5","","3.5","S","69.7","","0.0","","69.7","","0","",,"",,""
"1990-09","1990","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-10","1990","10","8.8","","-1.7","E","3.6","E","19.5","","-8.0","","7.8","","22.1","","29.9","","0","E",,"",,""
"1990-11","1990","11","1.2","E","-9.4","E","-4.1","E","12.0","S","-20.0","","0.0","","34.4","E","34.4","E","","M",,"",,""
"1990-12","1990","12","-5.7","","-16.9","","-11.3","","8.0","","-35.0","S","0.0","","10.0","","10.0","","","M",,"",,""
"1991-01","1991","01","-3.8","","-14.0","","-8.9","","9.0","","-32.0","","0.0","","12.0","","12.0","","","",,"",,""
"1991-02","1991","02","3.5","E","-3.9","E","-0.3","E","13.0","E","-15.0","","0.0","","26.0","","26.0","","","",,"",,""
"1991-03","1991","03","1.8","E","-9.6","E","-3.8","E","15.0","E","-26.5","E","1.5","","17.5","","19.0","","","",,"",,""
"1991-04","1991","04","11.7","E","-1.2","E","5.3","E","21.0","","-6.5","","4.0","","18.0","","22.0","","1","E",,"",,""
"1991-05","1991","05","14.0","","2.4","","8.2","","22.0","S","-5.0","","92.0","","0.0","","92.0","","0","",,"",,""
"1991-06","1991","06","17.0","","5.0","","11.0","","23.5","","0.0","","143.6","","0.0","","143.6","","0","",,"",,""
"1991-07","1991","07","21.8","E","7.8","E","14.8","E","27.5","","3.0","S","50.0","","0.0","","50.0","","0","",,"",,""
"1991-08","1991","08","22.9","E","9.9","E","16.4","E","30.0","B","6.0","E","66.6","","0.0","","66.6","","0","",,"",,""
"1991-09","1991","09","18.1","","3.6","","10.8","","26.0","S","-2.0","","14.2","","0.0","","14.2","","0","",,"",,""
"1991-10","1991","10","8.1","","-3.6","","2.3","","27.5","","-25.0","","1.0","","38.0","","39.0","","","M",,"",,""
"1991-11","1991","11","3.3","E","-7.0","","-1.7","E","11.0","E","-21.0","","0.0","","13.5","","13.5","","","",,"",,""
"1991-12","1991","12","3.3","","-5.8","","-1.3","","10.0","S","-16.0","S","0.0","","4.0","","4.0","","","",,"",,""
"1992-01","1992","01","4.1","","-6.3","E","-1.2","E","12.0","","-17.0","E","0.0","","3.0","","3.0","","","M",,"",,""
"1992-02","1992","02","4.4","","-6.6","","-1.1","","20.0","","-22.0","","0.0","","5.0","","5.0","","","M",,"",,""
"1992-03","1992","03","9.6","","-3.3","","3.2","","19.0","","-10.0","","0.0","","9.0","","9.0","","","M",,"",,""
"1992-04","1992","04","12.0","","-0.9","","5.5","","23.0","","-15.0","S","12.0","","28.0","","40.0","","0","",,"",,""
"1992-05","1992","05","14.3","","2.3","","8.3","","27.0","","-5.0","S","35.2","","14.5","","49.7","","0","",,"",,""
"1992-06","1992","06","18.9","","7.6","","13.3","","27.5","S","1.0","S","184.4","","0.0","","184.4","","0","",,"",,""
"1992-07","1992","07","18.0","E","7.0","E","12.3","I","24.0","E","3.5","E","51.9","","0.0","","51.9","","0","",,"",,""
"1992-08","1992","08","19.2","E","6.0","E","12.6","E","29.5","E","-2.5","B","32.3","","0.4","","32.7","","0","",,"",,""
"1992-09","1992","09","14.6","","2.8","","8.7","","27.5","S","-6.0","","35.6","","11.4","","47.0","","0","",,"",,""
"1992-10","1992","10","9.0","","-0.5","","4.2","","26.0","","-13.0","","12.6","","13.0","","25.6","","1","",,"",,""
"1992-11","1992","11","2.5","","-4.9","","-1.2","","9.5","","-14.5","","7.2","","40.4","","47.6","","","M",,"",,""
"1992-12","1992","12","-7.1","","-17.8","E","-12.5","E","6.0","","-38.0","","0.0","","24.8","","24.8","","","",,"",,""
"1993-01","1993","01","-5.0","","-14.9","","-10.0","","12.0","","-29.5","","0.0","","10.6","","10.6","","","",,"",,""
"1993-02","1993","02","-1.2","","-11.8","","-6.5","","14.0","","-24.0","","0.0","","22.8","","22.8","","","",,"",,""
"1993-03","1993","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-04","1993","04","10.4","","-1.6","","4.5","","17.5","","-7.0","","9.0","","0.0","T","9.0","","0","",,"",,""
"1993-05","1993","05","16.7","","4.1","","10.4","","29.0","","-2.5","","78.8","","0.0","","78.8","","0","",,"",,""
"1993-06","1993","06","16.9","","5.4","","11.1","","25.0","","0.5","","151.2","","0.0","","151.2","","0","",,"",,""
"1993-07","1993","07","16.8","E","6.2","","11.5","E","27.0","","2.5","S","122.6","E","0.0","","122.6","E","0","",,"",,""
"1993-08","1993","08","17.9","","6.7","","12.4","","25.5","","3.0","S","140.5","E","0.0","","140.5","E","0","",,"",,""
"1993-09","1993","09","15.2","E","3.0","E","9.1","E","25.0","S","-3.0","E","24.9","","1.5","E","26.4","E","0","",,"",,""
