"Station Name","CODERRE"
"Province","SASKATCHEWAN"
"Latitude","50.13"
"Longitude","-106.37"
"Elevation","684.90"
"Climate Identifier","4021600"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1946-01","1946","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1946-02","1946","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1946-03","1946","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1946-04","1946","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1946-05","1946","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1946-06","1946","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1946-07","1946","07","","","","","","","","","","","65.5","","0.0","","65.5","","","",,"",,""
"1946-08","1946","08","","","","","","","","","","","35.3","","0.0","","35.3","","","",,"",,""
"1946-09","1946","09","","","","","","","","","","","30.0","","0.0","","30.0","","","",,"",,""
"1946-10","1946","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1946-11","1946","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1946-12","1946","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1947-01","1947","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1947-02","1947","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1947-03","1947","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1947-04","1947","04","","","","","","","","","","","16.3","","0.0","","16.3","","","",,"",,""
"1947-05","1947","05","","","","","","","","","","","39.4","","0.0","","39.4","","","",,"",,""
"1947-06","1947","06","","","","","","","","","","","94.5","","0.0","","94.5","","","",,"",,""
"1947-07","1947","07","","","","","","","","","","","32.5","","0.0","","32.5","","","",,"",,""
"1947-08","1947","08","","","","","","","","","","","62.0","","0.0","","62.0","","","",,"",,""
"1947-09","1947","09","","","","","","","","","","","37.3","","0.0","","37.3","","","",,"",,""
"1947-10","1947","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1947-11","1947","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1947-12","1947","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-01","1948","01","","M","","M","","M","","M","","M","0.0","","19.1","","19.1","","46","",,"",,""
"1948-02","1948","02","","M","","M","","M","","M","","M","0.0","","25.4","","25.4","","71","",,"",,""
"1948-03","1948","03","","M","","M","","M","","M","","M","0.0","","8.4","","8.4","","79","",,"",,""
"1948-04","1948","04","7.2","","-4.7","","1.3","","20.6","","-17.8","","11.9","","14.0","","25.9","","","M",,"",,""
"1948-05","1948","05","20.4","","4.2","","12.3","","33.9","","-2.8","","4.3","","0.0","","4.3","","","M",,"",,""
"1948-06","1948","06","","M","","M","","M","","M","","M","27.9","","0.0","","27.9","","","M",,"",,""
"1948-07","1948","07","26.3","","11.0","","18.7","","37.2","","6.1","","61.5","","0.0","","61.5","","","M",,"",,""
"1948-08","1948","08","27.6","","9.6","","18.6","","37.2","","4.4","","22.4","","0.0","","22.4","","","M",,"",,""
"1948-09","1948","09","24.1","","5.2","","14.7","","35.0","","-5.6","","9.4","","0.0","","9.4","","","M",,"",,""
"1948-10","1948","10","","M","","M","","M","","M","","M","0.0","T","0.0","","0.0","T","","M",,"",,""
"1948-11","1948","11","2.1","","-8.4","","-3.2","","8.3","","-15.6","S","9.7","","0.0","","9.7","","","M",,"",,""
