"Station Name","COQUITLAM MUNDY PARK 3"
"Province","BRITISH COLUMBIA"
"Latitude","49.25"
"Longitude","-122.84"
"Elevation","144.40"
"Climate Identifier","1101QRJ"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1992-01","1992","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1992-02","1992","02","","","","","","","","","","","139.9","","5.5","","145.4","","0","",,"",,""
"1992-03","1992","03","","","","","","","","","","","34.2","","0.0","","34.2","","0","",,"",,""
"1992-04","1992","04","","","","","","","","","","","190.0","","0.0","","190.0","","0","",,"",,""
"1992-05","1992","05","","","","","","","","","","","36.0","","0.0","","36.0","","0","",,"",,""
"1992-06","1992","06","","","","","","","","","","","109.0","E","0.0","","109.0","E","0","",,"",,""
"1992-07","1992","07","","","","","","","","","","","64.2","","0.0","","64.2","","0","",,"",,""
"1992-08","1992","08","","","","","","","","","","","40.2","","0.0","","40.2","","0","",,"",,""
"1992-09","1992","09","","","","","","","","","","","131.8","","0.0","","131.8","","0","",,"",,""
"1992-10","1992","10","","","","","","","","","","","148.2","E","0.0","","148.2","E","0","",,"",,""
"1992-11","1992","11","","","","","","","","","","","305.2","","1.0","","306.2","","0","",,"",,""
"1992-12","1992","12","","","","","","","","","","","108.0","E","62.2","E","170.2","E","","M",,"",,""
"1993-01","1993","01","","","","","","","","","","","182.0","","47.8","","229.8","","0","",,"",,""
"1993-02","1993","02","","","","","","","","","","","7.4","","8.2","","15.6","","0","",,"",,""
"1993-03","1993","03","","","","","","","","","","","198.4","","0.0","","198.4","","0","",,"",,""
"1993-04","1993","04","","","","","","","","","","","189.6","","0.0","","189.6","","0","",,"",,""
"1993-05","1993","05","","","","","","","","","","","142.2","","0.0","","142.2","","0","",,"",,""
"1993-06","1993","06","","","","","","","","","","","110.7","E","0.0","","110.7","E","0","",,"",,""
"1993-07","1993","07","","","","","","","","","","","62.6","","0.0","","62.6","","0","",,"",,""
"1993-08","1993","08","","","","","","","","","","","21.2","","0.0","","21.2","","0","",,"",,""
"1993-09","1993","09","","","","","","","","","","","6.2","E","0.0","","6.2","E","0","",,"",,""
"1993-10","1993","10","","","","","","","","","","","100.4","","0.0","","100.4","","0","",,"",,""
"1993-11","1993","11","","","","","","","","","","","154.2","E","4.0","","158.2","E","0","",,"",,""
"1993-12","1993","12","","","","","","","","","","","246.0","","0.0","","246.0","","0","",,"",,""
"1994-01","1994","01","","","","","","","","","","","216.3","E","0.0","","216.3","E","0","",,"",,""
