"Station Name","COURVILLE"
"Province","QUEBEC"
"Latitude","46.87"
"Longitude","-71.17"
"Elevation","76.20"
"Climate Identifier","7011950"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1963-01","1963","01","-8.3","","-13.3","","-10.8","","3.3","","-26.1","","0.0","","44.7","","44.7","","81","",,"",,""
"1963-02","1963","02","-10.7","","-17.4","","-14.1","","-6.1","S","-30.6","","0.0","","","M","","M","104","",,"",,""
"1963-03","1963","03","-1.9","","-9.4","","-5.7","","7.2","S","-18.3","","0.0","","56.1","","56.1","","46","",,"",,""
"1963-04","1963","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-05","1963","05","15.8","","4.1","","10.0","","26.1","","-1.7","S","88.4","","0.0","","88.4","","0","",,"",,""
"1963-06","1963","06","22.4","","11.8","","17.1","","31.7","S","5.0","","33.0","","0.0","","33.0","","0","",,"",,""
"1963-07","1963","07","25.0","","14.6","","19.8","","33.9","","9.4","S","","M","0.0","","","M","0","",,"",,""
"1963-08","1963","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-09","1963","09","","M","","M","","M","","M","","M","94.0","","0.0","","94.0","","0","",,"",,""
"1963-10","1963","10","14.6","","5.1","","9.9","","21.7","","-1.7","S","38.1","","1.5","","39.6","","0","",,"",,""
"1963-11","1963","11","6.2","","-0.1","","3.1","","17.2","","-9.4","","197.4","","8.9","","206.2","","0","",,"",,""
"1963-12","1963","12","-7.1","","-15.4","","-11.3","","6.1","","-26.1","","0.0","","48.3","","48.3","","","M",,"",,""
"1964-01","1964","01","-3.8","","-12.5","","-8.2","","2.8","","-25.0","S","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","-3.1","","-14.1","","-8.6","","2.8","","-26.7","","0.0","","44.7","","44.7","","","M",,"",,""
"1964-03","1964","03","1.2","","-7.3","","-3.1","","7.2","S","","M","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","9.3","","-1.2","","4.1","","18.3","S","-12.8","","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-06","1964","06","21.6","","9.9","","15.8","","29.4","S","5.0","S","96.3","","0.0","","96.3","","0","",,"",,""
"1964-07","1964","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-08","1964","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-09","1964","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-10","1964","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-11","1964","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-12","1964","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
