"Station Name","CRANBROOK MAYOOK"
"Province","BRITISH COLUMBIA"
"Latitude","49.45"
"Longitude","-115.52"
"Elevation","854.00"
"Climate Identifier","1152103"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1974-01","1974","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-02","1974","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-03","1974","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-04","1974","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-05","1974","05","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1974-06","1974","06","24.7","","6.4","","15.6","","31.7","","-0.6","S","33.0","","0.0","","33.0","","0","",,"",,""
"1974-07","1974","07","25.3","","7.1","","16.2","","32.8","","1.7","","44.7","","0.0","","44.7","","0","",,"",,""
"1974-08","1974","08","","M","6.7","","","M","34.4","","1.1","","46.5","","0.0","","46.5","","0","",,"",,""
"1974-09","1974","09","","M","1.3","","","M","","M","-6.1","","15.7","","0.0","","15.7","","0","",,"",,""
"1974-10","1974","10","","M","-2.6","","","M","23.9","","-7.8","S","3.0","","7.6","","10.7","","0","",,"",,""
"1974-11","1974","11","3.6","E","-3.6","","0.0","E","","M","-12.2","","24.9","","12.7","","37.6","","","M",,"",,""
"1974-12","1974","12","2.0","","-6.6","","-2.3","","8.9","","-22.2","","8.9","","21.6","","30.5","","","M",,"",,""
"1975-01","1975","01","-3.6","","-15.3","","-9.5","","6.7","","-31.7","","0.0","T","56.9","","56.9","","","M",,"",,""
"1975-02","1975","02","-1.6","","-16.2","","-8.9","","7.8","","-32.2","S","0.0","T","79.0","","79.0","","","M",,"",,""
"1975-03","1975","03","4.0","","-7.1","","-1.6","","10.6","","-17.2","","8.1","","16.3","","24.4","","","M",,"",,""
"1975-04","1975","04","10.4","","-3.5","","3.5","","20.0","","-16.1","","13.2","","0.8","","14.0","","","M",,"",,""
"1975-05","1975","05","17.8","","1.8","","9.8","","26.1","","-2.8","","27.7","","0.0","T","27.7","","0","",,"",,""
"1975-06","1975","06","20.5","","4.8","","12.7","","26.7","S","-1.7","","35.3","","0.0","","35.3","","0","",,"",,""
"1975-07","1975","07","29.8","","9.7","","19.8","","36.7","","4.4","","58.7","","0.0","","58.7","","0","",,"",,""
"1975-08","1975","08","22.6","","6.0","","14.3","","30.6","","1.7","","64.0","","0.0","","64.0","","0","",,"",,""
"1975-09","1975","09","21.2","","2.1","","11.7","","28.9","","-2.8","","21.3","","0.0","","21.3","","0","",,"",,""
"1975-10","1975","10","10.2","","-0.3","","5.0","","21.1","","-7.2","","36.3","","1.3","","37.6","","0","",,"",,""
"1975-11","1975","11","3.9","","-6.8","","-1.5","","17.8","","-26.1","","21.6","","14.0","","35.6","","","M",,"",,""
"1975-12","1975","12","-0.3","","-7.5","","-3.9","","10.0","","-20.6","","36.1","","31.8","","67.8","","","M",,"",,""
"1976-01","1976","01","-0.3","","-11.6","","-6.0","","8.3","","-20.6","","0.0","","33.0","","33.0","","","M",,"",,""
"1976-02","1976","02","2.8","","-8.5","","-2.9","","9.4","","-23.9","","0.3","","59.7","","59.9","","","M",,"",,""
"1976-03","1976","03","4.0","","-8.4","","-2.2","","12.8","","-30.0","","9.7","","9.7","","19.3","","0","",,"",,""
"1976-04","1976","04","13.6","","-1.4","","6.1","","22.2","","-6.1","","11.2","","0.0","T","11.2","","0","",,"",,""
"1976-05","1976","05","19.5","","2.4","","11.0","","26.1","","-2.8","S","40.1","","0.0","","40.1","","0","",,"",,""
"1976-06","1976","06","19.2","","4.4","","11.8","","31.7","","-2.2","","52.3","","0.0","","52.3","","0","",,"",,""
"1976-07","1976","07","26.1","","8.1","","17.1","","33.3","","1.1","","32.8","","0.0","","32.8","","0","",,"",,""
"1976-08","1976","08","22.9","","8.3","","15.6","","29.4","S","1.7","","63.5","","0.0","","63.5","","0","",,"",,""
"1976-09","1976","09","23.5","","3.1","","13.3","","31.1","","-3.9","","20.3","","0.0","","20.3","","0","",,"",,""
"1976-10","1976","10","13.2","","-3.0","","5.1","","25.0","","-9.4","","15.5","","0.0","","15.5","","0","",,"",,""
"1976-11","1976","11","2.2","","-6.1","","-2.0","","12.2","S","-19.4","","5.3","","6.1","","11.4","","","M",,"",,""
"1976-12","1976","12","1.2","","-8.2","","-3.5","","10.0","","-15.6","S","3.0","","13.0","","16.0","","","M",,"",,""
