"Station Name","CREWSONS CORNERS"
"Province","ONTARIO"
"Latitude","43.62"
"Longitude","-80.10"
"Elevation","358.10"
"Climate Identifier","6151915"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1957-01","1957","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-02","1957","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-03","1957","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-04","1957","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-05","1957","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-06","1957","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-07","1957","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-08","1957","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-09","1957","09","","","","","","","","","","","97.0","","0.0","","97.0","","0","",,"",,""
"1957-10","1957","10","","","","","","","","","","","65.5","","0.0","","65.5","","","M",,"",,""
"1957-11","1957","11","","","","","","","","","","","66.0","","6.6","","72.6","","0","T",,"",,""
"1957-12","1957","12","","","","","","","","","","","59.7","","25.9","","85.6","","3","",,"",,""
"1958-01","1958","01","","","","","","","","","","","0.0","","28.4","","28.4","","20","",,"",,""
"1958-02","1958","02","","","","","","","","","","","0.5","","19.6","","20.1","","25","",,"",,""
"1958-03","1958","03","","","","","","","","","","","0.0","","17.3","","17.3","","","M",,"",,""
"1958-04","1958","04","","","","","","","","","","","46.5","","5.1","","51.6","","","M",,"",,""
"1958-05","1958","05","","","","","","","","","","","40.4","","0.0","T","40.4","","","M",,"",,""
"1958-06","1958","06","","","","","","","","","","","73.7","","0.0","","73.7","","","M",,"",,""
"1958-07","1958","07","","","","","","","","","","","87.6","","0.0","","87.6","","","M",,"",,""
"1958-08","1958","08","","","","","","","","","","","100.6","","0.0","","100.6","","","M",,"",,""
"1958-09","1958","09","","","","","","","","","","","131.6","","0.0","","131.6","","","M",,"",,""
"1958-10","1958","10","","","","","","","","","","","26.2","","0.0","","26.2","","","M",,"",,""
"1958-11","1958","11","","","","","","","","","","","64.3","","24.1","","88.4","","10","",,"",,""
"1958-12","1958","12","","","","","","","","","","","1.5","","19.3","","20.8","","13","",,"",,""
"1959-01","1959","01","","","","","","","","","","","36.8","","33.3","","70.1","","25","",,"",,""
"1959-02","1959","02","","","","","","","","","","","24.4","","56.6","","81.0","","51","",,"",,""
"1959-03","1959","03","","","","","","","","","","","29.7","","24.1","","53.8","","20","",,"",,""
"1959-04","1959","04","","","","","","","","","","","80.0","","5.1","","85.1","","","M",,"",,""
"1959-05","1959","05","","","","","","","","","","","58.2","","0.3","","58.4","","","M",,"",,""
"1959-06","1959","06","","","","","","","","","","","18.8","","0.0","","18.8","","","M",,"",,""
"1959-07","1959","07","","","","","","","","","","","90.7","","0.0","","90.7","","","M",,"",,""
