"Station Name","CUMSHEWA ISLAND"
"Province","BRITISH COLUMBIA"
"Latitude","53.03"
"Longitude","-131.60"
"Elevation","12.60"
"Climate Identifier","1062251"
"WMO Identifier","71771"
"TC Identifier","WZL"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1993-06","1993","06","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1993-07","1993","07","16.3","E","12.8","E","14.6","E","19.3","E","11.3","E","","","","","58.0","E","","",,"",,""
"1993-08","1993","08","17.8","","14.1","E","16.0","E","23.2","","11.4","E","","","","","","","","",,"",,""
"1993-09","1993","09","17.0","","12.7","E","14.8","E","19.9","","9.4","E","","","","","","","","",,"",,""
"1993-10","1993","10","13.5","","9.9","E","11.7","E","16.3","","5.0","E","","","","","","","","",,"",,""
"1993-11","1993","11","10.1","","6.1","","8.1","","16.2","","-1.7","","","","","","","","","",,"",,""
"1993-12","1993","12","9.0","","5.6","E","7.3","E","14.2","","0.0","","","","","","","","","",,"",,""
"1994-01","1994","01","9.0","I","5.7","I","7.3","I","12.0","I","3.6","I","","","","","","","","",,"",,""
"1994-02","1994","02","5.0","","1.6","","3.3","","10.5","","-4.4","","","","","","","","","",,"",,""
"1994-03","1994","03","8.5","E","4.4","E","6.3","E","12.8","E","0.0","E","","","","","","","","",,"",,""
"1994-04","1994","04","9.4","","6.4","","8.0","","11.7","","2.8","","","","","","","","","",,"",,""
"1994-05","1994","05","","M","","M","","M","","M","","M","","","","","","","","",,"",,""
"1994-06","1994","06","","M","","M","","M","","M","","M","","","","","","","","",,"",,""
"1994-07","1994","07","","M","","M","","M","","M","","M","","","","","","","","",,"",,""
"1994-08","1994","08","","M","","M","","M","","M","","M","","","","","","","","",,"",,""
"1994-09","1994","09","","M","","M","","M","","M","","M","","","","","","","","",,"",,""
"1994-10","1994","10","","M","","M","","M","","M","","M","","","","","","","","",,"",,""
"1994-11","1994","11","","M","","M","","M","","M","","M","","","","","","","","",,"",,""
"1994-12","1994","12","","M","","M","","M","","M","","M","","","","","","","","",,"",,""
"1995-01","1995","01","","","","","","","","","","","","","","","","","","",,"",,""
"1995-02","1995","02","","","","","","","","","","","","","","","","","","",,"",,""
