"Station Name","DACRE"
"Province","ONTARIO"
"Latitude","45.38"
"Longitude","-76.92"
"Elevation","221.00"
"Climate Identifier","6101943"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1926-01","1926","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1926-02","1926","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1926-03","1926","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1926-04","1926","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1926-05","1926","05","","M","","M","","M","","M","","M","26.7","","0.0","","26.7","","","",,"",,""
"1926-06","1926","06","24.1","","","M","","M","29.4","S","","M","93.0","","0.0","","93.0","","","",,"",,""
"1926-07","1926","07","25.2","","","M","","M","31.1","","","M","80.0","","0.0","","80.0","","","",,"",,""
"1926-08","1926","08","23.8","","8.2","","16.0","","30.6","","-1.7","","39.4","","0.0","","39.4","","","",,"",,""
"1926-09","1926","09","18.8","","2.7","","10.8","","27.2","","-5.6","","45.7","","0.0","","45.7","","","",,"",,""
"1926-10","1926","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1926-11","1926","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1926-12","1926","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-01","1927","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-02","1927","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-03","1927","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-04","1927","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-05","1927","05","16.3","","2.7","","9.5","","28.9","","-6.7","","111.8","","0.0","","111.8","","","",,"",,""
"1927-06","1927","06","21.1","","5.2","","13.2","","30.6","","-3.3","","118.1","","0.0","","118.1","","","",,"",,""
"1927-07","1927","07","25.2","","10.1","","17.7","","32.8","","0.0","","126.5","","0.0","","126.5","","","",,"",,""
"1927-08","1927","08","22.9","","7.8","","15.4","","27.2","S","-2.2","","76.5","","0.0","","76.5","","","",,"",,""
"1927-09","1927","09","21.1","","5.8","","13.5","","27.2","","-2.2","","39.4","","0.0","","39.4","","","",,"",,""
"1927-10","1927","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-11","1927","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-12","1927","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-01","1928","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-02","1928","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-03","1928","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-04","1928","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-05","1928","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-06","1928","06","21.9","","6.8","","14.4","","27.8","S","-2.2","","39.4","","0.0","","39.4","","","",,"",,""
"1928-07","1928","07","25.7","","11.6","","18.7","","31.7","","3.3","","118.1","","0.0","","118.1","","","",,"",,""
"1928-08","1928","08","26.4","","10.5","","18.5","","31.7","","2.2","","66.0","","0.0","","66.0","","","",,"",,""
