"Station Name","DAFOE"
"Province","SASKATCHEWAN"
"Latitude","51.65"
"Longitude","-104.47"
"Elevation","563.90"
"Climate Identifier","4012039"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1965-01","1965","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-02","1965","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-03","1965","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-04","1965","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-05","1965","05","","","","","","","","","","","114.8","","12.7","","127.5","","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","142.2","","0.0","","142.2","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","62.0","","0.0","","62.0","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","22.1","","0.0","","22.1","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","64.8","","26.7","","91.4","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","2.5","","0.0","","2.5","","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","0.0","","24.9","","24.9","","","M",,"",,""
"1965-12","1965","12","","","","","","","","","","","0.0","","26.4","","26.4","","","M",,"",,""
"1966-01","1966","01","","","","","","","","","","","0.0","","12.2","","12.2","","","M",,"",,""
"1966-02","1966","02","","","","","","","","","","","0.0","","11.4","E","11.4","E","","M",,"",,""
"1966-03","1966","03","","","","","","","","","","","16.8","","2.5","","19.3","","0","",,"",,""
"1966-04","1966","04","","","","","","","","","","","2.8","","29.2","","32.0","","","M",,"",,""
"1966-05","1966","05","","","","","","","","","","","19.1","","0.0","","19.1","","0","",,"",,""
"1966-06","1966","06","","","","","","","","","","","104.4","","0.0","","104.4","","0","",,"",,""
"1966-07","1966","07","","","","","","","","","","","32.8","","0.0","","32.8","","0","",,"",,""
"1966-08","1966","08","","","","","","","","","","","71.9","","0.0","","71.9","","0","",,"",,""
"1966-09","1966","09","","","","","","","","","","","8.1","","0.0","","8.1","","0","",,"",,""
"1966-10","1966","10","","","","","","","","","","","10.9","","2.5","","13.5","","","M",,"",,""
"1966-11","1966","11","","","","","","","","","","","0.0","","24.1","","24.1","","","M",,"",,""
"1966-12","1966","12","","","","","","","","","","","0.0","","17.8","","17.8","","","M",,"",,""
"1967-01","1967","01","","","","","","","","","","","0.0","","52.1","","52.1","","","M",,"",,""
"1967-02","1967","02","","","","","","","","","","","0.0","","5.1","","5.1","","","M",,"",,""
"1967-03","1967","03","","","","","","","","","","","2.5","","47.0","","49.5","","","M",,"",,""
"1967-04","1967","04","","","","","","","","","","","0.0","","2.5","","2.5","","0","",,"",,""
"1967-05","1967","05","","","","","","","","","","","7.6","","5.1","","12.7","","0","",,"",,""
"1967-06","1967","06","","","","","","","","","","","38.6","","0.0","","38.6","","0","",,"",,""
"1967-07","1967","07","","","","","","","","","","","15.7","","0.0","","15.7","","0","",,"",,""
"1967-08","1967","08","","","","","","","","","","","11.9","","0.0","","11.9","","0","",,"",,""
"1967-09","1967","09","","","","","","","","","","","51.8","","0.0","","51.8","","0","",,"",,""
"1967-10","1967","10","","","","","","","","","","","24.4","","10.2","","34.5","","","M",,"",,""
"1967-11","1967","11","","","","","","","","","","","9.9","","14.0","","23.9","","8","",,"",,""
"1967-12","1967","12","","","","","","","","","","","5.1","","26.7","","31.8","","","M",,"",,""
"1968-01","1968","01","","","","","","","","","","","0.0","T","17.8","","17.8","","","M",,"",,""
"1968-02","1968","02","","","","","","","","","","","0.0","","3.8","","3.8","","","M",,"",,""
"1968-03","1968","03","","","","","","","","","","","6.4","","14.0","","20.3","","10","",,"",,""
"1968-04","1968","04","","","","","","","","","","","0.0","T","2.5","","2.5","","0","",,"",,""
"1968-05","1968","05","","","","","","","","","","","25.1","","0.0","","25.1","","0","",,"",,""
"1968-06","1968","06","","","","","","","","","","","28.4","","0.0","","28.4","","0","",,"",,""
"1968-07","1968","07","","","","","","","","","","","81.0","","0.0","","81.0","","0","",,"",,""
"1968-08","1968","08","","","","","","","","","","","77.5","","0.0","","77.5","","0","",,"",,""
"1968-09","1968","09","","","","","","","","","","","34.3","","0.0","","34.3","","0","",,"",,""
"1968-10","1968","10","","","","","","","","","","","35.3","","0.0","T","35.3","","0","",,"",,""
"1968-11","1968","11","","","","","","","","","","","0.0","","5.1","","5.1","","0","",,"",,""
"1968-12","1968","12","","","","","","","","","","","0.0","","19.1","","19.1","","","M",,"",,""
"1969-01","1969","01","","","","","","","","","","","0.0","","30.5","","30.5","","","M",,"",,""
"1969-02","1969","02","","","","","","","","","","","0.0","","10.2","","10.2","","","M",,"",,""
"1969-03","1969","03","","","","","","","","","","","0.0","","19.1","E","19.1","E","","M",,"",,""
"1969-04","1969","04","","","","","","","","","","","1.5","","0.0","","1.5","","0","",,"",,""
"1969-05","1969","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-06","1969","06","","","","","","","","","","","30.0","","0.0","","30.0","","0","",,"",,""
"1969-07","1969","07","","","","","","","","","","","83.3","","0.0","","83.3","","0","",,"",,""
"1969-08","1969","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-09","1969","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-10","1969","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-11","1969","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-12","1969","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
