"Station Name","DAVELUYVILLE"
"Province","QUEBEC"
"Latitude","46.18"
"Longitude","-72.20"
"Elevation","83.80"
"Climate Identifier","702A9ND"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1966-01","1966","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-02","1966","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-03","1966","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-04","1966","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-05","1966","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-06","1966","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-07","1966","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-08","1966","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-09","1966","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-10","1966","10","12.8","","2.9","","7.9","","20.6","","-9.4","","50.0","","0.0","T","50.0","","0","",,"",,""
"1966-11","1966","11","6.9","","-0.6","","3.2","","19.4","","-12.2","","114.6","","6.1","","120.7","","0","",,"",,""
"1966-12","1966","12","-2.8","","-10.4","","-6.6","","15.0","","-20.0","","42.4","","82.0","","124.5","","36","",,"",,""
"1967-01","1967","01","-3.5","","-12.7","","-8.1","","5.0","","-31.7","","2.5","","71.6","","74.2","","46","",,"",,""
"1967-02","1967","02","-8.5","","-21.9","","-15.2","","1.7","S","-41.1","","0.0","T","59.9","","59.9","","61","",,"",,""
"1967-03","1967","03","-0.8","","-12.9","","-6.9","","10.6","","-28.9","S","0.0","T","2.8","","2.8","","13","",,"",,""
"1967-04","1967","04","8.0","","-2.3","","2.9","","15.6","","-11.1","","59.4","","3.0","","62.5","","0","",,"",,""
"1967-05","1967","05","13.7","","2.4","","8.1","","25.6","","-3.9","","72.6","","0.0","","72.6","","0","",,"",,""
"1967-06","1967","06","24.1","","11.5","","17.8","","30.6","S","2.8","","94.7","","0.0","","94.7","","0","",,"",,""
"1967-07","1967","07","25.9","","14.2","","20.1","","30.0","","8.3","","100.3","","0.0","","100.3","","0","",,"",,""
"1967-08","1967","08","23.7","","13.1","","18.4","","27.8","S","4.4","","103.4","","0.0","","103.4","","0","",,"",,""
"1967-09","1967","09","20.2","","6.4","","13.3","","26.7","","-1.7","","57.4","","0.0","","57.4","","0","",,"",,""
"1967-10","1967","10","12.8","","2.5","","7.7","","23.3","S","-5.6","S","123.4","","0.0","","123.4","","0","",,"",,""
