"Station Name","DEBOLT GOODWIN"
"Province","ALBERTA"
"Latitude","55.26"
"Longitude","-118.18"
"Elevation","639.30"
"Climate Identifier","3072001"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2001-09","2001","09","18.5","E","4.2","","11.4","E","29.5","","-1.5","","12.6","E","0.0","","12.6","E","0","",,"",,""
"2001-10","2001","10","9.7","E","-1.7","E","4.0","E","18.0","","-7.5","","10.6","","7.4","","18.0","","0","",,"",,""
"2001-11","2001","11","0.6","E","-7.5","","-3.5","E","12.5","","-26.5","","7.4","","20.0","","27.4","","20","",,"",,""
"2001-12","2001","12","-9.5","","-18.6","","-14.1","","4.5","","-30.0","","0.0","","17.0","","17.0","","33","",,"",,""
"2002-01","2002","01","-8.1","","-18.1","","-13.1","","7.5","","-40.5","","0.0","T","29.0","","29.0","","45","",,"",,""
"2002-02","2002","02","-1.4","","-10.9","","-6.2","","7.5","","-27.5","","0.0","","12.5","","12.5","","40","",,"",,""
"2002-03","2002","03","-6.4","","-19.1","","-12.8","","7.5","S","-36.0","","0.0","T","41.0","","41.0","","57","",,"",,""
"2002-04","2002","04","4.2","E","-5.9","E","-0.9","E","15.0","","-26.0","","9.5","","30.0","","39.5","","0","",,"",,""
"2002-05","2002","05","14.4","E","2.0","E","8.2","E","24.5","","-10.0","","33.6","E","16.0","","49.6","E","0","",,"",,""
"2002-06","2002","06","22.3","I","7.4","I","14.8","I","30.5","I","4.0","I","22.0","I","0.0","","22.0","I","","M",,"",,""
"2002-07","2002","07","22.4","E","10.1","E","16.3","E","30.0","","2.5","","96.4","E","0.0","","96.4","E","0","",,"",,""
"2002-08","2002","08","21.9","E","8.2","E","15.1","E","31.5","","2.5","","24.1","","0.0","","24.1","","0","",,"",,""
"2002-09","2002","09","14.2","","3.4","E","8.9","E","23.0","","-3.0","","90.7","","0.0","","90.7","","0","",,"",,""
"2002-10","2002","10","7.1","E","-2.4","","2.4","E","16.0","S","-14.5","","23.5","","3.0","","26.5","","2","E",,"",,""
"2002-11","2002","11","3.1","","-5.3","","-1.1","","12.5","","-14.0","","4.2","E","6.6","","10.8","E","0","",,"",,""
"2002-12","2002","12","-1.9","","-10.1","","-6.0","","8.5","","-20.0","","0.0","T","0.0","","0.0","T","0","",,"",,""
"2003-01","2003","01","-7.1","","-16.0","","-11.6","","14.5","","-36.0","","0.0","T","80.0","","80.0","","50","",,"",,""
"2003-02","2003","02","-5.8","","-14.5","","-10.2","","4.0","S","-29.5","","0.0","","24.0","","24.0","","56","",,"",,""
"2003-03","2003","03","-2.4","E","-15.0","E","-8.7","E","9.5","S","-41.0","","2.5","","21.0","","23.5","","29","",,"",,""
"2003-04","2003","04","8.2","","-2.3","","2.9","","19.0","S","-11.5","","11.8","E","18.8","E","30.6","E","0","",,"",,""
"2003-05","2003","05","15.7","E","3.1","E","9.4","E","28.0","","-5.5","","20.5","E","14.0","","34.5","E","0","",,"",,""
"2003-06","2003","06","20.4","E","8.1","E","14.3","E","28.0","","3.0","","62.0","","0.0","","62.0","","0","",,"",,""
"2003-07","2003","07","22.2","I","10.0","I","16.6","I","31.0","I","7.0","I","42.8","I","0.0","I","42.8","I","0","",,"",,""
"2003-08","2003","08","21.9","I","8.3","I","15.1","I","32.0","I","2.0","I","31.2","I","0.0","I","31.2","I","0","",,"",,""
"2003-09","2003","09","16.9","","3.8","E","10.4","E","29.5","","-3.5","S","21.0","","1.0","","22.0","","0","",,"",,""
"2003-10","2003","10","11.5","","0.5","E","6.0","E","27.5","","-17.5","","32.0","","5.0","","37.0","","5","",,"",,""
"2003-11","2003","11","-2.7","","-11.9","","-7.3","","8.5","","-28.0","","0.0","","17.0","","17.0","","14","",,"",,""
"2003-12","2003","12","-5.0","","-13.9","","-9.5","","4.5","","-25.0","","0.0","T","2.5","E","2.5","E","2","",,"",,""
"2004-01","2004","01","-13.4","","-21.5","","-17.5","","3.0","","-45.0","","0.0","T","28.5","E","28.5","E","24","",,"",,""
