"Station Name","DELORAINE 6 SE"
"Province","MANITOBA"
"Latitude","49.15"
"Longitude","-100.37"
"Elevation","548.60"
"Climate Identifier","5010762"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1976-01","1976","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-02","1976","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-03","1976","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-04","1976","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-05","1976","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-06","1976","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-07","1976","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-08","1976","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-09","1976","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-10","1976","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-11","1976","11","0.7","","-12.3","","-5.8","","15.0","","-26.1","","0.0","","2.5","","2.5","","3","",,"",,""
"1976-12","1976","12","-7.0","","-20.3","","-13.7","","5.6","","-33.9","S","0.0","","31.8","","31.8","","15","",,"",,""
"1977-01","1977","01","-14.9","","-25.3","","-20.1","","0.0","","-36.7","","0.0","","9.3","","9.3","","22","",,"",,""
"1977-02","1977","02","-2.3","","-13.6","","-8.0","","5.6","","-27.2","","0.0","","14.8","","14.8","","12","",,"",,""
"1977-03","1977","03","4.2","","-7.8","","-1.8","","17.2","","-18.9","","0.0","","5.6","","5.6","","0","",,"",,""
"1977-04","1977","04","16.7","","0.1","","8.4","","28.9","","-11.7","","3.8","","0.0","T","3.8","","0","",,"",,""
"1977-05","1977","05","24.6","","9.5","","17.1","","32.8","","-3.3","","83.0","","0.0","","83.0","","0","",,"",,""
"1977-06","1977","06","22.8","","9.9","","16.4","","33.9","","6.1","S","57.0","","0.0","","57.0","","0","",,"",,""
"1977-07","1977","07","26.6","","12.2","","19.4","","36.7","","6.7","","86.3","","0.0","","86.3","","0","",,"",,""
"1977-08","1977","08","21.8","","7.5","","14.7","","27.8","S","2.2","","24.9","","0.0","","24.9","","0","",,"",,""
"1977-09","1977","09","17.1","","7.2","","12.2","","26.7","","0.0","","81.9","","0.0","","81.9","","0","",,"",,""
"1977-10","1977","10","13.6","","0.8","","7.2","","23.9","","-5.0","","6.4","","0.0","","6.4","","0","",,"",,""
"1977-11","1977","11","","M","","M","","M","","M","","M","0.3","","","M","","M","","M",,"",,""
"1977-12","1977","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
