"Station Name","DELTA LADNER EAST"
"Province","BRITISH COLUMBIA"
"Latitude","49.08"
"Longitude","-123.07"
"Elevation","1.50"
"Climate Identifier","1102416"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1971-01","1971","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-02","1971","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-03","1971","03","8.3","E","0.3","E","4.3","E","","M","","M","","M","","M","129.5","E","0","",,"",,""
"1971-04","1971","04","12.9","","3.8","","8.4","","21.1","","0.0","S","36.3","","0.0","","36.3","","0","",,"",,""
"1971-05","1971","05","16.7","","6.8","","11.8","","24.4","","1.7","","36.6","","0.0","","36.6","","0","",,"",,""
"1971-06","1971","06","17.0","","10.0","","13.5","","22.2","","7.2","","74.2","","0.0","","74.2","","0","",,"",,""
"1971-07","1971","07","23.2","","11.8","","17.5","","31.1","","6.7","","26.4","","0.0","","26.4","","0","",,"",,""
"1971-08","1971","08","23.6","","12.1","","17.9","","30.0","S","7.8","S","18.3","","0.0","","18.3","","0","",,"",,""
"1971-09","1971","09","17.7","","8.3","","13.0","","23.3","","1.1","","87.4","","0.0","","87.4","","0","",,"",,""
"1971-10","1971","10","12.6","","5.3","","9.0","","18.9","S","-4.4","","114.0","","0.0","","114.0","","0","",,"",,""
"1971-11","1971","11","8.9","","4.2","","6.6","","14.4","","-1.7","","169.4","","0.0","","169.4","","0","",,"",,""
"1971-12","1971","12","2.9","","-2.7","","0.1","","7.8","","-13.3","","141.7","","70.1","","211.8","","10","",,"",,""
"1972-01","1972","01","3.2","","-2.3","","0.5","","10.6","","-10.6","","58.9","","27.9","","86.9","","3","",,"",,""
"1972-02","1972","02","7.4","","-0.2","","3.6","","13.9","","-10.6","","126.5","","2.3","","128.8","","0","",,"",,""
"1972-03","1972","03","10.2","","3.2","","6.7","","15.6","","-1.1","S","163.3","","0.8","","164.1","","0","",,"",,""
"1972-04","1972","04","10.9","","3.2","","7.1","","18.3","","-0.6","S","105.2","","0.0","","105.2","","0","",,"",,""
"1972-05","1972","05","18.1","","7.7","","12.9","","27.2","","3.3","S","34.0","","0.0","","34.0","","0","",,"",,""
"1972-06","1972","06","19.4","","9.9","","14.7","","24.4","S","4.4","","53.1","","0.0","","53.1","","0","",,"",,""
"1972-07","1972","07","22.3","","10.8","","16.6","","28.9","","7.2","","87.6","","0.0","","87.6","","0","",,"",,""
"1972-08","1972","08","23.6","","11.4","","17.5","","28.9","","7.8","","31.5","","0.0","","31.5","","0","",,"",,""
"1972-09","1972","09","17.3","","6.9","","12.1","","27.8","","-1.7","","87.1","","0.0","","87.1","","0","",,"",,""
"1972-10","1972","10","12.9","","2.8","","7.9","","18.3","","-2.2","","51.8","","0.0","","51.8","","","M",,"",,""
"1972-11","1972","11","9.5","","2.1","","5.8","","13.9","","-3.9","S","98.3","","0.0","","98.3","","0","",,"",,""
"1972-12","1972","12","4.1","","-1.8","","1.2","","11.1","","-15.0","","253.0","","29.5","","282.4","","","M",,"",,""
"1973-01","1973","01","4.6","","-1.0","","1.8","","10.6","","-11.1","","112.8","","6.1","","118.9","","0","",,"",,""
"1973-02","1973","02","8.1","","0.7","","4.4","","13.9","","-3.9","","65.0","","0.0","","65.0","","","M",,"",,""
"1973-03","1973","03","9.7","","2.5","","6.1","","12.8","","-1.7","","56.4","","0.0","","56.4","","","M",,"",,""
"1973-04","1973","04","14.1","","2.7","","8.4","","18.3","","-1.1","","15.7","","0.0","","15.7","","","M",,"",,""
"1973-05","1973","05","17.9","","6.3","","12.1","","28.3","","1.1","","40.1","","0.0","","40.1","","0","",,"",,""
"1973-06","1973","06","18.8","","9.0","","13.9","","23.9","S","4.4","","50.3","","0.0","","50.3","","0","",,"",,""
"1973-07","1973","07","22.2","","10.9","","16.6","","29.4","","6.1","S","10.4","","0.0","","10.4","","0","",,"",,""
"1973-08","1973","08","21.2","","9.7","","15.5","","26.7","S","2.2","","18.5","","0.0","","18.5","","0","",,"",,""
"1973-09","1973","09","20.0","","9.5","","14.8","","30.6","","3.3","","34.3","","0.0","","34.3","","0","",,"",,""
"1973-10","1973","10","13.1","","5.5","","9.3","","15.6","S","0.0","S","120.9","","0.0","","120.9","","0","",,"",,""
"1973-11","1973","11","7.7","E","0.8","E","4.3","E","","M","-4.4","","163.8","E","12.4","","176.3","E","0","",,"",,""
"1973-12","1973","12","7.4","","2.4","","4.9","","11.7","","-3.3","","201.2","","2.5","","203.7","","0","",,"",,""
"1974-01","1974","01","5.4","","-1.1","","2.2","","11.1","S","-9.4","","166.4","","15.2","","181.6","","0","T",,"",,""
