"Station Name","DENISON PLANT SITE"
"Province","BRITISH COLUMBIA"
"Latitude","55.00"
"Longitude","-121.03"
"Elevation","854.00"
"Climate Identifier","1182427"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01","1982","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-02","1982","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-03","1982","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-04","1982","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-05","1982","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-06","1982","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-07","1982","07","20.9","","9.8","","15.4","","30.0","","5.0","S","275.8","","0.0","","275.8","","0","",,"",,""
"1982-08","1982","08","16.2","","6.5","","11.4","","29.0","","2.0","","103.7","","0.0","","103.7","","0","",,"",,""
"1982-09","1982","09","15.9","","5.4","","10.7","","25.0","S","-2.0","","93.4","","0.0","","93.4","","0","",,"",,""
"1982-10","1982","10","9.2","","1.1","","5.2","","19.0","S","-8.0","","53.4","","18.5","","67.4","","","M",,"",,""
"1982-11","1982","11","-2.4","","-11.9","","-7.2","","5.0","S","-30.0","S","7.0","E","24.0","E","28.0","E","1","",,"",,""
"1982-12","1982","12","-2.0","","-11.5","","-6.8","","4.0","S","-23.0","S","0.0","","28.2","","30.7","","4","",,"",,""
"1983-01","1983","01","-1.4","","-11.8","","-6.6","","6.0","","-32.0","","","M","18.5","","","M","6","",,"",,""
"1983-02","1983","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-03","1983","03","0.6","","-11.2","","-5.3","","9.0","S","-25.0","","0.0","T","24.5","","22.5","","7","",,"",,""
"1983-04","1983","04","9.6","","-2.1","","3.8","","18.5","","-10.0","","15.4","","2.0","","17.4","","0","",,"",,""
"1983-05","1983","05","14.7","","3.2","","9.0","","31.0","","-3.0","","31.7","","0.0","T","31.7","","0","",,"",,""
"1983-06","1983","06","16.7","","7.5","","12.1","","24.5","","2.0","","120.8","","0.0","","120.8","","0","",,"",,""
"1983-07","1983","07","18.7","","8.8","","13.8","","27.5","","4.5","S","134.5","","0.0","","134.5","","0","",,"",,""
"1983-08","1983","08","20.3","","8.2","","14.3","","28.5","","3.5","","28.9","","0.0","","28.9","","0","",,"",,""
"1983-09","1983","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-10","1983","10","9.4","","0.6","","5.0","","17.0","","-14.0","","37.2","E","4.0","","41.2","E","0","",,"",,""
"1983-11","1983","11","0.2","","-5.5","","-2.7","","10.0","S","-14.0","","","M","","M","","M","4","",,"",,""
"1983-12","1983","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-01","1984","01","-0.4","E","-7.3","E","-3.9","E","","M","","M","0.0","","13.0","E","13.0","E","2","",,"",,""
"1984-02","1984","02","3.2","","-3.1","","0.1","","13.0","","-11.0","","2.4","","12.5","E","14.9","E","0","",,"",,""
"1984-03","1984","03","4.2","","-3.8","","0.2","","15.0","","-25.0","","0.5","","24.0","","24.5","","0","",,"",,""
"1984-04","1984","04","9.6","","-1.1","","4.3","","26.0","","-5.0","","4.0","E","11.0","","14.1","E","","M",,"",,""
"1984-05","1984","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-06","1984","06","17.4","","7.1","","12.3","","25.0","S","2.5","","","M","0.0","","","M","0","",,"",,""
"1984-07","1984","07","22.0","","9.7","","15.9","","33.0","","5.0","","9.2","E","0.0","","9.2","E","0","",,"",,""
"1984-08","1984","08","21.5","","9.6","","15.6","","30.0","S","4.0","","","M","0.0","","","M","0","",,"",,""
"1984-09","1984","09","10.8","","1.6","","6.2","","","M","-6.0","S","116.8","","3.4","","120.2","","0","",,"",,""
"1984-10","1984","10","4.4","","-2.9","","0.8","","18.0","","-28.0","","63.4","","43.7","","107.1","","30","",,"",,""
"1984-11","1984","11","-1.5","","-10.4","","-6.0","","10.0","","-26.0","","2.0","E","45.9","E","49.8","E","14","",,"",,""
"1984-12","1984","12","-9.4","","-21.9","","-15.7","","6.0","","-38.0","","0.0","","35.0","E","33.6","E","23","",,"",,""
"1985-01","1985","01","2.9","","-5.6","","-1.4","","10.0","S","-24.0","S","1.0","E","13.6","E","23.6","E","5","",,"",,""
"1985-02","1985","02","-4.1","","-13.8","","-9.0","","10.0","","-33.0","","0.0","T","28.0","","28.0","","4","",,"",,""
"1985-03","1985","03","2.6","","-5.0","","-1.2","","12.0","","-20.0","","2.0","E","27.0","E","18.6","E","8","",,"",,""
"1985-04","1985","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-05","1985","05","16.6","","2.6","","9.6","","","M","-3.0","","12.8","","0.0","","12.8","","0","",,"",,""
"1985-06","1985","06","17.2","","5.4","","11.3","","29.0","","1.0","","","M","0.0","","","M","0","",,"",,""
"1985-07","1985","07","24.1","","9.0","","16.6","","32.0","","4.0","","10.0","E","0.0","","10.0","E","0","",,"",,""
"1985-08","1985","08","20.0","E","7.5","E","13.8","E","33.0","","0.0","","75.9","","0.0","","75.9","","0","",,"",,""
"1985-09","1985","09","10.8","","","M","","M","21.0","S","","M","98.4","E","8.0","E","106.4","E","0","",,"",,""
"1985-10","1985","10","3.9","E","-2.4","E","0.8","E","11.0","S","-12.0","","","M","","M","","M","2","",,"",,""
"1985-11","1985","11","-14.9","","-22.7","","-18.8","","5.0","","-46.0","","0.0","","44.6","E","44.6","E","3","",,"",,""
"1985-12","1985","12","1.7","","-4.9","","-1.6","","10.0","","-28.0","","","M","","M","","M","0","",,"",,""
"1986-01","1986","01","0.5","","-7.0","","-3.3","","10.0","S","-20.0","","3.3","","47.5","E","50.8","E","8","",,"",,""
"1986-02","1986","02","-4.3","","-12.5","","-8.4","","15.5","","-38.0","","2.7","","25.5","E","28.2","E","0","",,"",,""
"1986-03","1986","03","4.9","","-3.6","","0.7","","","M","-15.5","","","M","","M","","M","","M",,"",,""
"1986-04","1986","04","5.9","","-2.3","","1.8","","17.5","","-15.5","","6.2","E","30.0","E","37.3","E","14","",,"",,""
"1986-05","1986","05","13.5","","1.8","","7.7","","26.0","","-7.0","","4.2","","5.8","","10.4","","0","",,"",,""
"1986-06","1986","06","18.3","","6.6","","12.5","","24.5","S","0.5","","47.3","","0.0","","47.3","","0","",,"",,""
"1986-07","1986","07","18.7","","8.6","","13.7","","26.0","S","4.0","","96.4","","0.0","","96.4","","0","",,"",,""
"1986-08","1986","08","21.5","","7.7","","14.6","","28.0","S","1.0","","11.9","E","1.6","E","13.5","E","0","",,"",,""
"1986-09","1986","09","11.7","","2.5","","7.1","","20.0","","-2.0","","77.7","E","4.5","E","82.2","E","2","",,"",,""
"1986-10","1986","10","11.6","","2.0","","6.8","","21.0","","-20.0","","13.4","E","41.0","E","54.4","E","26","",,"",,""
"1986-11","1986","11","-2.5","","-10.1","","-6.3","","10.0","","-28.0","","2.0","","60.8","","49.3","","5","",,"",,""
"1986-12","1986","12","1.3","E","-5.3","E","-2.0","E","","M","","M","0.2","","9.0","","9.2","","5","",,"",,""
"1987-01","1987","01","0.8","E","-5.9","E","-2.6","E","","M","","M","36.0","","32.0","","68.0","","4","",,"",,""
"1987-02","1987","02","1.7","","-5.6","","-2.0","","8.0","","-16.0","","5.0","","15.0","","20.0","","1","",,"",,""
"1987-03","1987","03","-2.1","","-11.0","","-6.6","","9.0","","-21.0","S","0.0","T","64.5","","60.9","","0","",,"",,""
"1987-04","1987","04","11.3","","0.4","","5.9","","22.5","","-7.0","","17.2","E","1.5","E","18.7","E","0","",,"",,""
"1987-05","1987","05","15.6","","2.8","E","9.2","E","25.0","","-1.0","","26.6","","0.0","","26.6","","0","",,"",,""
"1987-06","1987","06","20.2","","7.8","","14.0","","27.0","","1.0","","22.9","","0.0","","22.9","","0","",,"",,""
