"Station Name","DESMARAISVILLE"
"Province","QUEBEC"
"Latitude","49.52"
"Longitude","-76.17"
"Elevation","289.90"
"Climate Identifier","7091984"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1978-01","1978","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1978-02","1978","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1978-03","1978","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1978-04","1978","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1978-05","1978","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1978-06","1978","06","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1978-07","1978","07","24.7","","","M","","M","29.4","","","M","111.4","","0.0","","111.4","","0","",,"",,""
"1978-08","1978","08","22.2","","","M","","M","32.8","S","","M","93.0","","0.0","","93.0","","0","",,"",,""
"1978-09","1978","09","13.4","","","M","","M","21.1","","","M","155.8","","0.0","T","155.8","","0","",,"",,""
"1978-10","1978","10","6.2","","","M","","M","19.4","","","M","78.0","","0.0","T","78.0","","0","",,"",,""
"1978-11","1978","11","","M","","M","","M","","M","","M","","M","","M","","M","10","",,"",,""
"1978-12","1978","12","-9.4","","-23.5","","-16.5","","-2.2","S","-35.0","","0.0","","71.3","E","71.3","E","53","",,"",,""
"1979-01","1979","01","-12.5","","-26.3","","-19.4","","4.4","","-45.6","","0.0","T","22.1","","22.1","","66","",,"",,""
"1979-02","1979","02","-16.6","","-29.8","","-23.2","","2.8","","-43.9","","0.0","","17.0","","17.0","","73","",,"",,""
"1979-03","1979","03","-1.4","","-15.5","","-8.5","","13.9","","-32.2","","2.0","","54.7","E","56.7","E","53","",,"",,""
"1979-04","1979","04","5.5","","-6.8","","-0.7","","18.9","","-17.2","","9.2","","15.2","","24.4","","0","",,"",,""
"1979-05","1979","05","13.6","","0.0","","6.8","","26.1","","-15.0","","90.6","","0.0","T","90.6","","0","",,"",,""
"1979-06","1979","06","21.3","","7.0","","14.2","","27.8","S","0.0","","114.9","","0.0","","114.9","","0","",,"",,""
"1979-07","1979","07","23.7","","9.0","","16.4","","30.0","S","0.0","","147.5","E","0.0","","147.5","E","0","",,"",,""
"1979-08","1979","08","19.2","","6.9","","13.1","","","M","","M","","M","0.0","","","M","0","",,"",,""
"1979-09","1979","09","14.6","","3.2","","8.9","","23.3","","-4.4","S","108.2","E","0.0","T","108.2","E","0","",,"",,""
"1979-10","1979","10","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1979-11","1979","11","1.3","","-7.8","E","-3.3","E","12.2","","-22.0","","36.9","","35.4","E","72.3","E","12","",,"",,""
"1979-12","1979","12","-9.3","","-19.0","","-14.2","","1.1","","-37.2","","0.0","T","20.4","E","20.4","E","17","",,"",,""
"1980-01","1980","01","","M","","M","","M","","M","","M","0.0","T","21.7","","21.7","","43","",,"",,""
"1980-02","1980","02","","M","","M","","M","","M","","M","","M","","M","","M","59","",,"",,""
"1980-03","1980","03","-1.6","","-16.2","","-8.9","","10.0","","-35.0","","9.0","","19.0","","28.0","","30","",,"",,""
"1980-04","1980","04","8.7","","-3.9","","2.4","","25.0","","-17.0","","39.0","","1.2","","40.2","","0","",,"",,""
"1980-05","1980","05","16.4","","2.1","","9.3","","28.0","","-7.0","","42.6","","0.0","","42.6","","0","",,"",,""
"1980-06","1980","06","17.5","","4.6","","11.1","","30.0","","-4.0","","61.3","E","0.0","T","61.3","E","0","",,"",,""
"1980-07","1980","07","22.4","","7.4","","14.9","","","M","","M","","M","0.0","","","M","0","",,"",,""
"1980-08","1980","08","23.0","E","11.5","E","17.3","E","","M","","M","","M","0.0","","","M","0","",,"",,""
"1980-09","1980","09","12.1","E","1.9","","7.0","E","24.0","E","-6.0","","162.0","","0.0","T","162.0","","0","",,"",,""
"1980-10","1980","10","4.1","","-2.9","","0.6","","13.0","","-9.0","","74.0","","18.9","","92.9","","14","",,"",,""
"1980-11","1980","11","-3.0","","-10.4","","-6.7","","4.5","","-22.0","","9.0","","41.5","","50.5","","29","",,"",,""
"1980-12","1980","12","-15.3","E","-27.2","","-21.3","E","-1.0","","-42.0","","0.0","","","M","","M","40","",,"",,""
"1981-01","1981","01","-13.5","E","-25.3","E","-19.4","E","0.0","","-41.0","","0.0","","23.5","E","23.5","E","68","",,"",,""
"1981-02","1981","02","-3.4","","-14.6","","-9.0","","7.0","S","-42.0","","0.0","T","27.5","","27.5","","30","",,"",,""
"1981-03","1981","03","1.2","","-10.5","E","-4.7","E","10.0","","-28.0","S","","M","","M","","M","6","",,"",,""
"1981-04","1981","04","5.7","E","-6.4","","-0.4","E","14.0","B","-20.0","S","55.0","E","14.5","E","69.5","E","0","",,"",,""
"1981-05","1981","05","13.5","","0.0","","6.8","","27.0","","-9.0","","46.0","","1.0","","47.0","","0","",,"",,""
"1981-06","1981","06","19.7","","5.6","","12.7","","28.0","","-5.0","S","90.5","","0.0","","90.5","","0","",,"",,""
"1981-07","1981","07","24.5","","9.5","E","17.0","E","30.0","","0.0","","70.0","","3.0","","73.0","","0","",,"",,""
"1981-08","1981","08","22.8","E","7.9","E","15.4","E","","M","-2.0","","","M","","M","","M","0","",,"",,""
"1981-09","1981","09","14.6","E","5.1","E","9.9","E","26.0","","-5.0","","107.0","E","0.0","T","107.0","E","","M",,"",,""
"1981-10","1981","10","6.3","","-3.0","","1.7","","15.0","","-12.0","","89.0","","0.0","T","89.0","","0","",,"",,""
"1981-11","1981","11","0.9","E","-7.2","E","-3.2","E","12.0","","-15.0","S","","M","","M","","M","39","",,"",,""
"1981-12","1981","12","-7.1","","-14.0","","-10.6","","0.0","S","-30.0","","0.0","T","32.5","","32.5","","","M",,"",,""
"1982-01","1982","01","","M","","M","","M","","M","","M","0.0","","48.0","","48.0","","69","",,"",,""
"1982-02","1982","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-03","1982","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-04","1982","04","","M","","M","","M","","M","","M","20.0","","47.0","","67.0","","0","T",,"",,""
"1982-05","1982","05","18.1","","3.3","","10.7","","30.0","S","-5.0","S","","M","","M","","M","","M",,"",,""
"1982-06","1982","06","18.6","","6.6","","12.6","","27.0","S","-1.0","","99.2","","0.0","T","99.2","","0","",,"",,""
"1982-07","1982","07","22.0","","8.6","","15.3","","29.0","S","0.0","","154.7","","0.0","","154.7","","0","",,"",,""
"1982-08","1982","08","16.9","","5.8","","11.4","","28.0","","-3.0","S","71.0","","0.0","T","71.0","","0","",,"",,""
"1982-09","1982","09","14.9","","4.5","","9.7","","28.0","","-3.0","S","113.0","","0.0","","113.0","","0","",,"",,""
"1982-10","1982","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-11","1982","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-12","1982","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-01","1983","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-02","1983","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-03","1983","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
