"Station Name","DORION TCPL 70"
"Province","ONTARIO"
"Latitude","48.82"
"Longitude","-88.52"
"Elevation","192.60"
"Climate Identifier","6042067"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1970-01","1970","01","-11.6","","-24.1","","-17.9","","2.8","","-37.2","","0.0","","61.0","E","61.0","E","","M",,"",,""
"1970-02","1970","02","-9.4","","-24.7","","-17.1","","3.3","","-42.8","","0.0","","34.3","E","34.3","E","","M",,"",,""
"1970-03","1970","03","-0.6","","-14.9","","-7.8","","8.3","","-26.7","","12.7","E","25.4","E","38.1","E","","M",,"",,""
"1970-04","1970","04","5.9","","-4.8","","0.6","","16.7","","-19.4","","","M","","M","","M","0","",,"",,""
"1970-05","1970","05","11.7","","1.5","","6.6","","27.2","","-7.2","","","M","","M","","M","0","",,"",,""
"1970-06","1970","06","21.1","","6.4","","13.8","","32.8","","-0.6","","64.5","E","0.0","","64.5","E","0","",,"",,""
"1970-07","1970","07","25.3","","11.0","","18.2","","31.7","","2.8","","70.1","","0.0","","70.1","","0","",,"",,""
"1970-08","1970","08","23.3","","11.0","","17.2","","33.3","","2.2","S","78.0","","0.0","","78.0","","0","",,"",,""
"1970-09","1970","09","16.0","","6.5","","11.3","","23.3","","-1.7","","68.6","","0.0","","68.6","","0","",,"",,""
"1970-10","1970","10","10.4","","1.9","","6.2","","16.7","","-6.7","","218.2","","0.0","T","218.2","","0","",,"",,""
"1970-11","1970","11","1.3","","-6.6","E","-2.7","E","8.9","","","M","37.6","","24.1","","61.7","","13","",,"",,""
"1970-12","1970","12","-6.4","","-16.4","E","-11.4","E","5.0","","-33.9","","13.2","","93.5","","106.7","","76","",,"",,""
"1971-01","1971","01","-12.8","","-25.0","","-18.9","","0.0","","-35.6","","0.0","","48.8","","48.8","","","M",,"",,""
"1971-02","1971","02","-6.6","","-21.5","","-14.1","","7.2","","-37.2","","25.4","E","27.7","E","53.1","E","","M",,"",,""
"1971-03","1971","03","-1.4","","-14.4","","-7.9","","3.9","","-27.2","","0.0","T","17.5","","17.5","","","M",,"",,""
"1971-04","1971","04","7.1","","-4.2","","1.5","","17.2","","-20.0","","11.9","","3.0","","15.0","","0","",,"",,""
"1971-05","1971","05","14.2","","0.1","","7.2","","24.4","","-4.4","S","124.0","","0.0","T","124.0","","0","",,"",,""
"1971-06","1971","06","20.7","","6.5","","13.6","","30.6","","-2.2","","39.6","","0.0","","39.6","","0","",,"",,""
"1971-07","1971","07","21.2","","8.5","","14.9","","27.2","","2.8","","90.7","","0.0","","90.7","","0","",,"",,""
"1971-08","1971","08","22.2","","7.2","","14.7","","29.4","S","-1.1","","21.3","","0.0","","21.3","","0","",,"",,""
"1971-09","1971","09","18.0","","7.2","","12.6","","27.2","","-0.6","S","102.4","","0.0","","102.4","","0","",,"",,""
"1971-10","1971","10","12.1","","4.7","","8.4","","20.0","","-3.3","","138.9","","2.5","","141.5","","0","",,"",,""
