"Station Name","DOUANES ARMSTRONG"
"Province","QUEBEC"
"Latitude","45.82"
"Longitude","-70.40"
"Elevation","563.90"
"Climate Identifier","7022127"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1965-01","1965","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-02","1965","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-03","1965","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-04","1965","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-05","1965","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-06","1965","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-07","1965","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-08","1965","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-09","1965","09","17.2","","6.8","","12.0","","28.9","","-6.1","","133.9","","0.0","","133.9","","0","",,"",,""
"1965-10","1965","10","8.1","","0.7","","4.4","","22.8","","-6.7","","120.1","","7.9","","128.0","","0","",,"",,""
"1965-11","1965","11","-0.7","","-7.4","","-4.1","","8.9","S","-13.3","S","21.8","","52.8","","74.7","","28","",,"",,""
"1965-12","1965","12","-3.8","","-11.1","","-7.5","","8.3","","-22.2","S","2.3","","33.3","E","35.6","E","13","",,"",,""
"1966-01","1966","01","-7.3","","-15.7","","-11.5","","5.6","","-26.7","S","0.0","","137.9","","137.9","","61","",,"",,""
"1966-02","1966","02","-3.3","","-13.1","","-8.2","","10.0","","-30.6","S","5.8","","80.3","","86.1","","66","",,"",,""
"1966-03","1966","03","1.5","","-8.2","","-3.4","","12.2","","-20.6","S","27.4","","57.4","","84.8","","41","",,"",,""
"1966-04","1966","04","7.8","","-3.4","","2.2","","16.7","","-11.7","","10.7","","17.3","","27.9","","0","",,"",,""
"1966-05","1966","05","","M","","M","","M","","M","-10.6","","","M","15.7","","","M","0","",,"",,""
"1966-06","1966","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-07","1966","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-08","1966","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-09","1966","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-10","1966","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-11","1966","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-12","1966","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
