"Station Name","DUNVEGAN"
"Province","ALBERTA"
"Latitude","55.93"
"Longitude","-118.58"
"Elevation","397.80"
"Climate Identifier","3072145"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1880-01","1880","01","-22.4","","-36.2","","-29.3","","","M","-52.2","","0.0","","48.8","","48.8","","","",,"",,""
"1880-02","1880","02","-6.3","","-26.1","","-16.2","","7.2","","-45.6","","0.0","","25.1","","25.1","","","",,"",,""
"1880-03","1880","03","-5.2","","-20.8","","-13.0","","12.8","","-46.7","","0.0","","35.8","","35.8","","","",,"",,""
"1880-04","1880","04","7.2","","-11.4","","-2.1","","22.8","","-32.8","","0.0","","1.3","","1.3","","","",,"",,""
"1880-05","1880","05","16.7","","0.8","","8.8","","24.4","","-6.1","","20.1","","0.0","","20.1","","","",,"",,""
"1880-06","1880","06","20.3","","5.6","","13.0","","26.7","","-1.1","","93.2","","0.0","","93.2","","","",,"",,""
"1880-07","1880","07","23.9","","8.6","","16.3","","30.0","S","1.1","","47.0","","0.0","","47.0","","","",,"",,""
"1880-08","1880","08","19.7","","5.8","","12.8","","24.4","S","0.6","","30.7","","0.0","","30.7","","","",,"",,""
"1880-09","1880","09","16.6","","1.2","","8.9","","25.6","","-5.0","","33.5","","0.0","","33.5","","","",,"",,""
"1880-10","1880","10","10.6","","-1.8","","4.4","","22.2","","-6.7","","26.4","","0.0","","26.4","","","",,"",,""
"1880-11","1880","11","-1.7","","-11.7","","-6.7","","14.4","","-30.0","","2.8","","3.8","","6.6","","","",,"",,""
"1880-12","1880","12","-20.8","","-31.3","","-26.1","","5.0","","-43.9","S","0.0","","15.7","","15.7","","","",,"",,""
"1881-01","1881","01","-19.6","","-31.5","","-25.6","","3.9","","-47.2","","0.0","","48.5","","48.5","","","",,"",,""
"1881-02","1881","02","-13.1","","-24.6","","-18.9","","-5.0","","-42.2","","0.0","","51.1","","51.1","","","",,"",,""
"1881-03","1881","03","5.3","","-11.8","","-3.3","","12.2","","-23.3","","0.0","","9.4","","9.4","","","",,"",,""
"1881-04","1881","04","11.3","","-2.7","","4.3","","19.4","","-8.3","","21.8","","0.0","T","21.8","","","",,"",,""
