"Station Name","DUTTON"
"Province","ONTARIO"
"Latitude","42.67"
"Longitude","-81.53"
"Elevation","219.80"
"Climate Identifier","6132175"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1883-01","1883","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-02","1883","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-03","1883","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-04","1883","04","","","","","","","","","","","48.3","","3.3","","51.6","","","",,"",,""
"1883-05","1883","05","","","","","","","","","","","153.9","","0.0","","153.9","","","",,"",,""
"1883-06","1883","06","","","","","","","","","","","117.3","","0.0","","117.3","","","",,"",,""
"1883-07","1883","07","","","","","","","","","","","161.5","","0.0","","161.5","","","",,"",,""
"1883-08","1883","08","","","","","","","","","","","18.3","","0.0","","18.3","","","",,"",,""
"1883-09","1883","09","","","","","","","","","","","88.6","","0.0","","88.6","","","",,"",,""
"1883-10","1883","10","","","","","","","","","","","48.5","","0.0","","48.5","","","",,"",,""
"1883-11","1883","11","","","","","","","","","","","50.5","","0.0","","50.5","","","",,"",,""
"1883-12","1883","12","","","","","","","","","","","19.1","","30.5","","49.5","","","",,"",,""
"1884-01","1884","01","","","","","","","","","","","12.7","","43.2","","55.9","","","",,"",,""
"1884-02","1884","02","","","","","","","","","","","67.3","","16.0","","83.3","","","",,"",,""
"1884-03","1884","03","","","","","","","","","","","46.5","","15.5","","62.0","","","",,"",,""
"1884-04","1884","04","","","","","","","","","","","40.1","","4.1","","44.2","","","",,"",,""
"1884-05","1884","05","","","","","","","","","","","60.2","","0.0","","60.2","","","",,"",,""
"1884-06","1884","06","","","","","","","","","","","54.6","","0.0","","54.6","","","",,"",,""
"1884-07","1884","07","","","","","","","","","","","113.5","","0.0","","113.5","","","",,"",,""
"1884-08","1884","08","","","","","","","","","","","66.8","","0.0","","66.8","","","",,"",,""
"1884-09","1884","09","","","","","","","","","","","52.3","","0.0","","52.3","","","",,"",,""
"1884-10","1884","10","","","","","","","","","","","83.6","","0.0","","83.6","","","",,"",,""
"1884-11","1884","11","","","","","","","","","","","46.7","","10.9","","57.7","","","",,"",,""
"1884-12","1884","12","","","","","","","","","","","58.4","","35.8","","94.2","","","",,"",,""
"1885-01","1885","01","","","","","","","","","","","26.4","","52.3","","78.7","","","",,"",,""
"1885-02","1885","02","","","","","","","","","","","4.6","","23.6","","28.2","","","",,"",,""
"1885-03","1885","03","","","","","","","","","","","5.8","","10.4","","16.3","","","",,"",,""
"1885-04","1885","04","","","","","","","","","","","25.7","","21.6","","47.2","","","",,"",,""
"1885-05","1885","05","","","","","","","","","","","53.6","","5.8","","59.4","","","",,"",,""
"1885-06","1885","06","","","","","","","","","","","79.8","","0.0","","79.8","","","",,"",,""
"1885-07","1885","07","","","","","","","","","","","110.2","","0.0","","110.2","","","",,"",,""
"1885-08","1885","08","","","","","","","","","","","126.0","","0.0","","126.0","","","",,"",,""
"1885-09","1885","09","","","","","","","","","","","53.1","","0.0","","53.1","","","",,"",,""
"1885-10","1885","10","","","","","","","","","","","92.7","","0.0","","92.7","","","",,"",,""
"1885-11","1885","11","","","","","","","","","","","74.9","","1.3","","76.2","","","",,"",,""
"1885-12","1885","12","","","","","","","","","","","7.9","","39.4","","47.2","","","",,"",,""
"1886-01","1886","01","","","","","","","","","","","66.3","","35.1","","101.3","","","",,"",,""
"1886-02","1886","02","","","","","","","","","","","32.5","","24.1","","56.6","","","",,"",,""
"1886-03","1886","03","","","","","","","","","","","50.5","","7.6","","58.2","","","",,"",,""
"1886-04","1886","04","","","","","","","","","","","39.9","","33.0","","72.9","","","",,"",,""
"1886-05","1886","05","","","","","","","","","","","59.9","","0.0","","59.9","","","",,"",,""
"1886-06","1886","06","","","","","","","","","","","74.2","","0.0","","74.2","","","",,"",,""
"1886-07","1886","07","","","","","","","","","","","76.2","","0.0","","76.2","","","",,"",,""
"1886-08","1886","08","","","","","","","","","","","55.6","","0.0","","55.6","","","",,"",,""
"1886-09","1886","09","","","","","","","","","","","88.9","","0.0","","88.9","","","",,"",,""
"1886-10","1886","10","","","","","","","","","","","45.5","","0.0","","45.5","","","",,"",,""
"1886-11","1886","11","","","","","","","","","","","68.6","","18.5","","87.1","","","",,"",,""
"1886-12","1886","12","","","","","","","","","","","10.9","","69.9","","80.8","","","",,"",,""
"1887-01","1887","01","","","","","","","","","","","20.8","","63.0","","83.8","","","",,"",,""
"1887-02","1887","02","","","","","","","","","","","116.8","","15.7","","132.6","","","",,"",,""
"1887-03","1887","03","","","","","","","","","","","21.6","","27.2","","48.8","","","",,"",,""
"1887-04","1887","04","","","","","","","","","","","22.9","","0.0","","22.9","","","",,"",,""
"1887-05","1887","05","","","","","","","","","","","63.2","","0.0","","63.2","","","",,"",,""
"1887-06","1887","06","","","","","","","","","","","38.9","","0.0","","38.9","","","",,"",,""
"1887-07","1887","07","","","","","","","","","","","42.4","","0.0","","42.4","","","",,"",,""
"1887-08","1887","08","","","","","","","","","","","55.4","","0.0","","55.4","","","",,"",,""
"1887-09","1887","09","","","","","","","","","","","59.2","","0.0","","59.2","","","",,"",,""
"1887-10","1887","10","","","","","","","","","","","31.5","","0.0","","31.5","","","",,"",,""
"1887-11","1887","11","","","","","","","","","","","67.6","","14.0","","81.5","","","",,"",,""
"1887-12","1887","12","","","","","","","","","","","86.4","","27.9","","114.3","","","",,"",,""
"1888-01","1888","01","","","","","","","","","","","19.8","","29.2","","49.0","","","",,"",,""
"1888-02","1888","02","","","","","","","","","","","43.9","","5.1","","49.0","","","",,"",,""
"1888-03","1888","03","","","","","","","","","","","28.2","","0.5","","28.7","","","",,"",,""
"1888-04","1888","04","","","","","","","","","","","35.3","","0.8","","36.1","","","",,"",,""
"1888-05","1888","05","","","","","","","","","","","28.2","","0.0","","28.2","","","",,"",,""
"1888-06","1888","06","","","","","","","","","","","93.5","","0.0","","93.5","","","",,"",,""
"1888-07","1888","07","","","","","","","","","","","83.6","","0.0","","83.6","","","",,"",,""
"1888-08","1888","08","","","","","","","","","","","68.6","","0.0","","68.6","","","",,"",,""
"1888-09","1888","09","","","","","","","","","","","43.9","","0.0","","43.9","","","",,"",,""
"1888-10","1888","10","","","","","","","","","","","79.5","","0.0","T","79.5","","","",,"",,""
"1888-11","1888","11","","","","","","","","","","","44.2","","0.8","","45.0","","","",,"",,""
"1888-12","1888","12","","","","","","","","","","","32.5","","7.6","","40.1","","","",,"",,""
"1889-01","1889","01","","","","","","","","","","","57.4","","38.1","","95.5","","","",,"",,""
"1889-02","1889","02","","","","","","","","","","","5.3","","44.5","","49.8","","","",,"",,""
