"Station Name","EDMONTON NAMAO AWOS A"
"Province","ALBERTA"
"Latitude","53.67"
"Longitude","-113.47"
"Elevation","687.90"
"Climate Identifier","3012212"
"WMO Identifier","71121"
"TC Identifier","YED"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2001-08","2001","08","24.0","E","9.0","E","16.5","E","30.3","","3.3","","26.5","","0.0","","26.5","","0","",,"",,""
"2001-09","2001","09","18.4","","3.7","","11.1","","28.2","","-0.9","","31.0","E","0.0","","31.0","E","0","",,"",,""
"2001-10","2001","10","8.6","E","-2.8","E","2.9","E","19.0","","-9.8","","4.2","E","10.1","E","14.3","E","","",,"",,""
"2001-11","2001","11","2.9","E","-7.1","E","-2.1","E","15.3","","-23.2","","","","","","","","","",,"",,""
"2001-12","2001","12","-6.2","E","-16.3","E","-11.3","E","5.8","","-26.3","","0.0","","4.4","E","4.4","E","","",,"",,""
"2002-01","2002","01","-6.4","","-16.7","","-11.6","","8.2","","-32.7","","0.0","","7.3","E","7.3","E","","",,"",,""
"2002-02","2002","02","-0.3","","-10.6","E","-5.5","E","8.5","","-24.6","","0.0","","2.0","","2.0","","","",,"",,""
"2002-03","2002","03","-7.6","","-18.6","","-13.2","","5.6","","-30.3","","0.0","","34.7","","25.6","","","",,"",,""
"2002-04","2002","04","3.2","","-7.7","","-2.3","","13.6","","-20.7","","6.1","E","34.3","E","40.4","E","","",,"",,""
"2002-05","2002","05","16.0","","1.0","","8.5","","26.5","","-9.9","","6.0","","0.0","T","6.0","","0","",,"",,""
"2002-06","2002","06","24.2","","8.1","E","16.2","E","34.2","","-0.4","","36.0","","0.0","","36.0","","0","",,"",,""
"2002-07","2002","07","25.4","E","11.1","E","18.3","E","34.1","","3.6","","25.9","E","0.0","","25.9","E","0","",,"",,""
"2002-08","2002","08","21.2","","8.2","","14.7","","30.7","","1.7","","45.4","E","0.0","","45.4","E","0","",,"",,""
"2002-09","2002","09","16.3","E","2.5","E","9.4","E","25.8","","-8.4","","9.8","E","0.0","","9.8","E","0","",,"",,""
"2002-10","2002","10","5.8","","-4.3","","0.7","","17.3","","-18.3","","15.3","E","3.5","","18.8","E","","",,"",,""
"2002-11","2002","11","3.4","","-5.5","","-1.1","","9.9","S","-12.3","","0.0","T","3.5","","3.5","","","",,"",,""
"2002-12","2002","12","-1.3","","-11.4","","-6.4","","6.3","","-21.2","","1.7","E","3.5","E","5.2","E","","",,"",,""
"2003-01","2003","01","-7.3","","-16.8","","-12.1","","10.0","","-36.7","","1.5","","44.6","E","43.9","E","","",,"",,""
"2003-02","2003","02","-5.0","","-14.7","","-9.9","","3.7","","-30.0","","0.0","T","28.3","E","28.3","E","","",,"",,""
"2003-03","2003","03","-3.3","E","-14.5","E","-8.9","E","9.8","","-39.2","","1.0","","29.2","E","29.7","E","","",,"",,""
"2003-04","2003","04","8.9","E","-1.5","E","3.7","E","24.1","","-14.8","","12.5","E","31.5","E","44.0","E","0","",,"",,""
"2003-05","2003","05","15.9","","3.7","","9.9","","29.1","","-3.6","","11.5","E","34.7","E","46.7","E","0","",,"",,""
"2003-06","2003","06","19.7","E","7.7","E","13.8","E","30.6","","2.6","","62.2","E","0.0","","62.2","E","0","",,"",,""
"2003-07","2003","07","23.5","E","10.9","E","17.2","E","29.2","","6.3","","92.5","E","0.0","","92.5","E","0","",,"",,""
"2003-08","2003","08","23.6","E","9.6","E","16.6","E","31.0","","4.3","","105.7","E","0.0","","105.7","E","0","",,"",,""
"2003-09","2003","09","16.3","","4.0","","10.2","","29.3","","-4.7","","12.6","E","0.0","","12.6","E","0","",,"",,""
"2003-10","2003","10","13.1","E","-0.6","E","6.3","E","26.5","E","-16.9","","13.0","E","7.5","E","20.5","E","","",,"",,""
"2003-11","2003","11","-2.9","","-13.6","E","-8.3","E","8.8","","-29.1","","0.0","","22.7","E","15.2","E","","",,"",,""
"2003-12","2003","12","-3.7","E","-13.9","E","-8.9","E","5.7","","-25.8","","0.0","","4.3","E","4.3","","","",,"",,""
"2004-01","2004","01","-11.0","E","-19.7","E","-15.4","E","5.2","","-41.6","","4.3","E","40.2","E","35.8","E","","",,"",,""
"2004-02","2004","02","-1.8","","-13.2","","-7.6","","6.5","","-31.6","","0.0","","5.0","E","5.0","E","","",,"",,""
"2004-03","2004","03","2.7","","-7.6","","-2.5","","15.1","","-21.2","","0.0","","12.0","","12.0","","0","",,"",,""
"2004-04","2004","04","11.2","I","-1.0","I","5.1","I","23.7","I","-7.7","I","5.5","I","5.0","I","10.5","I","","",,"",,""
"2004-05","2004","05","15.2","","1.2","","8.2","","26.3","","-8.0","","33.0","","0.5","","33.5","","0","",,"",,""
"2004-06","2004","06","20.7","E","7.2","E","14.0","E","28.9","","0.5","","25.5","","0.0","","25.5","","0","",,"",,""
"2004-07","2004","07","22.3","","10.9","","16.6","","29.6","","3.7","","122.0","","0.0","","122.0","","0","",,"",,""
"2004-08","2004","08","20.3","","8.0","","14.2","","28.6","","1.3","","33.0","","0.0","","33.0","","0","",,"",,""
"2004-09","2004","09","14.7","","3.3","","9.0","","22.3","","-6.3","","45.0","","0.0","","45.0","","0","",,"",,""
"2004-10","2004","10","7.7","","-3.8","","1.9","","24.0","","-12.1","","3.5","","12.0","","15.5","","","M",,"",,""
"2004-11","2004","11","3.7","","-4.8","","-0.5","","13.5","","-8.3","","0.5","","3.0","","3.5","","0","",,"",,""
