"Station Name","ELK RIVER AFS"
"Province","ALBERTA"
"Latitude","52.97"
"Longitude","-115.87"
"Elevation","1036.00"
"Climate Identifier","3012282"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1996-05","1996","05","14.5","I","2.9","I","8.8","I","22.2","I","-0.7","I","32.9","I","0.0","I","32.9","I","","",,"",,""
"1996-06","1996","06","17.9","","4.8","","11.4","","27.4","","-0.5","","63.4","","0.0","","63.4","","","",,"",,""
"1996-07","1996","07","21.2","E","8.1","E","14.7","E","27.9","","4.3","","61.5","","0.0","","61.5","","0","",,"",,""
"1996-08","1996","08","24.1","I","6.2","I","15.1","I","31.5","I","0.8","I","8.9","I","0.0","I","8.9","I","0","E",,"",,""
"1996-09","1996","09","12.8","I","1.8","I","7.4","I","28.3","I","-4.3","I","30.7","I","0.0","I","30.7","I","","",,"",,""
"1996-10","1996","10","","","","","","","","","","","","","","","","","","",,"",,""
"1996-11","1996","11","","","","","","","","","","","","","","","","","","",,"",,""
"1996-12","1996","12","","","","","","","","","","","","","","","","","","",,"",,""
"1997-01","1997","01","","","","","","","","","","","","","","","","","","",,"",,""
"1997-02","1997","02","","","","","","","","","","","","","","","","","","",,"",,""
"1997-03","1997","03","","","","","","","","","","","","","","","","","","",,"",,""
