"Station Name","EMERSON AUT"
"Province","MANITOBA"
"Latitude","49.00"
"Longitude","-97.24"
"Elevation","242.00"
"Climate Identifier","5020882"
"WMO Identifier","71560"
"TC Identifier","WEX"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-04","1997","04","4.7","","-5.2","","-0.3","","14.1","","-20.2","","12.7","","47.1","","59.8","","0","",,"",,""
"1997-05","1997","05","","","","","","","","","","","","","","","","","","",,"",,""
"1997-06","1997","06","","","","","","","","","","","","","","","","","","",,"",,""
"1997-07","1997","07","","","","","","","","","","","","","","","","","","",,"",,""
"1997-08","1997","08","","","","","","","","","","","","","","","","","","",,"",,""
"1997-09","1997","09","","","","","","","","","","","","","","","","","","",,"",,""
"1997-10","1997","10","","","","","","","","","","","","","","","","","","",,"",,""
"1997-11","1997","11","","","","","","","","","","","","","","","","","","",,"",,""
"1997-12","1997","12","","","","","","","","","","","","","","","","","","",,"",,""
"1998-01","1998","01","","","","","","","","","","","","","","","","","","",,"",,""
"1998-02","1998","02","","","","","","","","","","","","","","","","","","",,"",,""
"1998-03","1998","03","","","","","","","","","","","","","","","","","","",,"",,""
"1998-04","1998","04","","","","","","","","","","","","","","","","","","",,"",,""
"1998-05","1998","05","","","","","","","","","","","","","","","","","","",,"",,""
"1998-06","1998","06","","","","","","","","","","","","","","","","","","",,"",,""
"1998-07","1998","07","26.3","","13.1","","19.7","","32.6","","5.5","","36.0","","0.0","","36.0","","0","",,"",,""
"1998-08","1998","08","","","","","","","","","","","","","","","","","","",,"",,""
"1998-09","1998","09","23.0","","7.3","","15.2","","33.1","","-1.8","","8.0","","0.0","","8.0","","0","",,"",,""
"1998-10","1998","10","12.2","","2.4","","7.3","","24.3","","-6.8","","59.0","","0.0","","59.0","","0","",,"",,""
"1998-11","1998","11","0.4","","-6.0","","-2.8","","8.4","","-17.8","","9.0","","6.5","","15.5","","","",,"",,""
"1998-12","1998","12","-7.3","","-16.2","","-11.8","","7.7","","-31.4","","0.0","","13.0","","13.0","","","M",,"",,""
"1999-01","1999","01","-12.5","","-22.1","","-17.3","","2.2","","-35.5","","0.0","","13.5","","13.5","","","",,"",,""
"1999-02","1999","02","-3.6","","-12.1","","-7.8","","3.9","","-26.5","","7.0","","18.0","","25.0","","","",,"",,""
"1999-03","1999","03","2.1","","-6.2","","-2.0","","12.1","","-15.8","","0.5","","14.5","","15.0","","0","",,"",,""
"1999-04","1999","04","12.3","","1.3","","6.8","","25.1","","-4.7","","0.5","","32.5","","33.0","","0","",,"",,""
"1999-05","1999","05","18.4","","7.3","","12.9","","32.5","","-1.2","","96.4","","0.0","","96.4","","0","",,"",,""
"1999-06","1999","06","22.8","","10.4","","16.6","","31.0","","0.8","","71.5","","0.0","","71.5","","0","",,"",,""
"1999-07","1999","07","25.8","","13.0","","19.4","","32.7","","6.4","","84.5","","0.0","","84.5","","0","",,"",,""
"1999-08","1999","08","25.5","","11.2","","18.4","","31.3","","3.7","","21.5","","0.0","","21.5","","0","",,"",,""
"1999-09","1999","09","17.8","","5.6","","11.7","","30.0","","-4.3","","34.0","","0.0","","34.0","","0","",,"",,""
"1999-10","1999","10","11.6","","-2.2","","4.7","","24.4","","-11.0","","5.4","","0.0","","5.4","","0","",,"",,""
"1999-11","1999","11","7.3","","-6.0","","0.6","","21.7","","-16.9","","3.0","","0.0","I","3.0","I","0","",,"",,""
"1999-12","1999","12","-1.8","","-13.6","","-7.7","","9.0","","-30.3","","0.0","","14.5","","14.5","","","M",,"",,""
"2000-01","2000","01","-10.2","","-20.6","","-15.4","","-0.5","","-29.6","S","0.0","","12.0","","12.0","","","",,"",,""
"2000-02","2000","02","-1.2","","-12.6","","-6.9","","14.1","","-27.8","","50.0","","3.5","","53.5","","","",,"",,""
"2000-03","2000","03","7.2","","-5.5","","0.8","","18.3","","-16.9","","20.0","","1.0","","21.0","","0","",,"",,""
"2000-04","2000","04","12.7","","-3.2","","4.8","","26.5","","-12.4","","7.0","","1.0","","8.0","","0","",,"",,""
"2000-05","2000","05","19.9","","4.5","","12.3","","31.5","","-1.6","","34.0","","0.0","","34.0","","0","",,"",,""
"2000-06","2000","06","21.0","","9.5","","15.3","","31.3","","4.7","","113.0","","0.0","","113.0","","0","",,"",,""
"2000-07","2000","07","26.0","","12.5","","19.3","","31.5","","4.8","","37.5","","0.0","","37.5","","0","",,"",,""
"2000-08","2000","08","26.3","","12.0","","19.2","","33.7","","5.8","S","191.0","","0.0","","191.0","","0","",,"",,""
"2000-09","2000","09","19.3","","5.6","","12.5","","29.7","","-1.9","","37.0","","0.0","","37.0","","0","",,"",,""
"2000-10","2000","10","13.7","","0.7","","7.2","","22.0","","-6.8","","","","","","15.5","","0","",,"",,""
"2000-11","2000","11","-0.7","","-8.6","","-4.7","","13.5","","-19.7","","88.0","","7.5","","95.5","","","M",,"",,""
"2000-12","2000","12","-14.8","","-25.3","","-20.1","","2.1","","-31.6","","0.0","","20.0","","20.0","","","",,"",,""
"2001-01","2001","01","-6.4","","-16.6","","-11.5","","2.9","S","-27.4","","0.0","","8.0","","8.0","","","",,"",,""
"2001-02","2001","02","-11.8","","-22.2","","-17.0","","-2.2","","-32.4","","0.0","","10.0","","10.0","","","",,"",,""
"2001-03","2001","03","-0.5","","-9.6","","-5.0","","5.9","","-20.2","","9.0","","7.0","","16.0","","0","",,"",,""
"2001-04","2001","04","10.2","","1.0","","5.6","","25.1","","-8.7","","","","","","45.0","","0","",,"",,""
"2001-05","2001","05","19.2","","7.4","","13.4","","26.1","","-0.2","","100.7","","0.0","","100.7","","0","",,"",,""
"2001-06","2001","06","23.5","","11.0","","17.3","","31.7","S","4.8","","62.5","","0.0","","62.5","","0","",,"",,""
"2001-07","2001","07","26.9","","14.2","","20.6","","32.0","","3.0","","189.0","","0.0","","189.0","","0","",,"",,""
"2001-08","2001","08","26.9","","13.1","","20.0","","33.2","","2.7","","24.0","","0.0","","24.0","","0","",,"",,""
"2001-09","2001","09","21.2","","7.3","","14.3","","34.5","","-1.4","","35.5","","0.0","","35.5","","0","",,"",,""
"2001-10","2001","10","9.9","","-0.5","","4.7","","23.3","","-8.7","","21.0","","2.0","","23.0","","0","",,"",,""
"2001-11","2001","11","6.6","","-2.7","","2.0","","15.8","","-10.3","","6.0","","6.5","","12.5","","","M",,"",,""
"2001-12","2001","12","-4.6","","-13.5","","-9.1","","3.2","","-22.1","","0.0","","7.0","","7.0","","","",,"",,""
"2002-01","2002","01","-8.0","","-16.1","","-12.1","","5.5","","-28.3","","0.0","","7.5","","7.5","","","",,"",,""
"2002-02","2002","02","-1.4","","-12.4","","-6.9","","8.0","","-26.0","","0.0","","3.0","","3.0","","","",,"",,""
"2002-03","2002","03","-3.4","","-14.2","","-8.8","","11.6","","-26.3","","0.0","","13.0","","13.0","","","",,"",,""
"2002-04","2002","04","9.0","","-2.9","","3.1","","22.3","","-11.7","","22.5","","1.5","","24.0","","0","",,"",,""
"2002-05","2002","05","15.9","","1.5","","8.7","","31.3","","-5.4","","49.0","","0.0","","49.0","","0","",,"",,""
"2002-06","2002","06","24.8","","12.6","","18.7","","33.5","","3.5","","184.5","","0.0","","184.5","","0","",,"",,""
"2002-07","2002","07","27.6","","14.6","","21.1","","32.0","","7.9","","28.0","","0.0","","28.0","","0","",,"",,""
"2002-08","2002","08","24.8","","12.0","","18.4","","31.3","","4.5","","112.5","","0.0","","112.5","","0","",,"",,""
"2002-09","2002","09","21.3","","8.1","","14.7","","31.0","","-4.8","","40.5","","0.0","","40.5","","0","",,"",,""
"2002-10","2002","10","5.7","","-4.6","","0.6","","17.3","","-12.3","","6.0","","4.5","","10.5","","","",,"",,""
"2002-11","2002","11","0.5","","-9.5","","-4.5","","11.7","","-21.2","","0.0","","6.0","","6.0","","","",,"",,""
"2002-12","2002","12","-3.5","","-12.3","","-7.9","","7.7","","-22.9","","0.0","","6.0","","6.0","","","",,"",,""
"2003-01","2003","01","-9.5","","-18.2","","-13.8","","7.2","","-29.1","","0.0","","5.0","","5.0","","","",,"",,""
"2003-02","2003","02","-11.2","","-22.4","","-16.8","","-1.2","","-32.9","","","","","","5.5","","","",,"",,""
"2003-03","2003","03","-1.0","","-11.2","","-6.1","","16.5","","-31.8","","","","","","11.0","","0","",,"",,""
"2003-04","2003","04","13.1","","-0.7","","6.2","","28.6","","-11.1","","","","","","33.5","","0","",,"",,""
