"Station Name","ENNISMORE"
"Province","ONTARIO"
"Latitude","44.38"
"Longitude","-78.45"
"Elevation",""
"Climate Identifier","6162328"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1882-01","1882","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1882-02","1882","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1882-03","1882","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1882-04","1882","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1882-05","1882","05","","","","","","","","","","","90.7","","0.0","T","90.7","","","",,"",,""
"1882-06","1882","06","","","","","","","","","","","87.6","","0.0","","87.6","","","",,"",,""
"1882-07","1882","07","","","","","","","","","","","51.1","","0.0","","51.1","","","",,"",,""
"1882-08","1882","08","","","","","","","","","","","57.7","","0.0","","57.7","","","",,"",,""
"1882-09","1882","09","","","","","","","","","","","80.8","","0.0","","80.8","","","",,"",,""
"1882-10","1882","10","","","","","","","","","","","23.9","","0.0","T","23.9","","","",,"",,""
"1882-11","1882","11","","","","","","","","","","","32.0","","27.9","","59.9","","","",,"",,""
"1882-12","1882","12","","","","","","","","","","","16.5","","50.0","","66.5","","","",,"",,""
"1883-01","1883","01","","","","","","","","","","","2.8","","45.0","","47.8","","","",,"",,""
"1883-02","1883","02","","","","","","","","","","","37.1","","33.8","","70.9","","","",,"",,""
"1883-03","1883","03","","","","","","","","","","","34.3","","38.6","","72.9","","","",,"",,""
"1883-04","1883","04","","","","","","","","","","","47.2","","3.0","","50.3","","","",,"",,""
"1883-05","1883","05","","","","","","","","","","","118.6","","0.0","T","118.6","","","",,"",,""
"1883-06","1883","06","","","","","","","","","","","216.9","","0.0","","216.9","","","",,"",,""
"1883-07","1883","07","","","","","","","","","","","66.5","","0.0","","66.5","","","",,"",,""
"1883-08","1883","08","","","","","","","","","","","68.6","","0.0","","68.6","","","",,"",,""
"1883-09","1883","09","","","","","","","","","","","76.7","","0.0","","76.7","","","",,"",,""
"1883-10","1883","10","","","","","","","","","","","55.6","","0.0","T","55.6","","","",,"",,""
"1883-11","1883","11","","","","","","","","","","","28.4","","26.7","","55.1","","","",,"",,""
"1883-12","1883","12","","","","","","","","","","","26.9","","35.6","","62.5","","","",,"",,""
"1884-01","1884","01","","","","","","","","","","","8.9","","86.9","","95.8","","","",,"",,""
"1884-02","1884","02","","","","","","","","","","","40.1","","50.5","","90.7","","","",,"",,""
"1884-03","1884","03","","","","","","","","","","","36.3","","23.1","","59.4","","","",,"",,""
"1884-04","1884","04","","","","","","","","","","","12.7","","3.6","","16.3","","","",,"",,""
"1884-05","1884","05","","","","","","","","","","","69.3","","0.0","T","69.3","","","",,"",,""
"1884-06","1884","06","","","","","","","","","","","46.7","","0.0","","46.7","","","",,"",,""
"1884-07","1884","07","","","","","","","","","","","71.1","","0.0","","71.1","","","",,"",,""
"1884-08","1884","08","","","","","","","","","","","71.1","","0.0","","71.1","","","",,"",,""
"1884-09","1884","09","","","","","","","","","","","80.5","","0.0","","80.5","","","",,"",,""
"1884-10","1884","10","","","","","","","","","","","52.8","","4.6","","57.4","","","",,"",,""
"1884-11","1884","11","","","","","","","","","","","52.6","","25.4","","78.0","","","",,"",,""
"1884-12","1884","12","","","","","","","","","","","59.2","","36.3","","95.5","","","",,"",,""
"1885-01","1885","01","","","","","","","","","","","20.1","","28.7","","48.8","","","",,"",,""
"1885-02","1885","02","","","","","","","","","","","0.0","","42.2","","42.2","","","",,"",,""
"1885-03","1885","03","","","","","","","","","","","3.8","","43.2","","47.0","","","",,"",,""
"1885-04","1885","04","","","","","","","","","","","52.8","","39.9","","92.7","","","",,"",,""
"1885-05","1885","05","","","","","","","","","","","48.5","","9.7","","58.2","","","",,"",,""
"1885-06","1885","06","","","","","","","","","","","70.4","","0.0","","70.4","","","",,"",,""
"1885-07","1885","07","","","","","","","","","","","67.6","","0.0","","67.6","","","",,"",,""
"1885-08","1885","08","","","","","","","","","","","133.1","","0.0","","133.1","","","",,"",,""
"1885-09","1885","09","","","","","","","","","","","114.3","","0.0","","114.3","","","",,"",,""
"1885-10","1885","10","","","","","","","","","","","81.8","","0.0","T","81.8","","","",,"",,""
"1885-11","1885","11","","","","","","","","","","","65.0","","10.2","","75.2","","","",,"",,""
"1885-12","1885","12","","","","","","","","","","","25.7","","45.7","","71.4","","","",,"",,""
"1886-01","1886","01","","","","","","","","","","","40.6","","64.8","","105.4","","","",,"",,""
"1886-02","1886","02","","","","","","","","","","","39.4","","36.8","","76.2","","","",,"",,""
"1886-03","1886","03","","","","","","","","","","","89.7","","25.4","","115.1","","","",,"",,""
"1886-04","1886","04","","","","","","","","","","","31.5","","12.7","","44.2","","","",,"",,""
"1886-05","1886","05","","","","","","","","","","","49.3","","0.0","","49.3","","","",,"",,""
"1886-06","1886","06","","","","","","","","","","","76.2","","0.0","","76.2","","","",,"",,""
"1886-07","1886","07","","","","","","","","","","","90.2","","0.0","","90.2","","","",,"",,""
"1886-08","1886","08","","","","","","","","","","","90.4","","0.0","","90.4","","","",,"",,""
"1886-09","1886","09","","","","","","","","","","","103.1","","0.0","","103.1","","","",,"",,""
"1886-10","1886","10","","","","","","","","","","","41.9","","","M","41.9","","","",,"",,""
"1886-11","1886","11","","","","","","","","","","","54.1","","19.1","","73.2","","","",,"",,""
"1886-12","1886","12","","","","","","","","","","","6.6","","43.2","","49.8","","","",,"",,""
"1887-01","1887","01","","","","","","","","","","","33.5","","50.3","","83.8","","","",,"",,""
"1887-02","1887","02","","","","","","","","","","","43.7","","64.3","","108.0","","","",,"",,""
"1887-03","1887","03","","","","","","","","","","","33.8","","35.6","","69.3","","","",,"",,""
"1887-04","1887","04","","","","","","","","","","","45.7","","5.1","","50.8","","","",,"",,""
"1887-05","1887","05","","","","","","","","","","","29.7","","0.0","","29.7","","","",,"",,""
"1887-06","1887","06","","","","","","","","","","","48.8","","0.0","","48.8","","","",,"",,""
"1887-07","1887","07","","","","","","","","","","","61.2","","0.0","","61.2","","","",,"",,""
"1887-08","1887","08","","","","","","","","","","","75.4","","0.0","","75.4","","","",,"",,""
"1887-09","1887","09","","","","","","","","","","","16.5","","0.0","","16.5","","","",,"",,""
"1887-10","1887","10","","","","","","","","","","","39.6","","5.1","","44.7","","","",,"",,""
"1887-11","1887","11","","","","","","","","","","","81.8","","25.4","","107.2","","","",,"",,""
"1887-12","1887","12","","","","","","","","","","","52.3","","31.8","","84.1","","","",,"",,""
"1888-01","1888","01","","","","","","","","","","","7.9","","31.8","","39.6","","","",,"",,""
"1888-02","1888","02","","","","","","","","","","","8.6","","29.2","","37.8","","","",,"",,""
"1888-03","1888","03","","","","","","","","","","","37.3","","30.5","","67.8","","","",,"",,""
"1888-04","1888","04","","","","","","","","","","","31.5","","7.6","","39.1","","","",,"",,""
"1888-05","1888","05","","","","","","","","","","","37.1","","0.0","T","37.1","","","",,"",,""
"1888-06","1888","06","","","","","","","","","","","47.5","","0.0","","47.5","","","",,"",,""
"1888-07","1888","07","","","","","","","","","","","23.1","","0.0","","23.1","","","",,"",,""
"1888-08","1888","08","","","","","","","","","","","69.6","","0.0","","69.6","","","",,"",,""
"1888-09","1888","09","","","","","","","","","","","110.7","","0.0","T","110.7","","","",,"",,""
"1888-10","1888","10","","","","","","","","","","","54.4","","2.5","","56.9","","","",,"",,""
"1888-11","1888","11","","","","","","","","","","","111.8","","5.1","","116.8","","","",,"",,""
"1888-12","1888","12","","","","","","","","","","","30.0","","12.7","","42.7","","","",,"",,""
"1889-01","1889","01","","","","","","","","","","","27.7","","54.6","","82.3","","","",,"",,""
"1889-02","1889","02","","","","","","","","","","","3.8","","45.7","","49.5","","","",,"",,""
"1889-03","1889","03","","","","","","","","","","","0.0","","8.9","","8.9","","","",,"",,""
"1889-04","1889","04","","","","","","","","","","","25.4","","1.3","","26.7","","","",,"",,""
"1889-05","1889","05","","","","","","","","","","","115.3","","0.0","","115.3","","","",,"",,""
"1889-06","1889","06","","","","","","","","","","","78.0","","0.0","","78.0","","","",,"",,""
"1889-07","1889","07","","","","","","","","","","","109.2","","0.0","","109.2","","","",,"",,""
"1889-08","1889","08","","","","","","","","","","","47.8","","0.0","","47.8","","","",,"",,""
"1889-09","1889","09","","","","","","","","","","","61.2","","0.0","","61.2","","","",,"",,""
"1889-10","1889","10","","","","","","","","","","","38.9","","0.0","T","38.9","","","",,"",,""
"1889-11","1889","11","","","","","","","","","","","80.8","","40.6","","121.4","","","",,"",,""
"1889-12","1889","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-01","1890","01","","","","","","","","","","","73.2","","45.7","","118.9","","","",,"",,""
"1890-02","1890","02","","","","","","","","","","","45.7","","35.6","","81.3","","","",,"",,""
"1890-03","1890","03","","","","","","","","","","","25.9","","36.8","","62.7","","","",,"",,""
"1890-04","1890","04","","","","","","","","","","","58.2","","0.0","T","58.2","","","",,"",,""
"1890-05","1890","05","","","","","","","","","","","67.6","","0.0","T","67.6","","","",,"",,""
"1890-06","1890","06","","","","","","","","","","","62.5","","0.0","","62.5","","","",,"",,""
"1890-07","1890","07","","","","","","","","","","","121.9","","0.0","","121.9","","","",,"",,""
"1890-08","1890","08","","","","","","","","","","","107.2","","0.0","","107.2","","","",,"",,""
"1890-09","1890","09","","","","","","","","","","","53.3","","0.0","","53.3","","","",,"",,""
"1890-10","1890","10","","","","","","","","","","","58.2","","0.0","","58.2","","","",,"",,""
"1890-11","1890","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-12","1890","12","","","","","","","","","","","2.8","","25.4","","28.2","","","",,"",,""
"1891-01","1891","01","","","","","","","","","","","23.9","","33.0","","56.9","","","",,"",,""
"1891-02","1891","02","","","","","","","","","","","22.1","","34.3","","56.4","","","",,"",,""
"1891-03","1891","03","","","","","","","","","","","58.2","","47.0","","105.2","","","",,"",,""
"1891-04","1891","04","","","","","","","","","","","17.0","","0.0","","17.0","","","",,"",,""
"1891-05","1891","05","","","","","","","","","","","10.2","","0.0","","10.2","","","",,"",,""
"1891-06","1891","06","","","","","","","","","","","26.4","","0.0","","26.4","","","",,"",,""
"1891-07","1891","07","","","","","","","","","","","67.1","","0.0","","67.1","","","",,"",,""
"1891-08","1891","08","","","","","","","","","","","74.7","","0.0","","74.7","","","",,"",,""
"1891-09","1891","09","","","","","","","","","","","22.9","","0.0","","22.9","","","",,"",,""
"1891-10","1891","10","","","","","","","","","","","54.1","","0.0","","54.1","","","",,"",,""
"1891-11","1891","11","","","","","","","","","","","64.8","","7.6","","72.4","","","",,"",,""
"1891-12","1891","12","","","","","","","","","","","61.2","","15.2","","76.5","","","",,"",,""
"1892-01","1892","01","","","","","","","","","","","2.5","","36.8","","39.4","","","",,"",,""
"1892-02","1892","02","","","","","","","","","","","0.0","","33.0","","33.0","","","",,"",,""
"1892-03","1892","03","","","","","","","","","","","3.0","","7.6","","10.7","","","",,"",,""
"1892-04","1892","04","","","","","","","","","","","19.8","","0.0","","19.8","","","",,"",,""
"1892-05","1892","05","","","","","","","","","","","62.5","","0.0","","62.5","","","",,"",,""
"1892-06","1892","06","","","","","","","","","","","80.0","","0.0","","80.0","","","",,"",,""
"1892-07","1892","07","","","","","","","","","","","57.2","","0.0","","57.2","","","",,"",,""
"1892-08","1892","08","","","","","","","","","","","161.3","","0.0","","161.3","","","",,"",,""
"1892-09","1892","09","","","","","","","","","","","78.7","","0.0","","78.7","","","",,"",,""
"1892-10","1892","10","","","","","","","","","","","38.4","","0.0","T","38.4","","","",,"",,""
"1892-11","1892","11","","","","","","","","","","","61.0","","17.8","","78.7","","","",,"",,""
"1892-12","1892","12","","","","","","","","","","","0.0","","20.3","","20.3","","","",,"",,""
"1893-01","1893","01","","","","","","","","","","","12.7","","36.8","","49.5","","","",,"",,""
"1893-02","1893","02","","","","","","","","","","","0.0","","35.6","","35.6","","","",,"",,""
"1893-03","1893","03","","","","","","","","","","","9.4","","17.8","","27.2","","","",,"",,""
"1893-04","1893","04","","","","","","","","","","","49.3","","19.1","","68.3","","","",,"",,""
"1893-05","1893","05","","","","","","","","","","","123.7","","0.0","","123.7","","","",,"",,""
"1893-06","1893","06","","","","","","","","","","","41.4","","0.0","","41.4","","","",,"",,""
"1893-07","1893","07","","","","","","","","","","","79.2","","0.0","","79.2","","","",,"",,""
"1893-08","1893","08","","","","","","","","","","","85.6","","0.0","","85.6","","","",,"",,""
"1893-09","1893","09","","","","","","","","","","","39.4","","0.0","","39.4","","","",,"",,""
"1893-10","1893","10","","","","","","","","","","","84.6","","2.5","","87.1","","","",,"",,""
"1893-11","1893","11","","","","","","","","","","","75.4","","17.8","","93.2","","","",,"",,""
"1893-12","1893","12","","","","","","","","","","","19.1","","52.1","","71.1","","","",,"",,""
"1894-01","1894","01","","","","","","","","","","","33.0","","25.4","","58.4","","","",,"",,""
"1894-02","1894","02","","","","","","","","","","","0.0","T","30.5","","30.5","","","",,"",,""
"1894-03","1894","03","","","","","","","","","","","26.2","","10.2","","36.3","","","",,"",,""
"1894-04","1894","04","","","","","","","","","","","25.4","","5.1","","30.5","","","",,"",,""
"1894-05","1894","05","","","","","","","","","","","179.8","","0.0","","179.8","","","",,"",,""
"1894-06","1894","06","","","","","","","","","","","49.3","","0.0","","49.3","","","",,"",,""
"1894-07","1894","07","","","","","","","","","","","29.2","","0.0","","29.2","","","",,"",,""
"1894-08","1894","08","","","","","","","","","","","58.4","","0.0","","58.4","","","",,"",,""
"1894-09","1894","09","","","","","","","","","","","64.8","","0.0","","64.8","","","",,"",,""
"1894-10","1894","10","","","","","","","","","","","95.0","","0.0","","95.0","","","",,"",,""
"1894-11","1894","11","","","","","","","","","","","2.5","","14.0","","16.5","","","",,"",,""
"1894-12","1894","12","","","","","","","","","","","43.2","","20.3","","63.5","","","",,"",,""
"1895-01","1895","01","","","","","","","","","","","12.7","","49.5","","62.2","","","",,"",,""
"1895-02","1895","02","","","","","","","","","","","0.0","","24.1","","24.1","","","",,"",,""
"1895-03","1895","03","","","","","","","","","","","10.2","","20.3","","30.5","","","",,"",,""
"1895-04","1895","04","","","","","","","","","","","27.4","","10.2","","37.6","","","",,"",,""
"1895-05","1895","05","","","","","","","","","","","51.6","","0.0","T","51.6","","","",,"",,""
"1895-06","1895","06","","","","","","","","","","","19.8","","0.0","","19.8","","","",,"",,""
"1895-07","1895","07","","","","","","","","","","","56.6","","0.0","","56.6","","","",,"",,""
"1895-08","1895","08","","","","","","","","","","","70.6","","0.0","","70.6","","","",,"",,""
"1895-09","1895","09","","","","","","","","","","","79.5","","0.0","","79.5","","","",,"",,""
"1895-10","1895","10","","","","","","","","","","","47.5","","22.9","","70.4","","","",,"",,""
"1895-11","1895","11","","","","","","","","","","","66.0","","1.0","","67.1","","","",,"",,""
"1895-12","1895","12","","","","","","","","","","","50.8","","15.2","","66.0","","","",,"",,""
"1896-01","1896","01","","","","","","","","","","","0.0","","30.5","","30.5","","","",,"",,""
"1896-02","1896","02","","","","","","","","","","","6.4","","78.7","","85.1","","","",,"",,""
"1896-03","1896","03","","","","","","","","","","","3.8","","15.2","","19.1","","","",,"",,""
"1896-04","1896","04","","","","","","","","","","","22.6","","3.8","","26.4","","","",,"",,""
"1896-05","1896","05","","","","","","","","","","","24.9","","0.0","","24.9","","","",,"",,""
"1896-06","1896","06","","","","","","","","","","","100.3","","0.0","","100.3","","","",,"",,""
"1896-07","1896","07","","","","","","","","","","","53.3","","0.0","","53.3","","","",,"",,""
"1896-08","1896","08","","","","","","","","","","","25.4","","0.0","","25.4","","","",,"",,""
"1896-09","1896","09","","","","","","","","","","","127.8","","0.0","","127.8","","","",,"",,""
"1896-10","1896","10","","","","","","","","","","","43.4","","5.1","","48.5","","","",,"",,""
"1896-11","1896","11","","","","","","","","","","","71.1","","5.1","","76.2","","","",,"",,""
"1896-12","1896","12","","","","","","","","","","","0.0","","7.6","","7.6","","","",,"",,""
"1897-01","1897","01","","","","","","","","","","","20.3","","38.1","","58.4","","","",,"",,""
"1897-02","1897","02","","","","","","","","","","","6.4","","29.2","","35.6","","","",,"",,""
"1897-03","1897","03","","","","","","","","","","","5.1","","38.1","","43.2","","","",,"",,""
"1897-04","1897","04","","","","","","","","","","","46.7","","5.1","","51.8","","","",,"",,""
"1897-05","1897","05","","","","","","","","","","","112.0","","0.0","","112.0","","","",,"",,""
"1897-06","1897","06","","","","","","","","","","","76.7","","0.0","","76.7","","","",,"",,""
"1897-07","1897","07","","","","","","","","","","","137.7","","0.0","","137.7","","","",,"",,""
"1897-08","1897","08","","","","","","","","","","","53.3","","0.0","","53.3","","","",,"",,""
"1897-09","1897","09","","","","","","","","","","","33.3","","0.0","","33.3","","","",,"",,""
"1897-10","1897","10","","","","","","","","","","","50.0","","0.0","","50.0","","","",,"",,""
"1897-11","1897","11","","","","","","","","","","","70.4","","34.3","","104.6","","","",,"",,""
"1897-12","1897","12","","","","","","","","","","","27.9","","63.5","","91.4","","","",,"",,""
"1898-01","1898","01","","","","","","","","","","","16.0","","55.9","","71.9","","","",,"",,""
"1898-02","1898","02","","","","","","","","","","","6.4","","76.2","","82.6","","","",,"",,""
"1898-03","1898","03","","","","","","","","","","","45.7","","0.0","","45.7","","","",,"",,""
"1898-04","1898","04","","","","","","","","","","","21.6","","5.1","","26.7","","","",,"",,""
"1898-05","1898","05","","","","","","","","","","","77.5","","0.0","","77.5","","","",,"",,""
"1898-06","1898","06","","","","","","","","","","","62.5","","0.0","","62.5","","","",,"",,""
"1898-07","1898","07","","","","","","","","","","","30.0","","0.0","","30.0","","","",,"",,""
"1898-08","1898","08","","","","","","","","","","","64.3","","0.0","","64.3","","","",,"",,""
"1898-09","1898","09","","","","","","","","","","","117.3","","0.0","","117.3","","","",,"",,""
"1898-10","1898","10","","","","","","","","","","","143.0","","0.0","","143.0","","","",,"",,""
"1898-11","1898","11","","","","","","","","","","","26.7","","22.9","","49.5","","","",,"",,""
"1898-12","1898","12","","","","","","","","","","","12.7","","57.2","","69.9","","","",,"",,""
"1899-01","1899","01","","","","","","","","","","","40.6","","33.0","","73.7","","","",,"",,""
"1899-02","1899","02","","","","","","","","","","","2.5","","11.4","","14.0","","","",,"",,""
"1899-03","1899","03","","","","","","","","","","","38.1","","43.2","","81.3","","","",,"",,""
"1899-04","1899","04","","","","","","","","","","","23.9","","10.2","","34.0","","","",,"",,""
"1899-05","1899","05","","","","","","","","","","","104.6","","0.0","","104.6","","","",,"",,""
"1899-06","1899","06","","","","","","","","","","","117.6","","0.0","","117.6","","","",,"",,""
"1899-07","1899","07","","","","","","","","","","","38.6","","0.0","","38.6","","","",,"",,""
"1899-08","1899","08","","","","","","","","","","","15.2","","0.0","","15.2","","","",,"",,""
"1899-09","1899","09","","","","","","","","","","","100.1","","0.0","","100.1","","","",,"",,""
