"Station Name","EQUITY SILVER"
"Province","BRITISH COLUMBIA"
"Latitude","54.20"
"Longitude","-126.28"
"Elevation","1280.00"
"Climate Identifier","1072692"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1981-01","1981","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-02","1981","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-03","1981","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-04","1981","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-05","1981","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-06","1981","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-07","1981","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-08","1981","08","","M","","M","","M","","M","","M","","M","0.0","","","M","0","",,"",,""
"1981-09","1981","09","11.9","","2.7","","7.3","","24.0","","-4.0","S","51.3","","0.0","","51.3","","0","",,"",,""
"1981-10","1981","10","5.6","","-1.4","","2.1","","15.0","","","M","28.8","","9.2","","38.0","","0","",,"",,""
"1981-11","1981","11","2.6","","-4.9","","-1.2","","8.0","S","-13.0","S","4.0","","28.4","","32.4","","16","",,"",,""
"1981-12","1981","12","-6.5","","-12.6","","-9.6","","0.0","","-27.0","S","0.0","","42.2","","42.2","","28","",,"",,""
"1982-01","1982","01","-9.1","","-21.8","","-15.5","","0.0","S","-44.0","","0.0","","104.0","","104.0","","","M",,"",,""
"1982-02","1982","02","-3.6","","-14.4","","-9.0","","4.0","","-26.0","","0.0","","70.0","","70.0","","","M",,"",,""
"1982-03","1982","03","","M","","M","","M","","M","","M","0.0","","19.0","","19.0","","","M",,"",,""
"1982-04","1982","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-05","1982","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-06","1982","06","20.4","","7.3","","13.9","","29.0","","2.0","S","","M","0.0","","","M","0","",,"",,""
"1982-07","1982","07","17.8","","8.0","","12.9","","28.0","S","4.0","S","66.6","","0.0","","66.6","","0","",,"",,""
"1982-08","1982","08","15.9","","7.3","","11.6","","27.0","","2.0","S","48.1","","0.0","","48.1","","0","",,"",,""
"1982-09","1982","09","14.2","","5.6","","9.9","","21.0","","-2.0","","63.6","","0.0","","63.6","","0","",,"",,""
"1982-10","1982","10","5.6","","-1.9","","1.9","","15.0","","-9.0","S","52.5","","28.0","","80.5","","0","",,"",,""
"1982-11","1982","11","-4.4","","-11.7","","-8.1","","7.0","","-30.0","","0.0","","42.8","","42.8","","","M",,"",,""
"1982-12","1982","12","-5.5","","-12.0","","-8.8","","5.0","","-20.0","S","0.0","","38.4","E","38.4","E","","M",,"",,""
"1983-01","1983","01","-2.9","","-11.4","","-7.2","","3.0","S","","M","0.0","","29.5","","29.5","","86","",,"",,""
"1983-02","1983","02","0.3","","-7.5","","-3.6","","6.0","","-14.0","S","0.0","","26.0","","26.0","","","M",,"",,""
"1983-03","1983","03","2.6","","-8.8","","-3.1","","7.0","S","-15.0","S","0.0","","9.5","","9.5","","","M",,"",,""
"1983-04","1983","04","8.7","","-1.9","","3.4","","18.0","","-6.0","S","0.0","","3.0","","3.0","","","M",,"",,""
"1983-05","1983","05","14.4","","4.2","","9.3","","30.0","S","-1.0","S","15.0","","0.0","T","15.0","","0","",,"",,""
"1983-06","1983","06","13.4","","4.0","","8.7","","25.0","","0.0","S","122.4","","1.0","","123.4","","0","",,"",,""
"1983-07","1983","07","16.4","","5.4","","10.9","","23.0","","-2.0","","130.1","","0.0","","130.1","","0","",,"",,""
"1983-08","1983","08","15.9","","5.2","","10.6","","24.0","S","1.0","","39.6","","0.0","","39.6","","0","",,"",,""
"1983-09","1983","09","10.6","","1.0","","5.8","","18.0","S","-5.0","S","62.7","E","0.0","T","62.7","E","0","",,"",,""
"1983-10","1983","10","","M","-2.4","","","M","","M","-6.0","S","","M","","M","","M","","M",,"",,""
"1983-11","1983","11","","M","-7.0","","","M","","M","-16.0","","0.0","T","59.3","E","54.2","E","","M",,"",,""
"1983-12","1983","12","-9.2","","-18.2","","-13.7","","1.0","","-27.0","","0.0","","45.7","","45.7","","","M",,"",,""
"1984-01","1984","01","-1.7","","-9.5","","-5.6","","3.0","S","-23.0","","5.0","E","51.2","E","56.2","E","86","",,"",,""
"1984-02","1984","02","0.8","E","-5.8","","-2.5","E","6.0","S","-13.0","","1.5","E","90.7","E","92.2","E","","M",,"",,""
"1984-03","1984","03","4.7","","-3.2","","0.8","","","M","","M","0.2","","27.5","E","27.7","E","","M",,"",,""
"1984-04","1984","04","8.7","","0.9","","4.8","","13.0","","-6.0","S","","M","5.0","","","M","","M",,"",,""
