"Station Name","ERIKSDALE 2"
"Province","MANITOBA"
"Latitude","50.88"
"Longitude","-98.00"
"Elevation","267.30"
"Climate Identifier","5040897"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-05","1962","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-06","1962","06","","","","","","","","","","","28.2","","0.0","","28.2","","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","53.8","","0.0","","53.8","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","138.9","","0.0","","138.9","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","11.2","","0.0","","11.2","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","39.4","","2.0","","41.4","","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","11.2","","22.9","","34.0","","15","",,"",,""
"1962-12","1962","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-01","1963","01","","","","","","","","","","","0.0","T","8.4","","8.4","","","M",,"",,""
"1963-02","1963","02","","","","","","","","","","","0.0","T","31.2","","31.2","","","M",,"",,""
"1963-03","1963","03","","","","","","","","","","","6.1","","19.8","","25.9","","0","",,"",,""
"1963-04","1963","04","","","","","","","","","","","62.5","","6.4","","68.8","","0","",,"",,""
"1963-05","1963","05","","","","","","","","","","","42.7","","3.8","","46.5","","0","",,"",,""
"1963-06","1963","06","","","","","","","","","","","204.7","","0.0","","204.7","","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1963-08","1963","08","","","","","","","","","","","41.1","","0.0","","41.1","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","14.0","","0.0","","14.0","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","5.6","","0.0","","5.6","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","0.0","T","","M","","M","","M",,"",,""
"1963-12","1963","12","","","","","","","","","","","0.0","","12.7","","12.7","","","M",,"",,""
"1964-01","1964","01","","","","","","","","","","","0.0","T","43.7","","43.7","","","M",,"",,""
"1964-02","1964","02","","","","","","","","","","","0.0","","7.6","","7.6","","38","",,"",,""
"1964-03","1964","03","","","","","","","","","","","1.0","","61.2","","62.2","","","M",,"",,""
"1964-04","1964","04","","","","","","","","","","","22.1","","2.0","","24.1","","0","",,"",,""
"1964-05","1964","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-06","1964","06","","","","","","","","","","","68.3","","0.0","","68.3","","0","",,"",,""
"1964-07","1964","07","","","","","","","","","","","47.8","","0.0","","47.8","","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","97.3","","0.0","","97.3","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","33.3","","0.0","","33.3","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","10.7","","0.0","T","10.7","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","8.6","","15.5","","24.1","","","M",,"",,""
"1964-12","1964","12","","","","","","","","","","","0.0","T","54.1","","54.1","","48","",,"",,""
"1965-01","1965","01","","","","","","","","","","","0.0","","4.8","","4.8","","","M",,"",,""
"1965-02","1965","02","","","","","","","","","","","0.0","","25.4","","25.4","","","M",,"",,""
"1965-03","1965","03","","","","","","","","","","","0.0","T","5.8","","5.8","","","M",,"",,""
"1965-04","1965","04","","","","","","","","","","","26.2","","37.8","","64.0","","0","",,"",,""
"1965-05","1965","05","","","","","","","","","","","99.6","","2.8","","102.4","","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","46.0","","0.0","","46.0","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","110.0","","0.0","","110.0","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","45.7","","0.0","","45.7","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","65.8","","0.0","T","65.8","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","0.0","T","0.0","","0.0","T","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","0.0","","54.1","","54.1","","","M",,"",,""
"1965-12","1965","12","","","","","","","","","","","0.0","T","36.8","","36.8","","","M",,"",,""
"1966-01","1966","01","","","","","","","","","","","0.0","","20.8","","20.8","","","M",,"",,""
"1966-02","1966","02","","","","","","","","","","","0.0","","8.1","","8.1","","","M",,"",,""
"1966-03","1966","03","","","","","","","","","","","6.9","","7.9","","14.7","","","M",,"",,""
"1966-04","1966","04","","","","","","","","","","","1.0","","34.3","","35.3","","18","",,"",,""
"1966-05","1966","05","","","","","","","","","","","32.5","","0.0","T","32.5","","0","",,"",,""
"1966-06","1966","06","","","","","","","","","","","39.9","","0.0","","39.9","","0","",,"",,""
"1966-07","1966","07","","","","","","","","","","","62.5","","0.0","","62.5","","0","",,"",,""
"1966-08","1966","08","","","","","","","","","","","35.1","","0.0","","35.1","","0","",,"",,""
"1966-09","1966","09","","","","","","","","","","","30.0","","0.0","","30.0","","0","",,"",,""
"1966-10","1966","10","","","","","","","","","","","22.1","","13.2","","35.3","","0","T",,"",,""
"1966-11","1966","11","","","","","","","","","","","0.0","T","34.8","","34.8","","","M",,"",,""
"1966-12","1966","12","","","","","","","","","","","0.0","T","28.4","","28.4","","","M",,"",,""
"1967-01","1967","01","","M","","M","","M","","M","","M","0.0","T","41.4","E","41.4","E","","M",,"",,""
"1967-02","1967","02","","M","","M","","M","","M","","M","0.0","","15.0","","15.0","","","M",,"",,""
"1967-03","1967","03","","M","","M","","M","","M","","M","6.9","","26.4","","33.3","","","M",,"",,""
