"Station Name","FAIRFORD"
"Province","MANITOBA"
"Latitude","51.58"
"Longitude","-98.67"
"Elevation","253.00"
"Climate Identifier","5040910"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-05","1973","05","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-06","1973","06","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-07","1973","07","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-08","1973","08","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-09","1973","09","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-10","1973","10","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-11","1973","11","","M","","","","","","","","M","","M","","M","","M","","M",,"",,""
"1973-12","1973","12","-13.9","","","","","","","","-37.2","","0.0","","16.3","","16.3","","46","",,"",,""
"1974-01","1974","01","-18.4","","-28.9","","-23.7","","-1.7","","-41.1","","0.0","","34.5","","34.5","","61","",,"",,""
"1974-02","1974","02","-10.7","","-25.7","","-18.2","","0.0","","-40.0","","2.5","E","7.4","","9.9","E","64","",,"",,""
"1974-03","1974","03","-5.9","","-18.2","","-12.1","","4.4","","-33.9","","0.0","","15.2","","15.2","","74","",,"",,""
"1974-04","1974","04","6.9","E","-4.8","E","1.1","E","25.0","","","M","5.1","E","2.5","","7.6","E","0","",,"",,""
"1974-05","1974","05","11.4","","2.5","","7.0","","20.6","","-3.9","S","113.0","E","7.4","E","120.4","E","0","",,"",,""
"1974-06","1974","06","22.9","","9.7","","16.3","","30.6","","3.9","S","27.2","","0.0","","27.2","","0","",,"",,""
"1974-07","1974","07","25.9","","14.2","","20.1","","32.2","","6.7","","42.9","E","0.0","","42.9","E","0","",,"",,""
"1974-08","1974","08","22.1","","10.3","","16.2","","32.2","","2.2","","52.1","","0.0","","52.1","","0","",,"",,""
"1974-09","1974","09","14.9","","3.3","","9.1","","","M","","M","56.9","","0.0","T","56.9","","0","",,"",,""
"1974-10","1974","10","11.2","","-0.6","","5.3","","21.7","","-8.3","","6.1","","1.3","","7.4","","0","T",,"",,""
"1974-11","1974","11","0.4","","-7.9","","-3.8","","11.7","","-25.6","","0.0","T","3.0","","3.0","","3","",,"",,""
"1974-12","1974","12","-4.6","E","-12.8","E","-8.7","E","3.9","","-23.3","","0.0","T","15.7","E","15.7","E","15","",,"",,""
"1975-01","1975","01","-10.8","","-22.1","","-16.5","","-1.7","","-36.1","","0.0","","12.4","","12.4","","41","",,"",,""
"1975-02","1975","02","-10.3","","-22.1","","-16.2","","2.2","S","-33.9","","0.0","","7.4","","7.4","","51","",,"",,""
"1975-03","1975","03","-6.0","","-17.2","","-11.6","","6.7","","-31.7","","0.0","","19.3","","19.3","","56","",,"",,""
"1975-04","1975","04","6.7","","-4.7","","1.0","","16.7","","-24.4","","27.2","E","14.2","","41.4","E","0","",,"",,""
"1975-05","1975","05","17.1","","4.2","","10.7","","25.6","","-2.2","","44.7","","0.0","","44.7","","0","",,"",,""
"1975-06","1975","06","21.4","","9.4","","15.4","","29.4","","2.8","S","85.6","","0.0","","85.6","","0","",,"",,""
"1975-07","1975","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-08","1975","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-09","1975","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-10","1975","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-11","1975","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-12","1975","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
