"Station Name","FARMINGTON"
"Province","NOVA SCOTIA"
"Latitude","44.63"
"Longitude","-64.67"
"Elevation","151.50"
"Climate Identifier","8201766"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01","1982","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-02","1982","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-03","1982","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-04","1982","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-05","1982","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-06","1982","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-07","1982","07","24.7","","13.0","","18.9","","30.5","","6.0","","73.2","","0.0","","73.2","","0","",,"",,""
"1982-08","1982","08","21.4","","11.7","","16.6","","28.5","","4.0","","68.6","","0.0","","68.6","","0","",,"",,""
"1982-09","1982","09","20.0","","10.1","","15.1","","26.5","S","3.0","","87.4","","0.0","","87.4","","0","",,"",,""
"1982-10","1982","10","13.3","","3.6","","8.5","","21.0","","-3.0","","29.7","","0.0","","29.7","","0","",,"",,""
"1982-11","1982","11","9.0","","1.4","","5.2","","20.0","","-12.0","","99.1","","0.0","T","99.1","","0","",,"",,""
"1982-12","1982","12","3.8","","-5.1","","-0.7","","16.0","","-20.0","","53.5","","35.9","","89.4","","2","",,"",,""
"1983-01","1983","01","0.0","","-7.9","","-4.0","","12.5","","-19.0","S","64.3","","19.0","","83.3","","0","",,"",,""
"1983-02","1983","02","-0.4","","-8.3","","-4.4","","10.0","","-17.0","","28.8","","62.0","","90.8","","40","",,"",,""
"1983-03","1983","03","4.1","","-3.0","","0.6","","12.0","","-12.0","","140.9","","6.0","","146.9","","1","",,"",,""
"1983-04","1983","04","10.0","","1.7","","5.9","","21.5","","-6.0","","117.9","","5.0","","122.9","","0","",,"",,""
"1983-05","1983","05","15.0","","6.4","","10.7","","21.0","S","-1.0","","151.9","","0.0","","151.9","","0","",,"",,""
"1983-06","1983","06","22.0","","11.0","","16.5","","32.5","","5.5","S","37.8","","0.0","","37.8","","0","",,"",,""
"1983-07","1983","07","24.1","","13.8","","19.0","","30.0","","6.5","","104.4","","0.0","","104.4","","0","",,"",,""
"1983-08","1983","08","23.2","","13.5","","18.4","","28.0","S","8.0","","137.4","","0.0","","137.4","","0","",,"",,""
"1983-09","1983","09","21.6","","10.5","","16.1","","28.5","S","3.0","","48.8","","0.0","","48.8","","0","",,"",,""
"1983-10","1983","10","13.6","","5.1","","9.4","","24.5","","-2.5","","64.6","","0.0","","64.6","","0","",,"",,""
"1983-11","1983","11","7.7","","0.3","","4.0","","14.5","S","-7.5","","138.0","","0.0","T","138.0","","0","",,"",,""
"1983-12","1983","12","1.9","","-6.7","","-2.4","","18.0","","-20.0","","134.8","","36.5","","171.3","","3","",,"",,""
"1984-01","1984","01","-1.8","E","-9.5","E","-5.7","E","7.5","","-20.0","","99.6","","42.0","","141.6","","1","",,"",,""
"1984-02","1984","02","3.1","","-4.8","","-0.9","","14.0","","-21.5","","105.0","","13.0","","118.0","","2","",,"",,""
"1984-03","1984","03","1.5","","-6.3","","-2.4","","14.5","","-19.0","","137.8","","42.0","","179.8","","5","",,"",,""
"1984-04","1984","04","9.4","","-0.3","","4.6","","22.5","","-6.0","","111.6","","8.0","","119.6","","0","",,"",,""
"1984-05","1984","05","15.7","","5.7","","10.7","","23.5","","1.0","S","156.6","","0.0","","156.6","","0","",,"",,""
"1984-06","1984","06","21.0","","10.3","","15.7","","32.0","","1.5","","87.0","","0.0","","87.0","","0","",,"",,""
"1984-07","1984","07","26.1","","14.8","","20.5","","30.5","","8.5","","34.2","E","0.0","","34.2","E","0","",,"",,""
"1984-08","1984","08","25.6","","15.2","","20.4","","32.5","","8.0","","121.6","","0.0","","121.6","","0","",,"",,""
"1984-09","1984","09","18.5","","8.6","","13.6","","25.0","","2.0","S","86.0","","0.0","","86.0","","0","",,"",,""
"1984-10","1984","10","13.2","","4.8","","9.0","","20.0","","-2.5","","52.0","E","0.0","","52.0","E","0","",,"",,""
"1984-11","1984","11","8.0","","-0.4","","3.8","","18.5","","-8.0","","27.8","","2.0","","29.8","","0","",,"",,""
"1984-12","1984","12","3.1","","-5.3","","-1.1","","11.5","","-20.5","","106.2","","29.0","","135.2","","0","",,"",,""
"1985-01","1985","01","-4.6","","-11.9","","-8.3","","3.5","","-18.0","","0.8","","71.0","","71.8","","63","",,"",,""
"1985-02","1985","02","-0.5","","-8.4","","-4.5","","7.5","","-21.0","","64.4","","38.2","","102.6","","23","",,"",,""
"1985-03","1985","03","2.7","","-6.2","","-1.8","","12.0","","-15.5","","82.6","","26.2","","108.8","","0","",,"",,""
"1985-04","1985","04","8.2","E","-1.0","E","3.6","E","18.5","","-9.0","E","63.4","","43.4","","106.8","","0","",,"",,""
"1985-05","1985","05","15.4","","4.3","","9.9","","23.5","","-1.5","S","133.8","","8.0","","141.8","","0","",,"",,""
"1985-06","1985","06","19.5","","9.9","","14.7","","24.5","S","4.5","","252.0","","0.0","","252.0","","0","",,"",,""
"1985-07","1985","07","25.1","","13.9","","19.5","","30.0","","9.0","S","98.8","","0.0","","98.8","","0","",,"",,""
"1985-08","1985","08","22.6","","12.4","","17.5","","31.0","","8.5","","137.8","","0.0","","137.8","","","M",,"",,""
"1985-09","1985","09","19.8","","9.4","","14.6","","28.0","S","3.0","S","21.2","","0.0","","21.2","","0","",,"",,""
"1985-10","1985","10","12.9","","4.0","","8.5","","23.0","","-5.0","","58.7","","0.0","T","58.7","","0","",,"",,""
"1985-11","1985","11","5.8","","-0.6","","2.6","","14.0","","-9.0","","111.1","","16.9","","128.0","","4","",,"",,""
"1985-12","1985","12","-0.6","","-9.8","","-5.2","","13.0","","-17.5","","60.1","","65.6","","125.7","","9","",,"",,""
"1986-01","1986","01","0.5","","-8.8","","-4.2","","12.0","","-21.5","","121.8","","44.0","","165.8","","12","",,"",,""
"1986-02","1986","02","-2.1","","-10.0","","-6.1","","4.0","","-18.0","","1.0","","78.0","","79.0","","70","",,"",,""
"1986-03","1986","03","4.1","","-5.8","","-0.9","","22.0","","-15.5","","106.5","","30.0","","136.5","","0","",,"",,""
"1986-04","1986","04","11.3","","2.0","","6.7","","20.5","","-7.0","","121.5","","4.1","","125.6","","0","",,"",,""
"1986-05","1986","05","16.2","","4.8","","10.5","","26.5","S","-3.0","","84.4","","0.0","T","84.4","","0","",,"",,""
"1986-06","1986","06","19.2","","8.9","","14.1","","27.5","S","3.0","","124.5","","0.0","","124.5","","0","",,"",,""
"1986-07","1986","07","21.8","","12.1","","17.0","","30.0","","8.5","","237.6","","0.0","","237.6","","0","",,"",,""
"1986-08","1986","08","21.7","","12.6","","17.2","","27.0","","3.5","","128.7","","0.0","","128.7","","0","",,"",,""
"1986-09","1986","09","17.4","","7.6","","12.5","","25.0","","1.5","","115.3","","0.0","","115.3","","0","",,"",,""
"1986-10","1986","10","12.0","","3.5","","7.8","","19.0","S","-3.5","","81.2","","0.0","","81.2","","0","",,"",,""
"1986-11","1986","11","5.9","","-3.0","","1.5","","17.0","","-11.0","","114.3","","31.4","","145.7","","0","",,"",,""
"1986-12","1986","12","1.4","","-6.9","","-2.8","","12.5","","-17.0","","77.3","","26.8","","104.1","","3","",,"",,""
"1987-01","1987","01","-2.1","","-9.6","","-5.9","","6.0","","-19.0","","35.5","","122.3","","157.8","","77","",,"",,""
"1987-02","1987","02","-3.0","","-10.7","","-6.9","","6.5","","-18.0","S","0.0","T","39.6","","39.6","","114","",,"",,""
"1987-03","1987","03","2.6","","-5.3","","-1.4","","17.5","","-17.0","S","38.4","","63.6","","102.0","","25","",,"",,""
"1987-04","1987","04","11.1","","1.5","","6.3","","22.0","","-3.5","","78.8","","1.3","","80.1","","0","",,"",,""
