"Station Name","FAUQUIER 2"
"Province","BRITISH COLUMBIA"
"Latitude","49.87"
"Longitude","-118.07"
"Elevation","470.00"
"Climate Identifier","1142826"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1990-01","1990","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-02","1990","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-03","1990","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-04","1990","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-05","1990","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-06","1990","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-07","1990","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-08","1990","08","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1990-09","1990","09","","","","","","","","","","","5.0","","0.0","","5.0","","0","",,"",,""
"1990-10","1990","10","","","","","","","","","","","62.6","","0.0","","62.6","","0","",,"",,""
"1990-11","1990","11","","","","","","","","","","","105.7","E","4.2","E","109.9","E","","M",,"",,""
"1990-12","1990","12","","","","","","","","","","","7.4","E","101.8","E","109.2","E","","M",,"",,""
"1991-01","1991","01","","","","","","","","","","","7.9","","57.0","","64.9","","","",,"",,""
"1991-02","1991","02","","","","","","","","","","","32.1","E","4.0","E","36.1","E","","",,"",,""
"1991-03","1991","03","","","","","","","","","","","34.3","E","16.5","E","50.8","E","0","",,"",,""
"1991-04","1991","04","","","","","","","","","","","37.8","E","0.0","","37.8","E","0","",,"",,""
"1991-05","1991","05","","","","","","","","","","","44.4","","0.0","","44.4","","0","",,"",,""
"1991-06","1991","06","","","","","","","","","","","47.2","","0.0","","47.2","","0","",,"",,""
"1991-07","1991","07","","","","","","","","","","","39.8","","0.0","","39.8","","0","",,"",,""
"1991-08","1991","08","","","","","","","","","","","37.5","","0.0","","37.5","","0","",,"",,""
"1991-09","1991","09","","","","","","","","","","","10.0","","0.0","","10.0","","0","",,"",,""
"1991-10","1991","10","","","","","","","","","","","15.3","","0.0","T","15.3","","","M",,"",,""
"1991-11","1991","11","","","","","","","","","","","56.6","","36.1","","92.7","","","",,"",,""
"1991-12","1991","12","","","","","","","","","","","29.6","","12.1","","41.7","","","",,"",,""
"1992-01","1992","01","","","","","","","","","","","50.0","E","47.1","","97.1","E","","M",,"",,""
"1992-02","1992","02","","","","","","","","","","","38.8","","14.2","","53.0","","","M",,"",,""
"1992-03","1992","03","","","","","","","","","","","23.0","E","0.0","","23.0","E","0","",,"",,""
"1992-04","1992","04","","","","","","","","","","","75.0","E","0.0","T","75.0","E","0","",,"",,""
"1992-05","1992","05","","","","","","","","","","","46.6","","0.0","","46.6","","0","",,"",,""
"1992-06","1992","06","","","","","","","","","","","40.1","","0.0","","40.1","","0","",,"",,""
"1992-07","1992","07","","","","","","","","","","","58.5","E","0.0","","58.5","E","0","",,"",,""
"1992-08","1992","08","","","","","","","","","","","33.6","","0.0","","33.6","","0","",,"",,""
"1992-09","1992","09","","","","","","","","","","","67.4","","0.0","","67.4","","0","",,"",,""
"1992-10","1992","10","","","","","","","","","","","43.4","E","0.0","","43.4","E","0","",,"",,""
"1992-11","1992","11","","","","","","","","","","","54.0","","16.0","","70.0","","","M",,"",,""
"1992-12","1992","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
